,"Agathosma puberula - Agathosma puberula Fourcade, fam. Diosmeae (Rutaceae)","Amorpha fruticosa fruit - Amorpha fruticosa L., fam. Papilionaceae","Angelica root (Finland) 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)","Annona senegalensis fruit (Cameroon) - Annona senegalensis Pers., fam. Annonaceae","Armoise flower - Artemisia vulgaris L., fam. Asteraceae (Compositae)","Celery leaf - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Clausena dunniana (China) 2 - Clausena dunniana Levl., fam. Rutaceae","Coleonema pulchellum - Coleonema pulchellum Williams (C. pulchrum Hook.), fam. Rutaceae","Cymbopogon validus (Zimbabwe) - Cymbopogon validus (Stapf) Stapf ex Burtt Davy, fam. Poaceae (Gramineae)","Hop, cones (Argentina) - Humulus lupulus L., fam. Cannabaceae","Marihuana (Austria) - Cannabis sativa L., fam. Cannabinaceae","Picea engelmanni conifer - Picea engelmanni (Parry) Engelm., fam. Pinaceae","Picea engelmanni twigs with needles - Picea engelmanni (Parry) Engelm., fam. Pinaceae","Pistacia lentiscus (Spain) 1a leaf - Pistacia lentiscus L., fam. Anacardiaceae","Rosemary (Argentina) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Argentina) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Portugal) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Portugal) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rough lemon leaf (USA) 1 - Citrus jambhiri Lush., var. Florida, fam. Rutaceae","Santolina insularis (Italy) 1a CO2-extract - Santolina insularis L., fam. Asteraceae (Compositae)","Santolina insularis (Italy) 1b hydrodistilled - Santolina insularis L., fam. Asteraceae (Compositae)","Schinus molle - Schinus molle L., fam. Anarcadiaceae","Senecio - Senecio glaucus ssp. coronopifolius (Maire Alexander), fam. Asteraceae","Tagetes (India) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Wormwood (Mugwort) (U.S.A.) 3 - Artemisia absinthium L., fam. Asteraceae (Compositae)"
"Agathosma puberula - Agathosma puberula Fourcade, fam. Diosmeae (Rutaceae)",1.0,0.4207114374608766,0.4170432037136028,0.3446041316542312,0.3719271886196014,0.2761888255682484,0.12769745082841955,0.5884498685108355,0.5060202147202015,0.06751539797740247,0.3144908196206039,0.26281704989683197,0.26546671582604087,0.3947545048104609,0.35781806689118234,0.3498583476125916,0.36317908970631585,0.3124349737549649,0.2876545889771439,0.3945246074965052,0.43975758741590676,0.3381475357134721,0.2811822919312703,0.4209606474369346,0.29557689315337743,0.1360378818452701
"Amorpha fruticosa fruit - Amorpha fruticosa L., fam. Papilionaceae",0.4207114374608766,1.0,0.4913843026495883,0.40399029512262263,0.41095482995606814,0.24685914244580276,0.179968522068514,0.609659314485081,0.5390493826419047,0.15678886985606855,0.47380206437536276,0.37286386563275564,0.37354520501064137,0.6082665611687377,0.5036546857710893,0.5271772110140691,0.5225127314207381,0.41909258587512677,0.25575549828163635,0.45018698277920277,0.4707505894666919,0.3868522618001564,0.3492907798355672,0.36941406916539643,0.26006290378511776,0.15028171316635786
"Angelica root (Finland) 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)",0.4170432037136028,0.4913843026495883,1.0,0.48070913103273105,0.5409989115801969,0.3329969917417075,0.220723806808799,0.6222660623644578,0.4903521106941805,0.14121781029081104,0.43176459508984566,0.46941388376908444,0.47017991208246845,0.5869471803981323,0.4985362883748977,0.5064980557737468,0.5066527504991065,0.42421179931148767,0.3903689240967261,0.48865843444638835,0.5413311809868901,0.5430951210555505,0.4574549883084609,0.3809492937943626,0.27649475077168506,0.37289971646275577
"Annona senegalensis fruit (Cameroon) - Annona senegalensis Pers., fam. Annonaceae",0.3446041316542312,0.40399029512262263,0.48070913103273105,1.0,0.3362128793012855,0.13180139162854398,0.0952716524799313,0.41493669802547295,0.33245759177001066,0.026940700121382388,0.28380159264957705,0.228194012671741,0.22963745327385143,0.4233956079395952,0.3785059807060335,0.3813873277543074,0.3437710594827946,0.28049912295833734,0.18194148124565468,0.3176549840866296,0.3366049155495543,0.42873968903149184,0.23799379922672292,0.262581862669825,0.16989920674725978,0.23227014950655045
"Armoise flower - Artemisia vulgaris L., fam. Asteraceae (Compositae)",0.3719271886196014,0.41095482995606814,0.5409989115801969,0.3362128793012855,1.0,0.19140012439965015,0.19694926122883727,0.5523255466977168,0.4206578074373759,0.14200228999747222,0.3390424436872086,0.3411982216516669,0.3411563440862738,0.48494559173232055,0.5483711214192295,0.5333330705725366,0.4531648508132997,0.44030121242032394,0.28385564530894225,0.5336728137984363,0.5630152297698487,0.4247297644274176,0.3666608370640687,0.3536737934688935,0.241512951692464,0.3951028948822525
"Celery leaf - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.2761888255682484,0.24685914244580276,0.3329969917417075,0.13180139162854398,0.19140012439965015,1.0,0.07824875453769942,0.3119278010704166,0.41725750243653215,0.04142720063128602,0.2977527020797359,0.3565284627144296,0.3563498780038794,0.2624565822474231,0.2469574268182816,0.28521460683733135,0.3324292070764434,0.2588024778589203,0.4405664256946711,0.24588129730763053,0.28570923670534,0.26371670409099435,0.33540382894944887,0.3937755480119345,0.25170741885643977,0.09272749807344083
"Clausena dunniana (China) 2 - Clausena dunniana Levl., fam. Rutaceae",0.12769745082841955,0.179968522068514,0.220723806808799,0.0952716524799313,0.19694926122883727,0.07824875453769942,1.0,0.2073118498756673,0.24304021026037104,0.03464368699532283,0.20404409233014187,0.13228962767507813,0.1322985630713589,0.23744021183138553,0.2047500948060087,0.19961433039816678,0.19431342486289782,0.16402473046698063,0.10262084561792806,0.24363141192778215,0.26531489995314694,0.19951559433011057,0.15968272218880075,0.14670533874957314,0.056249396440299027,0.05058870277016192
"Coleonema pulchellum - Coleonema pulchellum Williams (C. pulchrum Hook.), fam. Rutaceae",0.5884498685108355,0.609659314485081,0.6222660623644578,0.41493669802547295,0.5523255466977168,0.3119278010704166,0.2073118498756673,1.0,0.5522505313234913,0.1677318361155622,0.48120981294081344,0.4128748751766893,0.4138860158803338,0.6491997234512366,0.529844322422952,0.5258784346885217,0.5342786189282909,0.4528628207398533,0.34516820248611735,0.49406004534963066,0.5636269982687943,0.428621114080328,0.4105738066794765,0.4100729755277325,0.29383988850582055,0.31133444896746065
"Cymbopogon validus (Zimbabwe) - Cymbopogon validus (Stapf) Stapf ex Burtt Davy, fam. Poaceae (Gramineae)",0.5060202147202015,0.5390493826419047,0.4903521106941805,0.33245759177001066,0.4206578074373759,0.41725750243653215,0.24304021026037104,0.5522505313234913,1.0,0.2145515824775911,0.5163442700607342,0.4489164374302905,0.4518464870075124,0.5123986609298048,0.46963468960742316,0.4885562143475771,0.5129226092707257,0.44830129591986534,0.33717144749397987,0.44524666017837067,0.4878222770159534,0.3782615852263709,0.40572900804539047,0.4793781696597543,0.31780035562252196,0.24620968231262175
"Hop, cones (Argentina) - Humulus lupulus L., fam. Cannabaceae",0.06751539797740247,0.15678886985606855,0.14121781029081104,0.026940700121382388,0.14200228999747222,0.04142720063128602,0.03464368699532283,0.1677318361155622,0.2145515824775911,1.0,0.3214281584213664,0.07279078396262662,0.07360836238917545,0.22028354751513246,0.2109388906367281,0.17590796912054874,0.13938986616939242,0.11298854796605062,0.05236276684272734,0.15374564931767376,0.17306120893249144,0.12793097525220454,0.11454512994875432,0.08859590277497809,0.0,5.294216558793252e-05
