,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,alpha-Muurolene,beta-Caryophyllene,Longifolene,beta-Selinene,delta-Cadinene,gamma-Cadinene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Bornylene,Geraniol,Geranyl acetate,alpha-Copaene,alpha-Ylangene,Citronellol,Nerol,Thymol,Aromadendrene,"1,8-Cineole",p-Cymen-8-ol,cis-Sabinene hydrate,trans-Sabinene hydrate,Caryophyllene oxide,Terpinen-4-yl acetate,Spathulenol,beta-Eudesmol,Eugenol,Artemisia alcohol,Germacrene D,Neryl acetate,alpha-Guaiene,gamma-Gurjunene,(Z)-beta-Farnesene,alpha-Gurjunene,gamma-Muurolene,beta-Elemene,Methyl eugenol,(E)-beta-Ocimene,alpha-Cadinol,(Z)-beta-Ocimene,Fenchone,T-Cadinol,alpha-Thujene,Verbenone,cis-Carveol,cis-Piperitol,Nonanal,Humulene oxide,cis-p-Menth-2-en-1-ol,trans-alpha-Bergamotene,(E)-beta-Farnesene,Linalyl acetate,Ledol,Guaiol,Geranial,allo-Aromadendrene,trans-Piperitol,Neral,Citronellyl acetate,Dodecane,Undecane,Bicyclogermacrene,Myristicin,beta-Gurjunene,Cinnamyl aldehyde,Phenylacetaldehyde,trans-Dihydrocarvone,cis-Dihydrocarvone,(Z)-Nerolidol,trans-Dihydroterpineol,trans-p-Menth-2-en-1-ol,Eicosane,Tridecane,Eugenyl acetate,Manoyl oxide,Globulol,Viridiflorol,Calamenene,Myrtenyl acetate (tent.),Dihydrocaryophyllenol,cis-beta-Terpineol,Kaur-16-ene,epi-13-Manool,Manool,Myrcenol,Cuparene,1-Hexadecene,1-Octadecene,1-Dodecene,6-epi-alpha-Bisabolol,1-Undecene,trans-alpha-Santalol,Sclareol
"Helichrysum bracteiferum (Madagascar) 1 - Helichrysum bracteiferum (DC) H. Humbert, fam. Asteraceae (Compositae)",0.039,0.112,0.048,0.0,0.001,0.007,0.0,0.0,0.0485,0.0,0.0,0.0,0.0,0.009,0.0735,0.0035,0.0,0.0,0.0,0.007,0.017,0.013,0.014,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Helichrysum bracteiferum (Madagascar) 2 - Helichrysum bracteiferum (DC) H. Humbert, fam. Asteraceae (Compositae)",0.04,0.119,0.059,0.0,0.0,0.02,0.0,0.0,0.071,0.0,0.012,0.009,0.005,0.01,0.101,0.002,0.0,0.0,0.0,0.005,0.02,0.011,0.012,0.0,0.018,0.006,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.01,0.273,0.0,0.0,0.0,0.008,0.0,0.02,0.004,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.009,0.012,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laurel fruit (India) - Laurus nobilis L., fam. Lauraceae",0.0,0.0193,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0489,0.0585,0.0232,0.1007,0.0139,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0085,0.0,0.0061,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laurel leaf (India) - Laurus nobilis L., fam. Lauraceae",0.0,0.0193,0.093,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489,0.0585,0.0232,0.1007,0.0139,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0085,0.0,0.0061,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lavandula luisieri (Chemotype A) - Lavandula luisieri L., Chemotype A, fam. Lamiaceae (Labiatae)",0.002,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.021,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.003,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.016,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.009,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lippia scaberrima (South Africa) 1a - Lippia scaberrima Sond., fam. Verbeneceae (local: Beukesbossie)",0.0,0.005,0.006,0.0,0.01,0.0,0.005,0.0,0.0005,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0001,0.0,0.0,0.0,0.0,0.005,0.007,0.0025,0.009,0.0,0.0,0.0165,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Marjoram, spanish (Spain) 4a - Thymus mastichina L., fam. Lamiaceae (Labiatae)",0.0,0.0162,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0076,0.0,0.0039,0.0,0.0,0.0,0.0131,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Marjoram, spanish (Spain) 4b - Thymus mastichina L., fam. Lamiaceae (Labiatae)",0.0,0.0015,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292,0.0136,0.0,0.0071,0.0,0.0,0.0,0.0177,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitex agnus-castus inflorescence (Italy) - Vitex agnus-castus L., fam. Verbenaceae",0.018,0.028,0.055,0.001,0.0001,0.002,0.0,0.005,0.097,0.003,0.071,0.006,0.0,0.0,0.005,0.006,0.002,0.002,0.0,0.002,0.063,0.064,0.005,0.011,0.022,0.006,0.0,0.0,0.0,0.003,0.0,0.0,0.008,0.003,0.001,0.0,0.141,0.0,0.003,0.006,0.007,0.003,0.012,0.0,0.002,0.001,0.0,0.0001,0.014,0.0,0.091,0.008,0.001,0.0,0.0,0.003,0.0001,0.003,0.0,0.017,0.002,0.0,0.001,0.001,0.0,0.0,0.006,0.006,0.001,0.002,0.005,0.011,0.001,0.0,0.001,0.0,0.006,0.008,0.002,0.0,0.0,0.002,0.0001,0.002,0.001,0.003,0.002,0.014,0.008,0.003,0.003,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.009,0.007,0.003,0.021,0.0,0.0001,0.005,0.003,0.004,0.003,0.001,0.0001,0.008
"Vitex agnus-castus leaf (Italy) - Vitex agnus-castus L., fam. Verbenaceae",0.001,0.024,0.04,0.001,0.0001,0.0001,0.0,0.003,0.089,0.002,0.09,0.005,0.0,0.0,0.006,0.004,0.001,0.003,0.003,0.002,0.069,0.085,0.007,0.008,0.028,0.011,0.0,0.0,0.005,0.0,0.0,0.003,0.009,0.003,0.001,0.0,0.156,0.0,0.003,0.0001,0.005,0.001,0.01,0.0,0.003,0.001,0.0,0.0,0.012,0.0,0.086,0.016,0.003,0.0,0.0,0.001,0.001,0.0001,0.0,0.012,0.002,0.0,0.001,0.001,0.001,0.0,0.009,0.007,0.0,0.002,0.006,0.013,0.002,0.0,0.0001,0.0,0.003,0.01,0.001,0.0,0.0,0.003,0.0001,0.0,0.0,0.0,0.001,0.018,0.007,0.002,0.0,0.0,0.002,0.004,0.004,0.0,0.0,0.0,0.0001,0.006,0.001,0.013,0.0,0.0001,0.001,0.0,0.003,0.001,0.0,0.001,0.003
