,"Coleus amboinicus (Cuba) - Coleus amboinicus Lour. (wild oregano), fam. Lamiaceae (Labiatae)","Coleus aromaticus (India) 2 - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Coleus aromaticus (Java) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Coleus aromaticus (Martinique) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Marjoram, sweet (Turkey) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 1 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 3 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 4 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Israel) 1 - Origanum vulgare L. ssp. viride (Boiss.) Hayak (Carvacrol chemo-type)","Oregano, greek (Turkey) 1 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek 1 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek 4 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, spanish (Greece) 1 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Greece) 2 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Greece) 3 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Greece) 4 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Italy) 2 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Italy) 3 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Italy) 4 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Morocco) - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Portugal) 1 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Portugal) 2 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Turkey) - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, turkish (Greece) - Origanum onites L., fam. Lamiaceae (Labiatae)","Oregano, turkish (Turkey) - Origanum onites L., fam. Lamiaceae (Labiatae)","Origanum bilgeri (Turkey) - Origanum bilgeri P.H. Davis, fam. Lamiaceae (Labiatae)","Origanum dubium (Cyprus) - Origanum dubium Boiss., fam. Lamiaceae (Labiatae)","Origanum scabrum (Greece) - Origanum scabrum Boiss. et Heldr., fam. Lamiaceae (Labiatae)","Origanum syriacum (Lebanon) - Origanum syriacum L., fam. Lamiaceae (Labiatae)","Origanum syriacum (Turkey) 1 - Origanum syriacum L. var. bevanii (Holmes), fam. Lamiaceae (Labiatae)","Satureja boissieri (Iran) - Satureja boissieri Hausskn. ex Boiss., fam. Lamiaceae (Labiatae)","Savory, summer (Iran) 1 - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, winter (Croatia) 1 - Satureja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (Italy) 1 - Satureja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (Yugoslavia) - Satureja montana L, ssp. montana, fam. Lamiaceae (Labiatae)","Thymbra spicata (Israel) 1 - Thymbra spicata (Carvacrol chemotype), fam. Lamiaceae (Labiatae)","Thyme (Italy) 5 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thymus herba-barona (Italy-Sardinia) - Thysmus herba barona Loisel, fam. Lamiaceae (Labiatae)"
"Coleus amboinicus (Cuba) - Coleus amboinicus Lour. (wild oregano), fam. Lamiaceae (Labiatae)",1.0,0.6406521159501646,0.5993482003889927,0.6288512012060522,0.44391259532299676,0.44194528698623026,0.39394340095926883,0.4939073898439824,0.5379991649462308,0.5070879746670702,0.5849183104916181,0.4685097027825499,0.5395535633765138,0.5128440700158987,0.36360501816143076,0.6750451991628819,0.4803359746197188,0.4795051967205106,0.2854746851836689,0.47389062551281447,0.47176593185117865,0.6479287460528629,0.5442391726244499,0.5159361089161816,0.5360369806049916,0.6141885941345009,0.3913383023582865,0.558303707196804,0.2354818675249064,0.5242266108054464,0.6471062237224914,0.5611666638335207,0.4286841033931458,0.49592371996613915,0.5753614882359217,0.5312751180950015,0.4887667689349222,0.6047058155928526
"Coleus aromaticus (India) 2 - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",0.6406521159501646,1.0,0.5383333785710918,0.5338861845425251,0.40771356023697813,0.5976299763941314,0.3932826438801459,0.5551056936386867,0.7486735455517621,0.792388957578533,0.8073366808096816,0.5964006784146663,0.5476210023666688,0.5413628232384943,0.32298511352091175,0.7541029040750733,0.5683912545488639,0.46199291675138665,0.17331084868252555,0.4185150020540913,0.4253256207287387,0.7210448954270826,0.5925117690601468,0.4867894592746571,0.5389141519919778,0.6807389407254403,0.34864679907610774,0.6436468580494861,0.15299817963440898,0.7381177782539161,0.6767454052517036,0.8306070051905972,0.6435742537456828,0.6890112364953487,0.7076127254541811,0.5750853799687836,0.48607896693816255,0.6729753455661975
"Coleus aromaticus (Java) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",0.5993482003889927,0.5383333785710918,1.0,0.6762488939776072,0.23126928497268107,0.3119526401233571,0.23940009176776167,0.3246298993943091,0.34696256937086645,0.3957396742769561,0.44838167700456544,0.34080651906562875,0.3197805660886571,0.3451687065407316,0.18242501979163717,0.5226987574523394,0.3561479719214211,0.3067610079202808,0.11090692967244031,0.26489897142635066,0.28892106435696663,0.4550280081496524,0.3516543817224598,0.3051741930876769,0.341299560966306,0.4266891340325587,0.19247077045851235,0.38039740615185125,0.04959190413863912,0.39668354369904835,0.4591229735345401,0.40098619156145243,0.3488873304927981,0.42731184001904465,0.5492365698767745,0.28119617791830886,0.34676097667880523,0.4429371738091351
"Coleus aromaticus (Martinique) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",0.6288512012060522,0.5338861845425251,0.6762488939776072,1.0,0.33737042837225184,0.35449222574790185,0.32995010525183577,0.39912104268932747,0.3701698681528104,0.4434772365267752,0.5061070127402136,0.4341332970487931,0.427211647536638,0.431587930995058,0.28070987481661347,0.5888807193439005,0.4278519223449675,0.38593739180835074,0.21803919993070198,0.39663698427015026,0.3750492816376966,0.5422138956981846,0.4474528737758061,0.4243379188200297,0.4555345387764693,0.5284658181318762,0.29829461166939863,0.488760598360925,0.1492018887366523,0.4671269220577099,0.5307637400966883,0.43291736168097295,0.4211140141076746,0.45272556597856206,0.5460309550593079,0.3284632297531962,0.45251431988137414,0.5504823397508474
"Marjoram, sweet (Turkey) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.44391259532299676,0.40771356023697813,0.23126928497268084,0.33737042837225184,1.0,0.33511302507869645,0.8460656330400163,0.8031903957125045,0.4506354224121337,0.4370131992560612,0.4944803605148933,0.6465891875855843,0.8372398724853154,0.8175479020532003,0.8687820530980962,0.6268799721492503,0.7280765262427189,0.8789560424800469,0.7151483354626338,0.7520330074847874,0.876292301103219,0.5953137332727845,0.76830257529367,0.8726616512763705,0.7618931795035583,0.6240583135616662,0.8929142882207483,0.611818046709687,0.7204202502228467,0.5321695684512577,0.7120868365376314,0.4031374120871162,0.4456552139888874,0.2715381361755954,0.2510148473555951,0.6111334957383506,0.5600262619836704,0.4439250893236526
"Oregano, greek (Greece) 1 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.44194528698623026,0.5976299763941314,0.3119526401233571,0.35449222574790185,0.33511302507869645,1.0,0.32522810182043793,0.4365494448368281,0.6327721218361224,0.634704927054421,0.6093326674607868,0.48275317558602515,0.4442516537418195,0.42551222551088996,0.24153428165126778,0.5494975856856386,0.42303580661200313,0.34635901200824837,0.1012658266414147,0.3323423045005798,0.3193914458178633,0.622057529048234,0.4652179621303053,0.3904043109449268,0.42882538375038604,0.6245123146923952,0.2715101429695923,0.5012166855995773,0.08881769336096079,0.5598827995693461,0.5099841643011085,0.6183396160061165,0.5562664564115777,0.5150521620791947,0.6042506225656595,0.4723635424471567,0.5909044963250012,0.5638579105543682
"Oregano, greek (Greece) 3 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.39394340095926883,0.3932826438801459,0.23940009176776145,0.32995010525183577,0.8460656330400163,0.32522810182043793,1.0,0.8156761714371147,0.40365062528338125,0.4405600295268278,0.47769802695252306,0.6916707554540826,0.773333740547912,0.8248215705020568,0.8613467843636028,0.604193309554354,0.7703380836253103,0.8440068940981216,0.6894315239432067,0.7274616705643382,0.8231511418334863,0.556717701320466,0.747338670747191,0.800824341518855,0.7278298377578474,0.5916139001660603,0.8575269766099227,0.5964932740360813,0.7015683914401687,0.539790562521701,0.682973872285447,0.37236242075243553,0.47430052091000563,0.25047687500629623,0.23418564198669856,0.5216161406503772,0.5632185158857734,0.4100593768348977
"Oregano, greek (Greece) 4 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.4939073898439824,0.5551056936386867,0.32462989939430875,0.39912104268932747,0.8031903957125045,0.4365494448368281,0.8156761714371147,1.0,0.5742377533601374,0.5996948879570771,0.6371376359768037,0.7948019599625605,0.8622339666749798,0.9049952741149961,0.7406306607454847,0.7436505362895137,0.8766084268327793,0.8444316703016768,0.5530932725525926,0.7083679164019345,0.7890480064342602,0.688543281102254,0.869600859796163,0.8234076422347032,0.7896729144582942,0.708872895349975,0.758066798677257,0.7097564582556343,0.5617881523757262,0.6901153735247141,0.8151169254214783,0.5440024144646277,0.5954211174990425,0.3954619879654283,0.36679411618514557,0.6558975944984998,0.5838369901488395,0.5263980862559687
"Oregano, greek (Israel) 1 - Origanum vulgare L. ssp. viride (Boiss.) Hayak (Carvacrol chemo-type)",0.5379991649462308,0.7486735455517621,0.34696256937086645,0.3701698681528104,0.45063542241213417,0.6327721218361224,0.4036506252833817,0.5742377533601378,1.0,0.7276079126274602,0.7574983973352218,0.5553017446305291,0.5705699581006247,0.5408207443845339,0.348369124888801,0.6793733415164908,0.5458666083557608,0.4799910822040937,0.1879972318113844,0.4104192234766756,0.44000554475762155,0.7144422811342206,0.5980285255617306,0.4985824298209741,0.5302172636469216,0.6710208928738252,0.37864312702548664,0.5999846966228672,0.18964628021680585,0.6749763267565492,0.6494307532922741,0.8250826673902645,0.5779479209177196,0.5906237760594228,0.5734194537253219,0.7309434475009564,0.4711917929479784,0.5952222424918774
"Oregano, greek (Turkey) 1 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.5070879746670702,0.792388957578533,0.3957396742769561,0.4434772365267752,0.4370131992560612,0.634704927054421,0.4405600295268278,0.5996948879570771,0.7276079126274602,1.0,0.8521651503055607,0.7038377586740361,0.5794151140830487,0.5758552703720132,0.35466474963585415,0.7202662199573029,0.623865364274917,0.47288979504152007,0.1804881370284802,0.45724285588292635,0.43036437510313086,0.7283119655219721,0.6361318012015438,0.5163716217610163,0.5745941687898499,0.7142732033736007,0.3807985414230386,0.6915624927729456,0.17323430567239329,0.8605309295016321,0.6598813115130099,0.8102330195804781,0.7808119903897347,0.6496820534110153,0.6240026756847057,0.540799561969992,0.5222235186969584,0.6767519112757906
