,"Basil (France) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Bergamot (Italy) 5c headspace heated oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bois-de-Rose (Brazil) 1a - Aniba rosaeodora var. amazonica Ducke, fam. Lauraceae","Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae","Bois-de-Rose (Brazil) 1c - Aniba rosaeodora var. amazonica Ducke, fam. Lauraceae","Bois-de-Rose 1 - Aniba rosaeodora var. amazonica Ducke (A. duckei Kostemans),fam. Lauraceae","Bois-de-Rose 2 - Aniba rosaeodora var. amazonica Ducke (A. duckei Kostemans),fam. Lauraceae","Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Cinnamon leaf (India) 5 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Coriander fruit (Argentina) 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Argentina) 2 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (China) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Ethiopia) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 6 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 7 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander, CO2 extract (Finland) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Freesia, Living Flower Headspace - Freesia refracta L.","Freesia, Picked Flower Headspace - Freesia refracta L.","Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Malaysia) - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Ho leaf 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Honeysuckle headspace - Lonicera caprifoleum L., fam. Caprifoliaceae","Lippia alba (Brazil) 2 - Lippia alba (Mill.) N.E. Brown, fam. Verbenaceae","Litsea cubeba (India) 1a leaf - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Michelia alba flower absolute (China) - Michelia alba DC., fam. Magnoliaceae","Michelia alba leaf (China) - Michelia alba DC., fam. Magnoliaceae","Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Wartara (India) 2 seed - Zanthoxylum armatum DC. (Z. alatum Roxb.), fam. Rutaceae"
"Basil (France) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",1.0,0.7176209088984551,0.7000854461495618,0.547707318536449,0.7771444906848312,0.6767866948735972,0.7093415589368304,0.3500030848223108,0.6565950648421466,0.7171978777110184,0.7198715922455634,0.5654889028280511,0.5880149452174817,0.6324228390615294,0.6554601050599609,0.6456229410154279,0.6361740064412014,0.5689209037686752,0.5359717493965551,0.501545750346539,0.5014411561886416,0.39126971125147925,0.32284999747201626,0.4747183126760893,0.44689013227720553,0.32598548253390824,0.2221107560406601,0.2981944896103982,0.628257895661322,0.6607435592946502,0.681518454252275,0.6675368169499833,0.5513408874286425,0.31364989902777607,0.5828555037501217
"Bergamot (Italy) 5c headspace heated oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.7176209088984551,1.0,0.5976053002669026,0.4670636761692252,0.6528974561174865,0.5738275227336611,0.6095691266991516,0.2900315118611656,0.5586839754834854,0.6124479501010228,0.6136791964510797,0.494424181466084,0.5142756087188611,0.5496427621419846,0.570290620737406,0.5681800556939931,0.5448722095430036,0.48785250568448324,0.4554326136166009,0.4258859929320955,0.4259193405653978,0.3261087964797842,0.26435008972275464,0.4012006236455534,0.3765510533135362,0.2705053470203216,0.16911151338358632,0.24570015358912156,0.5403585881074865,0.5598630383177705,0.5883958723711363,0.5707565226899327,0.46861161581365884,0.2604525691789503,0.5015441573775209
"Bois-de-Rose (Brazil) 1a - Aniba rosaeodora var. amazonica Ducke, fam. Lauraceae",0.7000854461495618,0.5976053002669026,1.0,0.3753725322787229,0.757274160133146,0.48275507183283095,0.6120268054509418,0.16519469149298238,0.4676543361727682,0.558237795222124,0.5708107875250772,0.4404007014638358,0.4156989907121924,0.5490487942822324,0.5498692791063586,0.4842146246453404,0.5463540566757477,0.455657366501822,0.3552928781928507,0.3090741451420158,0.30899383234085653,0.20559359531999521,0.13942477409392773,0.2866272096082869,0.2565680053258004,0.14108717842574858,0.04327639987958842,0.11685792025907737,0.5821925643157693,0.5503781821989822,0.5788390532941599,0.5963262583523931,0.3591721944499977,0.13003680058049283,0.3976476907739078
"Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae",0.547707318536449,0.4670636761692252,0.3753725322787229,1.0,0.4795699910986373,0.7333048073614279,0.4184406444819263,0.7643839081745591,0.7394339807615241,0.5423886426907685,0.5167006850752438,0.4677625678588153,0.6495873579916703,0.35563412262603356,0.39681984145084304,0.5858460049807542,0.39200423772250115,0.44147032381966145,0.9137394535889257,0.8580113228006782,0.857691686735778,0.8088306437186839,0.7364595229076527,0.841204878659001,0.8427317553962846,0.7520700980767309,0.6569747336517624,0.7314425762218777,0.30240056845755203,0.4321301119671769,0.43055863491516677,0.3586396203980512,0.823686726202751,0.7352940954466873,0.7801485114959293
"Bois-de-Rose (Brazil) 1c - Aniba rosaeodora var. amazonica Ducke, fam. Lauraceae",0.7771444906848312,0.6528974561174865,0.757274160133146,0.4795699910986373,1.0,0.5760841831779814,0.6557165221759325,0.2597931579516932,0.5592132627752825,0.6279525798482666,0.6351842885498606,0.4983152298567035,0.4987709066779382,0.5823820190960654,0.594670386646402,0.5600587196255253,0.5842424806773225,0.5078672767817836,0.4745310738007924,0.4041047377303095,0.4040835663485659,0.30382644804146175,0.23302003695617457,0.38549085406443584,0.3521326660682209,0.2357268411348753,0.13985504901831858,0.21534510520356775,0.5965192883765298,0.6132662922927983,0.6303429741933968,0.6238786443878395,0.45255757655410045,0.22434496408299587,0.49401635641558506
"Bois-de-Rose 1 - Aniba rosaeodora var. amazonica Ducke (A. duckei Kostemans),fam. Lauraceae",0.6767866948735972,0.5738275227336611,0.48275507183283095,0.7333048073614279,0.5760841831779814,1.0,0.6389502177032246,0.5758569783988392,0.7659486596442071,0.6380703848872994,0.6160554063356527,0.5316369217052045,0.6528796643159296,0.4696072163226378,0.5074116031312146,0.6466888373289549,0.5470627099609005,0.6578536706501514,0.7194479975762492,0.7089493536124627,0.7088478243317449,0.6261728827638326,0.5469565652513533,0.7080235655893647,0.665901928858158,0.5544814223112818,0.4567133428360919,0.5293603707124639,0.42769093312197004,0.5605798247364138,0.5433171176212149,0.48507229568783017,0.7215334432888083,0.5420062986787342,0.7433538547556624
"Bois-de-Rose 2 - Aniba rosaeodora var. amazonica Ducke (A. duckei Kostemans),fam. Lauraceae",0.7093415589368304,0.6095691266991516,0.6120268054509418,0.4184406444819263,0.6557165221759325,0.6389502177032246,1.0,0.24148699901633597,0.5445199333500637,0.6236582180765005,0.6237520007227206,0.48203475797284656,0.4701269466082503,0.5675559332241127,0.5914759436107545,0.5527114061838045,0.6498087373530534,0.7414731563001412,0.40840613674553805,0.3858781833184052,0.3858168435017636,0.2895568507795525,0.21190228116705057,0.3812081655746822,0.332218574193349,0.21445656305059124,0.11517792182941133,0.18777164341691754,0.5560851612404658,0.5666895358238098,0.599276601802579,0.5848921159688657,0.42437937896988787,0.20848067379827917,0.46316232537131186
"Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",0.3500030848223108,0.2900315118611656,0.16519469149298238,0.7643839081745591,0.2597931579516932,0.5758569783988392,0.24148699901633597,1.0,0.584794149035856,0.3785962688547171,0.35277478791283756,0.34470388938443863,0.5279591513880462,0.19128693927127272,0.23473680848760048,0.43807677326286665,0.22381237776032625,0.29919825725680116,0.7527160881764028,0.7986185647891413,0.7984202040372257,0.8917656759039745,0.8639624461532595,0.7993757073628379,0.8525622455021986,0.9070814444199017,0.8365808106994441,0.8906248036605272,0.1248498211488045,0.2662749295526736,0.258004497957374,0.17843880325206174,0.7359899275048865,0.8845639666534547,0.6498921371932205
"Cinnamon leaf (India) 5 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.6565950648421466,0.5586839754834854,0.4676543361727682,0.7394339807615241,0.5592132627752825,0.7659486596442071,0.5445199333500637,0.584794149035856,1.0,0.6139510546995126,0.5953727372258398,0.5157407112092193,0.6423633936234825,0.45022318150787466,0.4853590179564603,0.6244873634652153,0.49572783397733655,0.5379111164070396,0.7222675411307748,0.7360891953103542,0.7358549564373886,0.6257287503992327,0.5572459449706317,0.6908995699456537,0.6750713157101642,0.5646608666233444,0.4688470942937273,0.5393293917951071,0.41129499242342926,0.5439407620963923,0.5207755171949215,0.46291061286863777,0.7225812499090294,0.5525911037469045,0.7381515138209757
"Coriander fruit (Argentina) 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)",0.7171978777110184,0.6124479501010228,0.558237795222124,0.5423886426907685,0.6279525798482666,0.6380703848872994,0.6236582180765005,0.3785962688547171,0.6139510546995126,1.0,0.7488763133767584,0.5829411688477344,0.7177777943436683,0.6226583069824773,0.6204329549646055,0.7144602069564774,0.5373672970365814,0.5113663458572193,0.5311498657757482,0.5104321490193389,0.5101869451601357,0.4254549531691202,0.3465346353862695,0.5127495427242212,0.47442648417678523,0.3561026870214491,0.2598177113800938,0.32655825866463073,0.5024160956658665,0.5555355804332984,0.5811262925909386,0.5411743007416829,0.5398732292632443,0.34433725022488604,0.5638613056276149
