,"Parsnip (Germany) 1 root - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Pinus pumila 2 - Pinus pumila (Pall.) Regel, fam. Pinaceae","Plectranthus glandulosus (Cameroon) 2 - Plectranthus glandulosus Hook f., fam. Lamiaceae (Labiatae)","Protium heptaphyllum 1b stem - Protium heptaphyllum (Aubl.) March., fam. Burseraceae","Protium heptaphyllum 2c resin - Protium heptaphyllum (Aubl.) March., fam. Burseraceae","Tarragon (USA) 5 - Artemisia dracunculus L. var. dracunculus, fam. Asteraceae (Compositae)","Turmeric (India) 5b leaf - Curcuma longa L., cv. Roma (C. domestica Val.), fam. Zingiberaceae","Turmeric (Reunion Island) 1b leaf - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (Reunion Island) 1c flower - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Vepris elliotii - Vepris elliotii (Radlkofer) Verdoon, fam. Rutaceae"
"Parsnip (Germany) 1 root - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)",1.0,0.35141304772117343,0.1383909864266819,0.44128012887946166,0.24916185919895328,0.18450181432714963,0.2917669490469478,0.3963631667712777,0.46909703254085733,0.3772613445637206
"Pinus pumila 2 - Pinus pumila (Pall.) Regel, fam. Pinaceae",0.35141304772117343,1.0,0.33821368063617074,0.6129759959711525,0.47003217020327825,0.4244969401223826,0.535717873683668,0.2759624667439903,0.40142129623216727,0.45446122062905003
"Plectranthus glandulosus (Cameroon) 2 - Plectranthus glandulosus Hook f., fam. Lamiaceae (Labiatae)",0.1383909864266819,0.33821368063617074,1.0,0.38208873729477855,0.33039767996316716,0.27035080660750754,0.4020305105695843,0.0,0.12188943551791509,0.22531456468170563
"Protium heptaphyllum 1b stem - Protium heptaphyllum (Aubl.) March., fam. Burseraceae",0.44128012887946155,0.6129759959711525,0.38208873729477855,1.0,0.5260663896896727,0.42030335387381224,0.6181988766636208,0.37080592752493857,0.5072027508547887,0.5427261821774441
"Protium heptaphyllum 2c resin - Protium heptaphyllum (Aubl.) March., fam. Burseraceae",0.24916185919895328,0.47003217020327825,0.33039767996316716,0.5260663896896727,1.0,0.35776067391959976,0.57696422320632,0.11366725651188636,0.24586765725704451,0.3819375494059416
"Tarragon (USA) 5 - Artemisia dracunculus L. var. dracunculus, fam. Asteraceae (Compositae)",0.18450181432714963,0.4244969401223826,0.27035080660750754,0.42030335387381224,0.35776067391959976,1.0,0.45661567831711414,0.03140615070300268,0.16156430826431678,0.25847037590592237
"Turmeric (India) 5b leaf - Curcuma longa L., cv. Roma (C. domestica Val.), fam. Zingiberaceae",0.2917669490469478,0.535717873683668,0.4020305105695843,0.6181988766636208,0.57696422320632,0.45661567831711414,1.0,0.15671240172486267,0.30253417675431793,0.3960143558356449
"Turmeric (Reunion Island) 1b leaf - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.3963631667712777,0.2759624667439903,0.0,0.37080592752493846,0.11366725651188636,0.03140615070300268,0.15671240172486267,1.0,0.8430576106717355,0.3971848097946453
"Turmeric (Reunion Island) 1c flower - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.46909703254085733,0.40142129623216727,0.12188943551791509,0.5072027508547886,0.24586765725704451,0.16156430826431678,0.30253417675431793,0.8430576106717355,1.0,0.4932492060490762
"Vepris elliotii - Vepris elliotii (Radlkofer) Verdoon, fam. Rutaceae",0.3772613445637206,0.45446122062905003,0.22531456468170563,0.5427261821774441,0.3819375494059416,0.25847037590592237,0.3960143558356449,0.3971848097946453,0.4932492060490762,1.0
