,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,alpha-Muurolene,beta-Caryophyllene,beta-Selinene,delta-Cadinene,Tricyclene,Myrcene,alpha-Humulene,Terpinolene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,alpha-Fenchol,Terpinen-4-ol,Piperitone,gamma-Terpinene,Bornylene,beta-Bisabolene,gamma-Bisabolene,alpha-Bisabolene,Geraniol,Geranyl acetate,Citronellol,Nerol,Citronellal,"1,8-Cineole",p-Cymen-8-ol,"2,3-dehydro-1,8-Cineole",Caryophyllene oxide,trans-Carveol,trans-beta-Terpineol,beta-Farnesene,Neryl acetate,Isocaryophyllene,gamma-Elemene,delta-Elemene,(Z)-beta-Farnesene,trans-beta-Bergamotene,beta-Elemene,(E)-Nerolidol,(E)-beta-Ocimene,alpha-Cadinol,(Z)-beta-Ocimene,T-Cadinol,alpha-Thujene,Carvone,alpha-Selinene,Elemol,Nonanal,cis-p-Menth-2-en-1-ol,Octanal,trans-alpha-Bergamotene,cis-Linalool oxide (5) (furanoid),alpha-Bisabolol,trans-Linalool oxide (5) (furanoid),cis-/trans-Anhydrolinalooloxides,Decanal,Undecanal,Isoborneol,Perilla aldehyde,Geranial,ar-Curcumene,cis-gamma-Bisabolene,Neral,6-Methyl-5-hepten-2-one,Citronellyl acetate,alpha-Bergamotene,alpha-Fenchene,Undecane,10-epi-alpha-Cadinol,1-Octanol,gamma-Eudesmol,3-Octanol,Decyl acetate,1-Decanol,cis-alpha-Bergamotene,beta-Sesquiphellandrene,"cis-Limonene-1,2-epoxide","trans-Limonene-1,2-epoxide",1-Nonanol,"alpha,p-Dimethylstyrene",Alloocimene (unknown isomer),beta-Santalene,Sesquiterpene hydrocarbons (unknown),"1,4-Cineole",4-Methylacetophenone,Dodecanal,trans-Pinocarvyl acetate,Dihydrocarveol,Germacrene B,beta-Fenchol,Phellandral,trans-p-Menth-2-en-1-ol,trans-Sabinyl acetate,Tridecane,gamma-Terpineol,"(E,E)-alpha-Farnesene",Isopulegol,10-epi-gamma-Eudesmol,Nonane,"1,3,8-p-Menthatriene",4-Selinenol-11,delta-Selinene,3-Undecanol,beta-Terpineol,Decanoic acid,beta-Guaiene,"Selina-3,7(11)-diene",gamma-Curcumene,"4,11-Selinadiene",Pinocamphone,Campherenol,Hexadecanal,Tetradecanal,Pentadecanal,Terpinen-1-ol,1-Dodecanol,Monoterpene hydrocarbons (unknown),Caryophyllene alcohol,1-Undecanol,cis-beta-Terpineol,cis-2-Pinanol,Myrcenol,6-epi-alpha-Bisabolol,gamma-Guaiene,(Z)-Ocimenol,(E)-Ocimenol,Limonene dioxide,cis-alpha-Bisabolene,"trans-Limonene-8,9-oxide",epi-alpha-Muurolol,epi-alpha-Selinene,"2,2,6-Trimethyl-6-vinyltetrahydropyran","1,1,3a,7-Tetramethyloctahydrocyclopropa[a]naphthalene","2,2-Dimethyl-5-(1-methyl-1-propenyl)-tetrahydrofuran","4,8-Epoxy-p-menth-1-ene","4,8-Epoxy-p-1-menthene","p-Mentha-3,8-diene",trans-2-Pinanol
"Lime (Mexican, West Indian, Key) (India) peel - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.461,0.228,0.024,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.006,0.0,0.0,0.0,0.01,0.005,0.0,0.006,0.014,0.0,0.098,0.0,0.0,0.0,0.0,0.009,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.008,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) (India) ripe - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.47,0.238,0.025,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.005,0.0,0.0,0.0,0.007,0.006,0.0,0.005,0.012,0.0,0.099,0.0,0.0,0.0,0.0,0.009,0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) (Ivory Coast) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.3895,0.019,0.0126,0.0001,0.0,0.0217,0.0054,0.0,0.0043,0.0,0.0004,0.0002,0.0117,0.0007,0.0728,0.0001,0.0147,0.0001,0.0736,0.0014,0.0048,0.0071,0.0088,0.0,0.1171,0.0,0.0049,0.0002,0.0,0.0001,0.001,0.0,0.0002,0.0,0.0947,0.0018,0.0027,0.0001,0.0,0.002,0.0,0.0004,0.0009,0.0001,0.0004,0.0008,0.0,0.0004,0.0,0.0045,0.0002,0.0018,0.0,0.0001,0.0001,0.0007,0.0,0.0003,0.0,0.0003,0.0062,0.0,0.0002,0.0,0.0018,0.0027,0.0002,0.0005,0.0002,0.0004,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0068,0.0002,0.0,0.0002,0.0005,0.0,0.0,0.0001,0.0004,0.0,0.0001,0.0,0.0,0.0008,0.0002,0.0002,0.0,0.0372,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0107,0.015,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0008,0.0007,0.0009,0.0,0.001,0.0001,0.0,0.0003,0.0,0.0097,0.0001,0.0,0.0005,0.0,0.0072,0.0002,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0008,0.0001,0.0,0.0,0.0,0.003,0.0017,0.0,0.0001,0.0001,0.0
"Lime (Mexican, West Indian, Key) (Peru) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.3919,0.0077,0.0099,0.0002,0.007,0.023,0.0082,0.0,0.0042,0.0,0.0008,0.0003,0.01,0.0008,0.097,0.0003,0.0235,0.0001,0.07,0.0016,0.0044,0.0082,0.0071,0.0001,0.1335,0.0,0.0057,0.0004,0.0011,0.0001,0.0007,0.0,0.0002,0.0,0.0435,0.0011,0.0021,0.0002,0.0,0.0,0.0,0.0006,0.0001,0.0001,0.0005,0.0009,0.0,0.0006,0.0,0.0045,0.0003,0.002,0.0,0.0001,0.0001,0.0009,0.0001,0.0001,0.0,0.0005,0.0072,0.0,0.0006,0.0,0.0024,0.0011,0.0001,0.0006,0.0005,0.0002,0.0,0.0001,0.0003,0.0001,0.0001,0.0,0.0009,0.0002,0.0,0.0002,0.0006,0.0,0.0001,0.0001,0.0006,0.0,0.0,0.0,0.0,0.0016,0.0001,0.0004,0.0,0.0352,0.0,0.0006,0.0001,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0001,0.0124,0.015,0.0008,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0009,0.001,0.0011,0.0,0.0008,0.0003,0.0,0.0004,0.0,0.0127,0.0001,0.0,0.0006,0.0001,0.004,0.0003,0.0001,0.0006,0.0,0.004,0.0003,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0037,0.0027,0.0003,0.0003,0.0002,0.0
"Lime (Mexican, West Indian, Key) 1 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.4901,0.1995,0.0223,0.0,0.001,0.0062,0.0,0.0,0.0094,0.0,0.0,0.0,0.011,0.0,0.0038,0.0001,0.0017,0.0304,0.0026,0.0015,0.0004,0.0,0.0022,0.0,0.07,0.0,0.0211,0.0,0.0,0.0003,0.0028,0.0,0.0002,0.0003,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0003,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.002,0.0003,0.0,0.0,0.0236,0.0,0.0,0.0143,0.0001,0.0,0.0127,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) 2 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.4787,0.1954,0.0216,0.0,0.0009,0.0027,0.0,0.0,0.0116,0.0,0.0,0.0,0.0115,0.0,0.004,0.0001,0.0016,0.0328,0.003,0.0016,0.0005,0.0,0.0004,0.0,0.081,0.0,0.0197,0.0,0.0,0.0007,0.0025,0.0,0.0004,0.0004,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0005,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0024,0.0003,0.0,0.0,0.0299,0.0,0.0,0.0182,0.0003,0.0,0.012,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) 3 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.48,0.0223,0.0119,0.0,0.0048,0.0179,0.0042,0.0,0.0062,0.0,0.0,0.0,0.0128,0.0,0.0775,0.01,0.0253,0.0,0.0626,0.0005,0.0037,0.0066,0.0084,0.0,0.1091,0.0,0.0142,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) 4 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.4888,0.0229,0.0143,0.0,0.0049,0.022,0.0045,0.0,0.0053,0.0,0.0,0.0,0.0126,0.0,0.0722,0.0,0.0206,0.0,0.0634,0.0009,0.0036,0.0073,0.0087,0.0,0.1186,0.0,0.0126,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) 5 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.4086,0.0134,0.0102,0.0,0.0053,0.0189,0.0065,0.0003,0.006,0.0001,0.0003,0.0002,0.013,0.0009,0.08,0.0001,0.0284,0.0002,0.079,0.0015,0.0046,0.0079,0.0097,0.0001,0.1102,0.0002,0.0104,0.0001,0.0,0.0002,0.001,0.0002,0.0,0.0,0.06,0.001,0.0004,0.0,0.0001,0.0081,0.0,0.0002,0.0,0.0,0.0006,0.001,0.007,0.0001,0.0001,0.006,0.0004,0.002,0.0,0.0001,0.0001,0.001,0.0,0.0003,0.0001,0.0004,0.0,0.0002,0.0006,0.0023,0.0,0.002,0.0003,0.0008,0.0002,0.0004,0.0,0.0004,0.0002,0.0,0.0,0.0,0.0021,0.0004,0.0001,0.0002,0.0005,0.0,0.0,0.0005,0.0006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0004,0.0028,0.0232,0.0003,0.0008,0.0,0.0,0.0003,0.0,0.0,0.0002,0.0001,0.0,0.0121,0.0068,0.0,0.0,0.0003,0.0,0.0001,0.002,0.0003,0.0,0.0002,0.0,0.0005,0.0,0.0013,0.0,0.0004,0.0,0.0002,0.0,0.012,0.0004,0.003,0.0007,0.0,0.0022,0.0,0.0008,0.0,0.0,0.0009,0.0006,0.0,0.0007,0.0,0.0001,0.0002,0.0022,0.0,0.0,0.0,0.0,0.0,0.0
"Lime (Mexican, West Indian, Key) 7 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.415,0.014,0.0105,0.0002,0.002,0.03,0.0065,0.0,0.0055,0.0,0.0006,0.0002,0.01,0.0012,0.08,0.0002,0.019,0.0001,0.075,0.0014,0.0044,0.007,0.007,0.0,0.097,0.0,0.005,0.0003,0.0,0.0003,0.001,0.0,0.0001,0.0,0.073,0.0015,0.0025,0.0003,0.0,0.001,0.017,0.0005,0.0003,0.0001,0.0006,0.0003,0.0005,0.0006,0.0,0.004,0.0,0.0018,0.0002,0.0001,0.0001,0.001,0.0002,0.0002,0.0,0.0004,0.007,0.0,0.0004,0.0,0.0003,0.0005,0.0003,0.001,0.0003,0.0003,0.0009,0.0001,0.0001,0.0001,0.0001,0.0,0.0071,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0002,0.0003,0.0,0.0013,0.0001,0.0007,0.0,0.028,0.0001,0.0001,0.0002,0.001,0.0006,0.0001,0.0001,0.0,0.0,0.0001,0.012,0.0,0.0,0.0007,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0003,0.0,0.0003,0.0,0.011,0.0002,0.0,0.0007,0.0001,0.0075,0.0,0.0003,0.0002,0.001,0.0,0.0003,0.0,0.001,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0002,0.0001,0.0001
