,"Abies alba conifer 1 - Abies alba Mill., fam. Pinaceae","Abies alba conifer 2 - Abies alba Mill., fam. Pinaceae","Abies alba from cones - Abies alba Mill., fam. Pinaceae","Abies faxoniana (China) - Abies faxoniana Rehd. et Wils., fam. Pinaceae","Abies holophylla (China) 1 - Abies holophylla Maxim., fam. Pinaceae","Abies nephrolepsis (China) - Abies nephrolepsis (Trautr.) Maxim., fam. Pinaceae","Afrocarpus mannii 1a leaf - Afrocarpus mannii Hook f., fam. Podocarpaceae","Afrocarpus mannii 1b bark - Afrocarpus mannii Hook f., fam. Podocarpaceae","Angelica seed 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)","Aristolochia gibertii stem - Aristolochia gibertii Hook., fam. Aristolochiaceae","Bactris gasipaes fruit - Bactris gasipaes H.B.K., fam. Arecaceae","Bergamot 1c whole fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Celery flower - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery plant - Apium graveolens L. var. dulce, fam. Apiaceae (Umbelliferae)","Celery seed (China) 3a - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery seed (Pakistan) - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery stem - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Chamaecyparis pisifera - Chameacyparis pisifera (Sieb. et Zucc.) Endl. var. filifera, Cupressaceae","Citron (Italy) peel 1c - Citrus medica L., cultivar Diamante, fam. Rutaceae","Citron (Vietnam) peel 1a - Citrus medica L., cultivar sarcodactylis (Noot.) Swingle, fam. Rutaceae","Cleonia lusitanica (Spain) - Cleonia lusitanica (L.) L., (Prunella lusitanica L.), fam. Lamiaceae","Coreopsis barteri leaf (Cameroon) - Coreopsis barteri Oliv. & Hiern, fam. Asteraceae (Compositae)","Elemi 1 - Canarium luzonicum (Miq.) A. Gray, (C. luzonicum (Blume) A.Gray)","Erigeron canadensis - Erigeron canadensis L. (Conyza canadensis (L.) Cronquist), fam. Asteraceae","Fennel, bitter (Spain) 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fingered Citron - Citrus medica L., cultivar sarcodactylis (Noot.) Swingle, fam. Rutaceae","Ichtyothere terminalis (Brazil) - Ichtyothere terminalis (common name: Mata-peixe or cunabi),fam. Asteraceae","Lemon (France-Corsica) 1i Panache - Citrus limon (L.) Burm. f., cultivar Panache, fam. Rutaceae","Lemon (India) 1 - Citrus limon (L.) Burm. f., cultivar ""Plant Lemon-1"", fam. Rutaceae","Lemon (India) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (Benin) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lime (Mexican, West Indian, Key) (Cuba) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (India) peel - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (India) ripe - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (India) unripe - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Ivory Coast) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Malaysia) peel - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Peru) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 1 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 2 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 3 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 4 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 5 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 7 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Persian) (India) peel - Citrus latifolia Tanaka, fam. Rutaceae","Limnophila chinensis, aromatica - Limnophila chinensis (Osb.) Merrill ssp. aromatica (Lam.) Yamazaki","Lippia alba (Guatemala) - Lippia alba (Mill.) N.E. Brown, fam. Verbenaceae","Meyer lemon leaf (Russia) 2 - Citrus limon x Citrus sinensis, fam. Rutaceae","Myrrhinium atropurpureum leaf (Brazil) - Myrrhinium atropurpureum Schot, fam. Myrtaceae",Peperomia rotundifolia - Peperomia rotundifolia (L.) Kth.,"Picea asperata conifer - Picea asperata Mast., fam. Pinaceae","Pichana (Broom) (Argentina) - Baccharis spartioides (Hook. et Arn.) Remy, fam. Asteraceae (Compositae)","Rough lemon leaf (India) - Citrus jambhiri Lush., fam. Rutaceae","Rough lemon leaf (USA) 2 - Citrus jambhiri Lush., fam. Rutaceae","Ruilopezia atropurpurea - Ruilopezia atropurperea (A.C. Sm.) Cuatr., fam. Asteraceae (Compositae)","Torreya grandis 2 - Torreya grandis Fort., fam. Taxaceae","Torreya taxifolia - Torreya taxifolia Arnott, fam. Taxaceae"
"Abies alba conifer 1 - Abies alba Mill., fam. Pinaceae",1.0,0.326952231761541,0.21597177223407382,0.5806284517309634,0.5840649952341411,0.36708247908510905,0.32732989966218373,0.439902920920739,0.1674278891935207,0.5760193273213077,0.5583815918851043,0.44700147409547153,0.330514319441537,0.2172501368327303,0.4134612347470039,0.1874268394611478,0.30745560866882293,0.557932786068676,0.42017434033641543,0.2351719533372928,0.49517601646981313,0.5330315278980278,0.4448651990708009,0.3790523311312658,0.23686328151343927,0.2654539964792416,0.3775200458890706,0.49854280858659306,0.5144367287446621,0.5153642223847683,0.33560103813524533,0.43133981211252104,0.3860341861259995,0.376694022624807,0.33574900837494714,0.4035247354931828,0.25379789034333766,0.4096345358495357,0.45058744662695016,0.44289174087028516,0.5303038299602001,0.5302762910615604,0.44658874139830607,0.45361288324219706,0.5200882884053312,0.5492294024309915,0.21573434574214334,0.46673302565774166,0.2880345592482787,0.34929086021922906,0.49452300357003565,0.5008334982462066,0.18812072882093445,0.36869572790054195,0.5354980562220335,0.5265386543548791,0.5239041061784883
"Abies alba conifer 2 - Abies alba Mill., fam. Pinaceae",0.326952231761541,1.0,0.4315914756866225,0.641291146869135,0.50416941574707,0.4487246274141946,0.3512659589314192,0.3725016027243765,0.14740278519281147,0.28240917912605445,0.20227363415372035,0.2404774043041048,0.19020244722946633,0.13087133136177975,0.1232869817629485,0.10332349930871365,0.18676615607095548,0.32054868380320156,0.2167128650441169,0.041936720316336995,0.6531656238031545,0.1908116963108889,0.1266990240649517,0.2670563078631094,0.4200409114018723,0.0853349897132698,0.5769584073730731,0.25994508629762725,0.2129203906358481,0.22038333119342268,0.21277980491417192,0.2808553606405284,0.21377864627164334,0.19963842946848875,0.286985674428323,0.2645805361423552,0.16839099938148538,0.2585132074144113,0.22732203142131147,0.23271657331845763,0.25353160685292475,0.2467803787983215,0.2708151551105332,0.2710952688558663,0.2468309551861365,0.2587488334192857,0.06130757236623641,0.33657118592515034,0.35448312477973043,0.3186104315627075,0.4413312836173875,0.31589467254528736,0.1128783537139264,0.2896978021671981,0.42258153901977347,0.6506437864631421,0.4324138989887436
"Abies alba from cones - Abies alba Mill., fam. Pinaceae",0.21597177223407382,0.4315914756866225,1.0,0.4010400076556825,0.48115012402279067,0.4951179166546761,0.2762554844765036,0.2671182688318433,0.06782130416821563,0.19944992188963606,0.1366954436649045,0.23749056589232698,0.16404021242096456,0.12317136884845958,0.07270906692703916,0.09233001409699704,0.16469135027555248,0.25101416138447763,0.17461069657710315,0.11011603966684491,0.3656226266314344,0.10166839557169893,0.0651060761971538,0.34937916562058335,0.34495827815119817,0.044073745033022305,0.3496496279803999,0.35739917789322584,0.25793105311133324,0.2006844907893055,0.3607454327568014,0.2652389661642992,0.3904105940463297,0.3805584878042044,0.42201803179834485,0.24954189292869422,0.43408190259269364,0.23451832727256205,0.36382087232178706,0.3677120442717622,0.21491461285934355,0.20701744582485704,0.24482958236157937,0.2479976232593436,0.2751970119461111,0.15765146318981893,0.020585665774984663,0.30978177582915434,0.24297553851048082,0.29087946318193436,0.3784510876897873,0.2934522516071285,0.09757438080416303,0.2892749823328291,0.3240265201755782,0.3535869401552527,0.3359742126642473
"Abies faxoniana (China) - Abies faxoniana Rehd. et Wils., fam. Pinaceae",0.5806284517309634,0.641291146869135,0.4010400076556825,1.0,0.707469095245368,0.561465099310739,0.34229990281964007,0.3969404127318392,0.16289044509446593,0.3877297654235975,0.3256935660598256,0.3276648575281621,0.2630943686161139,0.17489293217416768,0.23224151003275095,0.14347467854999996,0.2505745286672686,0.4176632681794138,0.29880182024668556,0.12132435134453579,0.6101720679003511,0.3058431872433357,0.24309923358106977,0.40245693196729393,0.37058329750977237,0.16061318956932913,0.5228370498112579,0.35716019108547914,0.3273082591630202,0.3270356955224145,0.2744345375705072,0.35825306769109455,0.2942209511113114,0.2812886656772797,0.32799712739314446,0.33057414705928434,0.22024406329909652,0.3320377334055138,0.31986480054491573,0.3213085560365322,0.36121317391872176,0.35624534751044346,0.3509524025240639,0.35134151310766804,0.35298793160520725,0.3621856870423712,0.1251884466750427,0.399000750541757,0.34236065223330236,0.37806145773788147,0.6211004916974974,0.3981961848538985,0.15548594297065887,0.33651379857252606,0.4874776495007739,0.6178818562039533,0.4859564510544603
"Abies holophylla (China) 1 - Abies holophylla Maxim., fam. Pinaceae",0.5840649952341411,0.50416941574707,0.48115012402279067,0.707469095245368,1.0,0.749728506235042,0.3563704371922305,0.40048444235961056,0.16055555567417812,0.40729723515453076,0.35414880469317944,0.3654600843776131,0.29243992040843636,0.20804870357741734,0.25624611904783345,0.1718431142566701,0.28101478652701484,0.46622932513985504,0.33621641781909584,0.14042390788415549,0.49406978154759573,0.3195620516698051,0.2632158576406478,0.45423644326078527,0.3516828666815788,0.17643773466222235,0.47033141108546517,0.3883020063045064,0.3727669625138369,0.3753905345159537,0.3140738289619379,0.4027100358657517,0.3291524934426161,0.3147448612085193,0.37584171298301194,0.3720913151827091,0.2644760584371889,0.37293972581211543,0.35218479246323064,0.354516523413576,0.39750699018948044,0.38893508097951235,0.39371029529066304,0.3928321766200791,0.3862920224660221,0.36996254133985906,0.14965919969456043,0.4464041053061941,0.33424648374146115,0.3963023832292202,0.6298608317991159,0.4426553088677331,0.19015728795961806,0.3813323145820934,0.4766571574753079,0.536167137541115,0.4886961802351245
"Abies nephrolepsis (China) - Abies nephrolepsis (Trautr.) Maxim., fam. Pinaceae",0.36708247908510905,0.4487246274141946,0.4951179166546761,0.561465099310739,0.749728506235042,1.0,0.29747311635184315,0.2914783046650229,0.09126161438592273,0.2393020151938764,0.18252206043827757,0.23161168954299538,0.19335313165894907,0.13976720382584185,0.10432605875781564,0.10283718986232915,0.19304154647521066,0.3029641090319777,0.20611829007139826,0.020927900395257604,0.32966192086278057,0.14307313646238495,0.10186207965466543,0.40753301066629055,0.31665605563319354,0.05582652848881586,0.3801229886307992,0.2236841592533373,0.18410988796353012,0.1965424858807786,0.20047109715222589,0.2770859500128081,0.18436972992880885,0.167937829347521,0.2983560083821738,0.2606349664235128,0.15840766235676618,0.2618417248074819,0.1905377157133724,0.19825013767027488,0.23235260237305477,0.22245071935692906,0.2680857661098708,0.2643257549031236,0.2199194044082865,0.1965655277511511,0.051666477012808354,0.3532517071461695,0.26083592032702274,0.33760629240973017,0.5639522128569667,0.3198882689915833,0.13252312288478496,0.31527805869697967,0.32019401441831163,0.3784399183764864,0.3569970811425922
"Afrocarpus mannii 1a leaf - Afrocarpus mannii Hook f., fam. Podocarpaceae",0.32732989966218373,0.3512659589314192,0.2762554844765036,0.34229990281964007,0.3563704371922305,0.29747311635184315,1.0,0.8347052687781402,0.18922750318418813,0.47186583924404846,0.34218903456815275,0.3899666024470996,0.41490063296797197,0.28166377484604965,0.26634275792332573,0.2775334475626382,0.39843480468746373,0.4705810619953197,0.3677551825435066,0.14633378543969433,0.34143330088139945,0.366440521284468,0.25214485368680806,0.4825147209237486,0.37875518652042683,0.1811180305844916,0.40641304472743756,0.3711635247458466,0.3322203074673534,0.3725403419769783,0.3408958993051263,0.4374163630352611,0.3106438787346143,0.2909696156178737,0.45016547511189964,0.4323732687079248,0.2796670789782968,0.42778092686018176,0.3299104041998596,0.3411626089636838,0.40131719074569194,0.3867369981686857,0.44178835067133937,0.4395507133344714,0.37472701414396314,0.3264055943016675,0.18126371235882022,0.5605074148812338,0.369347382771135,0.4149293671296608,0.38847644160712624,0.5281406279469614,0.2684488060835325,0.5026925298106047,0.5085228273382865,0.4183546170491488,0.6007989946602235
"Afrocarpus mannii 1b bark - Afrocarpus mannii Hook f., fam. Podocarpaceae",0.439902920920739,0.3725016027243765,0.2671182688318433,0.3969404127318392,0.40048444235961056,0.2914783046650229,0.8347052687781402,1.0,0.21452550102676338,0.5649679884589267,0.4431204949588785,0.4516503967373099,0.45315660274437586,0.2921694107805405,0.3525648373052056,0.29075136713486605,0.42492317952698033,0.550476505828557,0.4235008188870466,0.20463199405556987,0.43176534656388976,0.4772770287358885,0.34593407991723346,0.4571711152105584,0.36683943120154383,0.2383592912068503,0.43391811647103495,0.454746730447518,0.4275246503982889,0.4616692446535059,0.37954895098693175,0.47688649833964747,0.37405677149036154,0.3569832393140767,0.4498885591823144,0.46464377296192383,0.3079914498248145,0.4603484876312469,0.4099407949238566,0.4164018028510248,0.48337238178009334,0.471865839244048,0.4856351934220329,0.4871231981810432,0.46099543473118365,0.4273846038514577,0.22149631335320175,0.5768019518451681,0.3838883764276969,0.418455790142219,0.39984669876598644,0.5774264365199344,0.272246506682973,0.497712599606277,0.5985216761929643,0.4954250634524733,0.6729495014202582
"Angelica seed 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)",0.1674278891935207,0.14740278519281147,0.06782130416821563,0.16289044509446593,0.16055555567417812,0.09126161438592273,0.18922750318418813,0.21452550102676338,1.0,0.20219985095719695,0.17013779633963433,0.17460703025852542,0.12583200388628724,0.05962604959956541,0.09095762922703088,0.033317375252035486,0.12017688007550209,0.22818751181227304,0.1540895403519319,0.0,0.19060242063124155,0.15795028166330727,0.1275653869431851,0.12822546851732874,0.17454841929816145,0.018663505162803462,0.19272072231391502,0.18352753836573243,0.15346863609634642,0.16926015316138288,0.11954372384573286,0.18401387139337178,0.11717469247417922,0.10443411504579614,0.1762445479531881,0.18175998824866746,0.06628311915177587,0.1787272479605272,0.14046965273103473,0.14395101073011762,0.1905130617637656,0.18397656833098552,0.19315577223335323,0.19558774006267,0.17913712302190676,0.17073435530266745,0.0066407670987047585,0.25273499320441584,0.1312690321849289,0.15227606687408235,0.17951948014862817,0.23705901105874172,0.049061909598543396,0.2074649854834667,0.24177838171349852,0.2399020117076872,0.2541876549613208
"Aristolochia gibertii stem - Aristolochia gibertii Hook., fam. Aristolochiaceae",0.5760193273213077,0.28240917912605445,0.19944992188963606,0.3877297654235975,0.40729723515453076,0.2393020151938764,0.47186583924404846,0.5649679884589267,0.20219985095719695,1.0,0.6081678281512315,0.5122475486502807,0.3952179958567731,0.28713692681184944,0.4510241536654299,0.2558055217424169,0.37801671427695527,0.6295106179634911,0.48672301824957165,0.2715543455376779,0.46243068647935115,0.6101414238981624,0.4762582901412804,0.3967539560010074,0.28557047260238855,0.3010566509451724,0.3956654527943849,0.552335935764892,0.557793796166689,0.570453418360997,0.40349890491155493,0.4920155068840979,0.4361968589044056,0.42289326362382795,0.42689643601770555,0.4825252699914223,0.3179080193925845,0.48114242376971106,0.49869740767213677,0.49482395494986187,0.5855008954714087,0.5797831557857236,0.5194380535817438,0.5291069565827126,0.5754512298937506,0.5786385634141031,0.2653273183182414,0.5781440113663934,0.3400322198466029,0.37692853439844676,0.3695364318898685,0.5975571959151286,0.2606149569628403,0.4706570189652306,0.5808902398329416,0.5323341974231856,0.6243980952261363
