,"Cardamom (Costa Rica) - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (Guatemala) - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 2 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 3 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 4 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 5a - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 5b - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 6 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom seed 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Eucalyptus diversicolor (Uruguay) - Eucalyptus diversicolor F. Muell., fam. Myrtaceae","Lovage leaf (Lithuania) - Levisticum officinale Koch, fam. Apiaceae (Umbelliferae)","Lovage stem (Lithuania) - Levisticum officinale Koch, fam. Apiaceae (Umbelliferae)"
"Cardamom (Costa Rica) - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",1.0,0.8714337811838527,0.8673468420676171,0.6727256375470934,0.8095247371708083,0.8811457570940069,0.6705683995075519,0.842959197754482,0.768287577721612,0.8709658125589556,0.6435841274947485,0.2245003509540382,0.31698796135064367
"Cardamom (Guatemala) - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.8714337811838527,1.0,0.8538019746756045,0.6580144882420802,0.7602275923949513,0.8543098203203842,0.6145740148240566,0.8219197838589491,0.7993325249623425,0.981057304436529,0.6220400337454826,0.21955897070496022,0.31371719307065526
"Cardamom (India) 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.8673468420676171,0.8538019746756045,1.0,0.6406910421610085,0.7406237618398962,0.8940567482624783,0.6247307122485231,0.9054019214468642,0.8172979425453546,0.8517500406244545,0.622837850820784,0.2627652306608268,0.36245705902124836
"Cardamom (India) 2 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.6727256375470934,0.6580144882420802,0.6406910421610085,1.0,0.7730367799163429,0.6491745921267134,0.7408206818119194,0.6003040841655503,0.49059584311706306,0.6556339938595415,0.6458986621698464,0.0,0.06604664453474918
"Cardamom (India) 3 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.8095247371708083,0.7602275923949513,0.7406237618398962,0.7730367799163429,1.0,0.7866072726424331,0.8034341353588859,0.7264486652517674,0.6006608718538964,0.759839990850379,0.7113293349230212,0.14417219996968378,0.22089490166466463
"Cardamom (India) 4 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.8811457570940073,0.8543098203203845,0.8940567482624787,0.6491745921267136,0.7866072726424331,1.0,0.6697046922693997,0.9231383284909189,0.768039193076748,0.8507191039654285,0.6535124947590518,0.26537704183937827,0.3657285725061151
"Cardamom (India) 5a - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.6705683995075519,0.6145740148240568,0.6247307122485231,0.7408206818119196,0.8034341353588859,0.6697046922693997,1.0,0.6253119605350487,0.4636762395530978,0.6125478804237288,0.6677609091756785,0.0603872137360959,0.12958475836281658
"Cardamom (India) 5b - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.842959197754482,0.8219197838589491,0.9054019214468642,0.6003040841655503,0.7264486652517674,0.9231383284909189,0.6253119605350487,1.0,0.7982057259270734,0.819496629427761,0.6020590726073176,0.2904834635792798,0.39649800213762587
"Cardamom (India) 6 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.768287577721612,0.7993325249623425,0.8172979425453546,0.49059584311706306,0.6006608718538964,0.7680391930767477,0.4636762395530978,0.7982057259270734,1.0,0.7998490083945174,0.4976760350858396,0.3104452656004347,0.4226305748472702
"Cardamom seed 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.8709658125589556,0.981057304436529,0.8517500406244545,0.6556339938595415,0.759839990850379,0.8507191039654283,0.612547880423729,0.819496629427761,0.7998490083945174,1.0,0.6207020034808519,0.2200601576925737,0.3143910108681047
"Eucalyptus diversicolor (Uruguay) - Eucalyptus diversicolor F. Muell., fam. Myrtaceae",0.6435841274947485,0.6220400337454828,0.622837850820784,0.6458986621698465,0.7113293349230212,0.6535124947590518,0.6677609091756785,0.6020590726073176,0.4976760350858396,0.6207020034808521,1.0,0.12135724925110036,0.20551605271363482
"Lovage leaf (Lithuania) - Levisticum officinale Koch, fam. Apiaceae (Umbelliferae)",0.2245003509540382,0.21955897070496022,0.2627652306608268,0.0,0.14417219996968378,0.26537704183937827,0.0603872137360959,0.2904834635792798,0.3104452656004347,0.2200601576925737,0.12135724925110036,1.0,0.8140239999597347
"Lovage stem (Lithuania) - Levisticum officinale Koch, fam. Apiaceae (Umbelliferae)",0.31698796135064367,0.31371719307065526,0.36245705902124836,0.06604664453474918,0.22089490166466463,0.3657285725061151,0.12958475836281658,0.39649800213762587,0.4226305748472702,0.3143910108681047,0.20551605271363482,0.8140239999597347,1.0
