,"Astronium fraxinifolium (Brazil) - Astronium fraxinifolium Schott., fam. Anacardiaceae","Chloranthus spicatus flower head space - Chloranthus spicatus (Thunb.) Makino, fam. Chloranthaceae","Jamun fruit - Syzygium cumini L., fam. Myrtaceae","Parsnip (Germany) 2a leaf blade - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip (Germany) 2b leaf stalk - Patsinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip (Germany) 2c shoot - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip flower, headspace - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Plectranthus barbatus (Brazil) 2c root - Plectranthus barbatus Andr. (Coleus barbatus), fam. Lamiaceae (Labiatae)","Tagetes (Argentina) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (France) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 3 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 4 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Italy) 1a - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Italy) 1b - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Rwanda) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Turkey) - Tagetes minuta L. (T. glandulifera Schrank), fam. Asteraceae (Compositae)","Tagetes (USA) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (USA) 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Zimbabwe) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 3b (flower) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 4 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes laxa (Argentina) - Tagetes laxa Cabrera, fam. Asteraceae (Compositae)","Tagetes maxima (Bolivia) - Tagetes maxima Kuntze, fam. Asteraceae (Compositae)","Tithonia diversifolia - Tithonia diversifolia (Hemsl.) A. Gray, fam. Asteraceae (Compositae)"
"Astronium fraxinifolium (Brazil) - Astronium fraxinifolium Schott., fam. Anacardiaceae",1.0,0.39938985563249907,0.5909470971334176,0.45193036446471113,0.59476086375546,0.4979510053697801,0.4606924721389052,0.49684927835714976,0.6087347931202682,0.4331220941355065,0.4391224187691175,0.5241309860074661,0.3584563099261828,0.5087372563738308,0.508262778303504,0.5030306655207031,0.41508621716771466,0.5221081332449458,0.14974834433121564,0.41215678684450696,0.671720714392593,0.5313944464443072,0.5346849617047695,0.5816924222456074,0.22982134452193592,0.33569674765368784,0.5830436749618169
"Chloranthus spicatus flower head space - Chloranthus spicatus (Thunb.) Makino, fam. Chloranthaceae",0.39938985563249907,1.0,0.4236901532755516,0.35491752127918574,0.38131012486118687,0.3567451212119619,0.4161577532071058,0.3132837121222867,0.44514388992758036,0.2933742271666948,0.2911958422202685,0.37079124509830963,0.2949219106850941,0.3596080749478183,0.35680412422159025,0.3519608156178603,0.28772136617882393,0.3672961930924249,0.07320903993153494,0.2983628181315575,0.43436617134661015,0.3722847228209165,0.3839635913756049,0.36680621410496717,0.16845253449704245,0.2750164889494058,0.38081017708030684
"Jamun fruit - Syzygium cumini L., fam. Myrtaceae",0.5909470971334176,0.4236901532755516,1.0,0.5624105551767217,0.6226847240643199,0.5575855424697778,0.6018129467996577,0.6829760643316444,0.5720696286534659,0.5151087367858791,0.3741741741325151,0.4670970672647038,0.3943313880607401,0.48106046632268584,0.47906153167189625,0.4462020634331535,0.3812338996219813,0.4617558679997593,0.14338884392991424,0.38979153078362994,0.5402023204898743,0.47233556393399634,0.5011419878494957,0.4595768082534182,0.2960123567879084,0.38277588613973246,0.5198670454743044
"Parsnip (Germany) 2a leaf blade - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)",0.45193036446471113,0.35491752127918574,0.5624105551767217,1.0,0.6415908680064815,0.6086208843233176,0.4308241272576494,0.49747874099489053,0.4932944586760333,0.4066670559007586,0.3189862998993931,0.4054248419933878,0.41871830040187286,0.48830439041271434,0.4935848869321503,0.39175262238729913,0.36483019183031207,0.3988473777347854,0.13149483115987426,0.368488884306697,0.4582603002847041,0.40360158848873995,0.45968232398023545,0.3526704063436178,0.29746317877804185,0.42003483069482084,0.3856172133084974
"Parsnip (Germany) 2b leaf stalk - Patsinaca sativa L., fam. Apiaceae (Umbelliferae)",0.59476086375546,0.38131012486118687,0.6226847240643199,0.6415908680064815,1.0,0.7052413609004364,0.4724998632209745,0.5635392091685915,0.5610928485507464,0.44572784978980495,0.39186795517283435,0.4849433493534471,0.3390508193818056,0.4178054603891308,0.41182395251419046,0.4581331232852863,0.35942925494055444,0.4825738650934318,0.12637519465240055,0.3728697035143824,0.5771773293344129,0.4921954934228858,0.4833782922694052,0.5204872740536033,0.2274788342203875,0.3133854742391343,0.4795698896700801
"Parsnip (Germany) 2c shoot - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)",0.4979510053697801,0.3567451212119619,0.5575855424697778,0.6086208843233176,0.7052413609004364,1.0,0.4580535384783365,0.4767402230239347,0.49958624102166105,0.3988388512872658,0.3399395192762721,0.4257102706968694,0.3547214559499412,0.42890366668195823,0.4288852303915305,0.40670953331146686,0.34457674641231606,0.42165382918377303,0.11493920851352668,0.3525666653656463,0.4969153127567728,0.42807838369845375,0.45043864339831396,0.4163062052662221,0.2390902005663601,0.3586424177891341,0.4154924838578138
"Parsnip - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)",0.4606924721389052,0.4161577532071058,0.6018129467996577,0.4308241272576494,0.4724998632209745,0.4580535384783365,1.0,0.5095773600425954,0.44296735955274824,0.3951269842939481,0.2909813348730209,0.36905100205706354,0.306843829999661,0.37619395467051153,0.3773574485653757,0.3529373546753085,0.29793763765954495,0.3652747517347874,0.07932917292871178,0.30470623192711466,0.4334329142071426,0.3722767309132139,0.39630059236905024,0.36114854878578706,0.21270247156665212,0.2985181560952824,0.4201189260102821
"Parsnip flower, headspace - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)",0.49684927835714976,0.3132837121222867,0.6829760643316444,0.49747874099489053,0.5635392091685915,0.4767402230239347,0.5095773600425954,1.0,0.4129047497018645,0.46573292888991613,0.2718187452850688,0.34922591685246485,0.28289311165156583,0.3469493035563621,0.3474574483532732,0.3324923414234391,0.2759180475196674,0.34575284195113953,0.06369356664120929,0.28190003464042834,0.4100161959696077,0.35490630188922434,0.37789339475209516,0.34668014311409245,0.2235775738265885,0.2735378629680275,0.37585045061343925
"Plectranthus barbatus (Brazil) 2c root - Plectranthus barbatus Andr. (Coleus barbatus), fam. Lamiaceae (Labiatae)",0.6087347931202682,0.44514388992758036,0.5720696286534659,0.4932944586760333,0.5610928485507464,0.49958624102166105,0.44296735955274824,0.4129047497018645,1.0,0.41410257952608653,0.4679992547182068,0.5797963836557309,0.4299875931364654,0.5334665930816602,0.5226555412840492,0.5470516173233348,0.4424764069657712,0.5737251173863382,0.18538375017633724,0.45760361930299365,0.6894525835921905,0.5824112087664673,0.5775531579264535,0.6038864891731298,0.2647707001660988,0.39737881891187776,0.5869537735715957
"Tagetes (Argentina) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.4331220941355065,0.2933742271666948,0.5151087367858791,0.4066670559007586,0.44572784978980495,0.3988388512872658,0.3951269842939481,0.46573292888991613,0.41410257952608653,1.0,0.30869741890206237,0.3624278089952718,0.47635690732803404,0.4059311354170887,0.36658375685859146,0.41942859059454474,0.4338876165681216,0.41391273196328804,0.06884782943243573,0.3653760239480237,0.42634521874762876,0.4204725196296435,0.4426798446909914,0.39060138984250237,0.5103780410215408,0.4737486353742457,0.35003704783943357
