,"Coronilla emerus headspace - Coronilla emerus L., fam. Leguminosae",Lecythis usitata var. paraensis flower - Lecythis usitata Miers. var. paraensis (Ducke) R. Kunth. fam. Lecythidacea,"Magnolia purpurella (China) 1 - Magnolia purpurella Law et Zhou, fam. Magnoliaceae","Mimusops elengi flower headspace - Mimusops elengi L., fam. Sapotaceae","Rose (Bulgaria) 3b - Rosa damascena Mill., fam. Rosaceae","Rose (Bulgaria) 4a - Rosa damascena Mill., fam. Rosaceae","Rose (Bulgaria) 4c - Rosa damascena Mill., fam. Rosaceae","Rose (Egypt) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Egypt) 2 - Rosa damascena Mill., fam. Rosaceae","Rose (Morocco) - Rosa damascena Mill., fam. Rosaceae","Rose absolute - Rosa centifolia L., fam. Rosaceae","Rose headspace 2 - Rosa damascena Mill., cv. rose de resht, fam. Rosaceae"
"Coronilla emerus headspace - Coronilla emerus L., fam. Leguminosae",1.0,0.24102104135715463,0.37043720175453754,0.5000816048627297,0.2858381378013791,0.49070953501554604,0.40605312595017506,0.40684068773374527,0.08630078781391015,0.2175520217528718,0.20654323092813742,0.2781213083533193
Lecythis usitata var. paraensis flower - Lecythis usitata Miers. var. paraensis (Ducke) R. Kunth. fam. Lecythidacea,0.24102104135715463,1.0,0.30793747316628073,0.31536953034508564,0.2335518105358435,0.3251289835911373,0.26809348346047723,0.32064439185000926,0.06482037092627035,0.18105473303753816,0.19069118220820147,0.1889568602507019
"Magnolia purpurella (China) 1 - Magnolia purpurella Law et Zhou, fam. Magnoliaceae",0.37043720175453754,0.30793747316628073,1.0,0.46041293457470656,0.24920339381899426,0.4160220407751204,0.44464959001285886,0.4497616694093981,0.03179711703225008,0.17646571276153622,0.16493904965684292,0.3075684303019126
"Mimusops elengi flower headspace - Mimusops elengi L., fam. Sapotaceae",0.5000816048627297,0.31536953034508564,0.46041293457470656,1.0,0.37359288178291106,0.5485290304984574,0.4817649718222501,0.5068670812027907,0.15904280044161478,0.30039907602259064,0.2896212388242959,0.35635782980732056
"Rose (Bulgaria) 3b - Rosa damascena Mill., fam. Rosaceae",0.2858381378013791,0.2335518105358435,0.24920339381899426,0.37359288178291106,1.0,0.6145952158949526,0.23776826812168284,0.4403412251263228,0.6602751631995275,0.8885093393072745,0.8057468202739301,0.2940966030667592
"Rose (Bulgaria) 4a - Rosa damascena Mill., fam. Rosaceae",0.49070953501554604,0.3251289835911373,0.4160220407751204,0.5485290304984574,0.6145952158949526,1.0,0.5388187308763076,0.5892301430221736,0.36572757818605917,0.5478963577754394,0.529510204673535,0.3626575326171545
"Rose (Bulgaria) 4c - Rosa damascena Mill., fam. Rosaceae",0.40605312595017506,0.26809348346047723,0.44464959001285886,0.4817649718222501,0.23776826812168284,0.5388187308763076,1.0,0.4813071691557441,0.0,0.16035789884247287,0.15229962385000229,0.32873346406035475
"Rose (Egypt) 1 - Rosa damascena Mill., fam. Rosaceae",0.40684068773374527,0.32064439185000926,0.4497616694093981,0.5068670812027907,0.4403412251263228,0.5892301430221736,0.4813071691557441,1.0,0.15154360183253757,0.3727489118338807,0.32791660978615234,0.6270100571911963
"Rose (Egypt) 2 - Rosa damascena Mill., fam. Rosaceae",0.08630078781391015,0.06482037092627035,0.03179711703225008,0.15904280044161478,0.6602751631995275,0.36572757818605917,0.0,0.15154360183253757,1.0,0.7322462732957364,0.7976717966210332,0.05718601214086605
"Rose (Morocco) - Rosa damascena Mill., fam. Rosaceae",0.21755202175287192,0.18105473303753816,0.17646571276153622,0.30039907602259064,0.8885093393072745,0.5478963577754394,0.16035789884247287,0.3727489118338807,0.7322462732957364,1.0,0.8681092312619645,0.24001773160570117
"Rose absolute - Rosa centifolia L., fam. Rosaceae",0.20654323092813753,0.19069118220820147,0.16493904965684292,0.2896212388242959,0.8057468202739301,0.529510204673535,0.15229962385000229,0.32791660978615234,0.7976717966210332,0.8681092312619645,1.0,0.20398382992151687
"Rose headspace 2 - Rosa damascena Mill., cv. rose de resht, fam. Rosaceae",0.2781213083533193,0.1889568602507019,0.3075684303019126,0.35635782980732056,0.2940966030667592,0.3626575326171545,0.32873346406035475,0.6270100571911963,0.05718601214086605,0.24001773160570117,0.20398382992151687,1.0
