,"Artemisia waltonii (China) - Artemisia waltonii J.R. Drumm. ex Pamp., fam. Asteraceae (Compositae)","Calamus (China) 4 root - Acorus calamus L., fam. Araceae","Cymbopogon microstachys - Cymbopogon microstachys (Hook. f.) S. Soenarko, fam. Poaceae (Gramineae)","Tarragon (Cuba) - Artemisia dracunculus L., fam. Asteraceae (Compositae)","Tarragon (Poland) 1 - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon (Poland) 2b leaf - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon (Poland) 3a root/rhizome - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Poland) 3b root/rhizome - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon (USA) 4 - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Thapsia garganica root - Thapsia garganica L., fam. Apiaceae (Umbelliferae)"
"Artemisia waltonii (China) - Artemisia waltonii J.R. Drumm. ex Pamp., fam. Asteraceae (Compositae)",1.0,0.029065589349159926,0.560068193116381,0.5025800088016232,0.31649229965863046,0.17663954849495234,0.22288354636602503,0.10302096187960541,0.2899618728057447,0.02797056862356173
"Calamus (China) 4 root - Acorus calamus L., fam. Araceae",0.029065589349159926,1.0,0.014477516249642441,0.2961514471389588,0.29948155316215075,0.16953598382384127,0.3888410435730544,0.2713686792790485,0.2636531243523068,0.21145584384872618
"Cymbopogon microstachys - Cymbopogon microstachys (Hook. f.) S. Soenarko, fam. Poaceae (Gramineae)",0.560068193116381,0.014477516249642441,1.0,0.36828027019647036,0.3766168067798116,0.2213044031015995,0.21331831809500923,0.08943892345738758,0.2558382786357315,0.0
"Tarragon (Cuba) - Artemisia dracunculus L., fam. Asteraceae (Compositae)",0.5025800088016231,0.2961514471389588,0.36828027019647036,1.0,0.5703774776328072,0.4230915418656125,0.6147869681644678,0.4508476247383907,0.6303860254678288,0.35471865049667584
"Tarragon (Poland) 1 - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)",0.31649229965863046,0.29948155316215075,0.3766168067798116,0.5703774776328072,1.0,0.6309040548427851,0.6667075966577464,0.550274511623112,0.6206904819762615,0.3345668618775761
"Tarragon (Poland) 2b leaf - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)",0.17663954849495234,0.16953598382384127,0.2213044031015995,0.4230915418656125,0.6309040548427851,1.0,0.4487826547188204,0.39538999977582645,0.6865444505722424,0.20076668267723208
"Tarragon (Poland) 3a root/rhizome - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)",0.22288354636602503,0.3888410435730544,0.21331831809500923,0.6147869681644678,0.6667075966577464,0.4487826547188204,1.0,0.6735920213996297,0.565552179996047,0.4808109878474697
"Tarragon (Poland) 3b root/rhizome - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)",0.10302096187960541,0.2713686792790485,0.08943892345738758,0.4508476247383907,0.550274511623112,0.39538999977582645,0.6735920213996297,1.0,0.42709372183315386,0.3540145992878331
"Tarragon (USA) 4 - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)",0.2899618728057447,0.2636531243523068,0.2558382786357315,0.6303860254678288,0.6206904819762615,0.6865444505722424,0.565552179996047,0.42709372183315386,1.0,0.32031218419202423
"Thapsia garganica root - Thapsia garganica L., fam. Apiaceae (Umbelliferae)",0.02797056862356173,0.21145584384872618,0.0,0.35471865049667584,0.3345668618775761,0.20076668267723208,0.4808109878474697,0.3540145992878331,0.32031218419202423,1.0
