,"Patchouli (China) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (China) 2 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Costa Rica) - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (India) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (India) 2 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia) 2 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia) 3 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia) 4 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia) 5 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia) 6 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia, Java) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Indonesia, Sumatra) 1 - Pogostemon cablin Benth. (P. patchouli Pellet), fam. Lamiaceae (Labiatae)","Patchouli (Japan) - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Taiwan) - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (The Philippines) - Posgostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (Vietnam) - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (West India) - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)"
"Patchouli (China) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",1.0,0.23817437069059122,0.5040856569183938,0.3676572240249021,0.1994032445104773,0.11624513900592126,0.2979531090722377,0.5008019645134106,0.5679439537767985,0.17214481560833073,0.33651387842231817,0.475045073258216,0.5085733401108017,0.32361899065862143,0.4232389206768308,0.4755594439033549,0.4976076397595047,0.3969416943351657
"Patchouli (China) 2 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.23817437069059122,1.0,0.32090154538603366,0.6499044394221021,0.05302063133654855,0.2922696673284343,0.049457203106584635,0.17140906719082305,0.44836558364278256,0.061794103756902086,0.38616312383545126,0.45405139482885126,0.4696052343688567,0.0792934678225945,0.1261174380424327,0.1546828878549188,0.5192072364021837,0.3646444855705828
"Patchouli (Costa Rica) - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.5040856569183938,0.32090154538603366,1.0,0.4433228701198828,0.2379094005218868,0.3295150094660946,0.14083261258596846,0.306848647988328,0.729130531774911,0.2736190386647974,0.48711145374788456,0.7699475793245666,0.7321602496890123,0.26387217469997404,0.27541345498864755,0.36651185591395596,0.5838320093185518,0.7979659486738617
"Patchouli (India) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.3676572240249021,0.6499044394221021,0.4433228701198828,1.0,0.1863365373077499,0.3021715851333955,0.10856490629742943,0.32119236842813037,0.567964157239448,0.19218038811299532,0.38753527589572423,0.5304474885770084,0.5210733126648401,0.28255288320435934,0.2619794888395588,0.3494143238124614,0.5491895554123678,0.43719090227658153
"Patchouli (India) 2 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.1994032445104773,0.05302063133654855,0.2379094005218868,0.1863365373077499,1.0,0.007604306965001695,0.031193573247285,0.4048038659390317,0.23404156596360415,0.8508391951755689,0.08360531553414674,0.18735364208088345,0.18530344667273468,0.16823872834554354,0.4520995911833803,0.4565498939727648,0.15786871227129762,0.1745059101236166
"Patchouli (Indonesia) 1 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.11624513900592126,0.2922696673284343,0.3295150094660947,0.3021715851333955,0.007604306965001695,1.0,0.048948698191423334,0.1329650829920801,0.41618963021801203,0.045754904499402005,0.35130210951856344,0.4742571587127239,0.4425415527588853,0.0037600652525092704,0.10317553101395993,0.14799607008237436,0.4088379306850364,0.45702621030543533
"Patchouli (Indonesia) 2 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.2979531090722377,0.049457203106584635,0.14083261258596846,0.10856490629742943,0.031193573247285,0.048948698191423334,1.0,0.16295042494856893,0.24210281613133822,0.0,0.10970644257846907,0.13982380089098134,0.16142726135031837,0.030634079349824206,0.1354617649800327,0.14976433162914782,0.09244534250268532,0.08203086910320567
"Patchouli (Indonesia) 3 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.5008019645134106,0.17140906719082305,0.306848647988328,0.32119236842813037,0.4048038659390317,0.1329650829920801,0.16295042494856893,1.0,0.4234248624886915,0.3583160945748307,0.25373354781433444,0.3396361041211128,0.34405963122978034,0.39809347268325257,0.822662366485315,0.7927664280839946,0.3611130478565723,0.266367781916072
"Patchouli (Indonesia) 4 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.5679439537767985,0.44836558364278256,0.729130531774911,0.567964157239448,0.23404156596360415,0.41618963021801203,0.24210281613133822,0.4234248624886915,1.0,0.2515524149822784,0.5821031982000227,0.7986762093045776,0.7880427415259379,0.32708469402153506,0.3856949370696148,0.464274189663729,0.6640177184312304,0.7106830842653099
"Patchouli (Indonesia) 5 - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.17214481560833073,0.061794103756902086,0.2736190386647974,0.19218038811299532,0.8508391951755689,0.045754904499402005,0.0,0.3583160945748307,0.2515524149822784,1.0,0.1212075045437555,0.21738775601008442,0.20717162339229012,0.1615521803785469,0.3997301960480162,0.42449637787766326,0.16288200487149496,0.22344947283885497
