,"Alpinia katsumadai seed (Vietnam) - Alpinia katsumadai Hayata L., fam. Zingiberaceae","Citronella ceylon (Zimbabwe) - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)","Citronella ceylon 1 - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)","Citronella ceylon 2 - Cymbopogon nardus (L.) Rendle (Ceylon/Lenabutu type), fam. Poaceae (Gram.)","Citronella ceylon 5 - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)","Cymbopogon caesius leaf - Cymbopogon caesius (Nees ex Hook. et Arn.) Stapf., fam. Poaceae (Graminea)","Geranium (Algeria) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Algeria) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Bulgaria) - Pelargonium graveolens l'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 6 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Egypt) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Egypt) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Egypt) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Egypt) 4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Egypt) 5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  6 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  7 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  8 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  9 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India) 10 - Pelargonium species, fam. Geraniaceae","Geranium (India) 11 - Pelargonium species, fam. Geraniaceae","Geranium (India) 12b Genotype 2 'Bourbon' - Pelargonium species, fam. Geraniaceae","Geranium (India) 12c Genotype 3 'Kelkar' - Pelargonium species, fam. Geraniaceae","Geranium (India) 13 - Pelargonium graveolens L., fam. Geraniaceae","Geranium (India) 14a - Pelargonium species, cultivar Bourbon, fam. Geraniaceae","Geranium (India) 14b - Pelargonium species, cultivar Bourbon, fam. Geraniaceae","Geranium (India) 15 - Pelargonium graveolens L'Heritt., fam. Geraniaceae","Geranium (India) 15a cv. Kunti - Pelargonium graveolens L'Herit. ex Aiton, cv. Kunti, fam. Geraniaceae","Geranium (Madagascar) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Morocco) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Morocco) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Morocco) 3 - Pelargonium graveolens L'Herti. ex Aiton, fam. Geraniaceae","Geranium (Rwanda) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  6 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  7 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  8 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon 10 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon 11 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Helichrysum amorginum (Greece) - Helichrysum amorginum Boiss. et Orph. in Boiss., fam. Asteraceae (Compos.)","Helichrysum italicum (Greece) - Helichrysum italicum (Roth) G. Don ssp. italicum, fam.Asteraceae (Compos.)","Lemongrass (Ethiopia) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Mentha arvensis ssp. austriaca 1 - Mentha arvensis (L.) ssp. austriaca (Jacquin) Briq., fam. Lamiaceae","Nepeta cataria 2 - Nepeta cataria L. var. citriodora, fam. Lamiaceae (Labiatae)","Rosa centifolia (Poland) - Rosa centifolia L., fam. Rosaceae","Rose (Bulgaria) 3a - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1b - Rosa species (France), fam. Rosaceae","Rose (India) 2 - Rosa damascena Mill., fam. Rosaceae","Rose (Kazanlik) - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 2 - Rosa damascena Mill., fam. Rosaceae","Rose 1 - Rosa damascena Mill., fam. Rosaceae","Rose headspace 1 - Rosa damascena Mill., cv. Othello, fam. Rosaceae"
"Alpinia katsumadai seed (Vietnam) - Alpinia katsumadai Hayata L., fam. Zingiberaceae",1.0,0.57206750954236,0.4262603626483211,0.5219867618126502,0.47160925358306316,0.28615765382760616,0.43700117445950504,0.4490638859614339,0.4365599267287166,0.41917009547099804,0.3767491321047013,0.43600626116752295,0.3777379773056375,0.43054030880298544,0.41508354402259207,0.43835811077032394,0.42718272626201803,0.46902334034511617,0.5083045585440542,0.4904758120360393,0.4615776469314259,0.48229614495003603,0.36817419599803314,0.4592293807241832,0.4439422330820204,0.6533300571571485,0.37065456661098073,0.3983762091964551,0.47353951851732434,0.34844393193351275,0.6101283556587166,0.5415558502984463,0.5015510671634164,0.5102917738505399,0.4602384644648071,0.44672327428224934,0.4380682737437305,0.4181391711449598,0.4464836104382892,0.4638837540971147,0.46516612389905987,0.46968232670708854,0.4263144640008433,0.4482158428823224,0.466035612835791,0.4381236991732482,0.48703374809377287,0.46696979649642445,0.39372832007981073,0.5021001171306751,0.44373805446180015,0.3224413786793482,0.30568645222532354,0.4006434783006476,0.304159350053142,0.38748594098711364,0.33908024407227244,0.3168152700274076,0.34924115682513357,0.3271966181410154,0.3895430716264392
"Citronella ceylon (Zimbabwe) - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)",0.57206750954236,1.0,0.5241013514898262,0.6229180888841149,0.5424865360914071,0.32452407053340127,0.3722047083508301,0.4240704616890737,0.360810997105555,0.34092090992132174,0.269215124124357,0.35070117572675796,0.2922103618361117,0.36532821021226136,0.3452784862486551,0.31688083598915817,0.4343547617442419,0.3744575982540542,0.4146869847702993,0.3987650881279162,0.4389664575335642,0.4131446339431607,0.3514934255203809,0.3542905797116158,0.367504237255592,0.5413063848164926,0.2363742528356464,0.32246465626808496,0.3960120530526262,0.24300066085228822,0.586697369519571,0.5211667895857499,0.49108608926195785,0.4923318334476904,0.36225101011828054,0.42983409678056694,0.34758936996235545,0.3396883035690076,0.36814041494240435,0.4114037181212661,0.41638868929813033,0.5110598293540519,0.43502348437351057,0.3697869714879457,0.41561587493772145,0.34763710816485016,0.44845023535525474,0.4264520129064814,0.3583762159867291,0.49623066028672946,0.5296869369259851,0.35805474618538424,0.34342832648988064,0.35007692374640886,0.2433938116672043,0.36768818897542876,0.2525102844985895,0.3193453236741446,0.27431178718269456,0.28876734066765375,0.41630092112238637
"Citronella ceylon 1 - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)",0.4262603626483211,0.5241013514898262,1.0,0.6695455310722978,0.7085726772301217,0.3944390625166597,0.3729138926632618,0.47668474888030543,0.4637410352173744,0.399737581915355,0.32525877930642055,0.40666199358749533,0.36956718214437967,0.4347746808634859,0.40813973055048236,0.3904270213364699,0.4536447414341467,0.37740515912699457,0.3705872078104685,0.35912532051947665,0.4649386359655383,0.42685737278123037,0.3864405972789303,0.364603961279367,0.39514545984641924,0.37322580548951,0.2759317761518092,0.37696885611012765,0.4029283730073091,0.2932460301227685,0.45698993389858966,0.5007112083606702,0.5094299632223069,0.5122597936088931,0.39938448496447043,0.20125430454867532,0.3852518727786036,0.3817700899655385,0.3723706044254905,0.4325253129034987,0.4366019905320915,0.4374957020930331,0.4455902789632078,0.3727338394380929,0.43705111569981425,0.3853025358929667,0.47523555189018174,0.4487527408438592,0.23051350919834823,0.31308630397825965,0.3079598131174138,0.2529880173342598,0.4476443259298617,0.34994803041382183,0.3273421287400472,0.4261930729628288,0.313271510426531,0.3458898642991214,0.2960858801108254,0.31015838644525195,0.3471589168853674
"Citronella ceylon 2 - Cymbopogon nardus (L.) Rendle (Ceylon/Lenabutu type), fam. Poaceae (Gram.)",0.5219867618126504,0.6229180888841149,0.6695455310722978,1.0,0.7104523273832497,0.43318416028008466,0.3475458251954324,0.4535331336058588,0.4466232465622171,0.38033372079660177,0.28720137328064976,0.37598904793188026,0.33382331105558105,0.41050547217005284,0.37742714781328035,0.3606786239710623,0.4365500364057553,0.3565250312952747,0.3566805423995403,0.34167302333071903,0.45103695813412004,0.41029903454676675,0.3955002899761928,0.3414204991657944,0.3766203911383543,0.4480711936280912,0.24548305757294886,0.34509880612706856,0.3970886752085847,0.2630018620262179,0.5285838314496698,0.5099910169954187,0.51572439668125,0.5068059386216563,0.372270431721033,0.28045095017129174,0.36441683262155844,0.34902995188136954,0.3568020554811002,0.41285033835630136,0.4213664175979479,0.44134702979814844,0.43175634637755445,0.35827708087089216,0.4231483353723753,0.3644658348190748,0.46687807947982407,0.4377808677340649,0.36499033873127285,0.4601168463731191,0.4098570131902083,0.36477105036902846,0.4474381323656771,0.37276820314810977,0.31236753667166883,0.43988034794098185,0.3027447608499563,0.3779455762349988,0.2958844671112574,0.31965177916151655,0.4110535173901515
"Citronella ceylon 5 - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)",0.47160925358306316,0.5424865360914071,0.7085726772301217,0.7104523273832497,1.0,0.40613910518410923,0.34408840942004304,0.43387248682738067,0.4304753196253539,0.3635463085043005,0.28925021230337544,0.36671018779811315,0.33129999044578295,0.3956952691466924,0.37027206038031324,0.35031154674971177,0.4088896073672752,0.3451443396957803,0.3458018788502908,0.3391528240016828,0.4348924823321356,0.3984732830029586,0.37254090121125927,0.33755837866864713,0.37163331887388473,0.41595880167144916,0.2544199781783961,0.3411554322144583,0.3859350987748925,0.2700680745948927,0.48507392939919236,0.47383946275070665,0.48346596825478905,0.4750200835904146,0.36633855816991845,0.25476297012754257,0.3480528779987132,0.34549587036691276,0.3407793880631399,0.3887789815598358,0.3975792022420609,0.4172823268767102,0.4037632134814281,0.34209643500553333,0.4019674633457021,0.3481006501436251,0.4379197261238842,0.4120966257292694,0.2982541439909464,0.38823552557810104,0.3608507407130279,0.30775184678624523,0.41670369694593634,0.34855406305890835,0.3011518959147902,0.4121871289721123,0.29902899651015546,0.3412792211360408,0.2887583228481554,0.30443640931250604,0.3577827481357132
"Cymbopogon caesius leaf - Cymbopogon caesius (Nees ex Hook. et Arn.) Stapf., fam. Poaceae (Graminea)",0.28615765382760616,0.32452407053340127,0.3944390625166597,0.43318416028008466,0.40613910518410923,1.0,0.19046899886678847,0.2644169526553263,0.2666458802319911,0.21299161851088477,0.15036561159106554,0.21395971916104617,0.18609575001109957,0.236253645035719,0.21622507746005915,0.2075061971464437,0.24524636137139688,0.19460472851491561,0.19204510604128322,0.18491618772530838,0.26270443539728283,0.2357792739283423,0.2141131621870489,0.18647409227288103,0.21294897451364914,0.2379760676144611,0.1192694368797097,0.19139655793847998,0.2228890658386189,0.1319265134450146,0.29139948828488427,0.292702154579106,0.29962489271229187,0.2955004396277908,0.2126807657438029,0.09857654173287267,0.19844382554851114,0.19860426904134654,0.19083800293892395,0.23070671833128198,0.2366209799070872,0.24369259727361092,0.240617784073898,0.19201837645192277,0.24052911918070474,0.19848268062461127,0.26885358875338083,0.24871990266082522,0.1538445368297644,0.2189879092637117,0.17602591725680294,0.13255673156538628,0.27043300770069545,0.19219688545219327,0.15875937908997828,0.249594562378185,0.1558531697273755,0.18853939130322583,0.14486575763386844,0.15779645303898615,0.19345383819323525
"Geranium (Algeria) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.43700117445950504,0.3722047083508301,0.3729138926632618,0.3475458251954324,0.34408840942004304,0.19046899886678847,1.0,0.7881643888393041,0.6228411934716598,0.6717011760227973,0.8254821975155896,0.8098072278223231,0.7721683366059036,0.7638965752929926,0.8059002561471225,0.6206585826162757,0.7045748953046173,0.7862737940609562,0.7870511244229174,0.794699258409564,0.823588617168906,0.8479771417766767,0.5622543511948143,0.8381622106694477,0.8695516194243649,0.518605160506821,0.7471953856510158,0.8087147655130829,0.8470889101570843,0.7942560117184221,0.565145036948651,0.710973747896287,0.7602517881896148,0.7520953134668562,0.8220118053076905,0.3144706976245507,0.6798364686419887,0.8376224387581115,0.7676129046899677,0.7037028533009116,0.7114853962393148,0.7052675941521911,0.6983585775316988,0.7575339881005826,0.7127574496177238,0.6798637277014333,0.7074231546715749,0.6979886186673891,0.10881752312194048,0.19560405644385137,0.19929014337115347,0.10566391877555104,0.3533512138012824,0.4669713745616827,0.46066399283993775,0.4909263256652301,0.5071978109448807,0.3329010391082955,0.48363429706164596,0.4036006439710832,0.31648861136745776
"Geranium (Algeria) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.4490638859614339,0.4240704616890737,0.47668474888030543,0.4535331336058588,0.43387248682738067,0.2644169526553263,0.7881643888393041,1.0,0.7247691149884844,0.760911503349216,0.7652028740374882,0.864251830594017,0.8158274140861772,0.8837112046355644,0.8533637219386577,0.665470132997062,0.8049008951110709,0.7615893611652751,0.7065846438362462,0.6732909402168918,0.8682178603635097,0.8406733843666844,0.6151292474737293,0.7593739910810017,0.8144152794735192,0.46620837265447734,0.6501945449221953,0.7904173856846228,0.7984862865953841,0.700822814334799,0.5618205814373101,0.7889276596812449,0.8710218694152327,0.89972600106512,0.8138450655947681,0.2334066643925825,0.7364589396308064,0.7900388552014415,0.7616616115601149,0.7922677402298481,0.7910973685686546,0.6856267139949191,0.7836693934915409,0.7535341591420863,0.794404574981119,0.736491258005149,0.8135448224235058,0.7898242303151621,0.1440722442086737,0.21893637619656403,0.20219775045159505,0.09194215497872227,0.48139521623071857,0.4751286881091823,0.5117998880116648,0.5715508617995151,0.5167139407527087,0.40156634787403855,0.4695781675473827,0.42875786198072297,0.3472468597414341
"Geranium (Bulgaria) - Pelargonium graveolens l'Herit. ex Aiton, fam. Geraniaceae",0.4365599267287166,0.360810997105555,0.4637410352173744,0.4466232465622171,0.4304753196253539,0.2666458802319911,0.6228411934716597,0.7247691149884844,1.0,0.6648277446680646,0.6825971494226979,0.736595182458337,0.7448895229914152,0.7367783073901013,0.7341842665115043,0.6968677153318854,0.627935457723209,0.6450255537115779,0.5899876537970485,0.6032675124063707,0.6922437533620939,0.7001536377853722,0.5412640716898033,0.6489904512704445,0.6738234860658447,0.40893987728531433,0.6319966713262083,0.7041461938660454,0.6339302189067275,0.6342458429332345,0.48197056005138783,0.6413866934681608,0.685138918749407,0.6930226037563512,0.7323080523089733,0.16329650479039926,0.6421971265563153,0.6721372896689737,0.5897841406181534,0.6432109147855959,0.6485359708936433,0.5261174894133737,0.604678688050072,0.5935569118505084,0.6692395823862707,0.6422841788486833,0.6845631999278046,0.6471241331095331,0.1192865327145235,0.18570252767747641,0.1690340378455344,0.05189718444072067,0.5393343310715881,0.4976470319066215,0.5833165277418229,0.5942744899272014,0.5906741596768197,0.42614231771851663,0.5134962584236259,0.4684810008397091,0.33200047090856444
"Geranium (China, Yunnan) 6 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.41917009547099804,0.34092090992132174,0.399737581915355,0.38033372079660177,0.3635463085043005,0.21299161851088477,0.6717011760227973,0.760911503349216,0.6648277446680646,1.0,0.7327886195736724,0.7936978901081585,0.7652829560453824,0.7973883368155275,0.7450856180475317,0.6678913743926933,0.739598041987024,0.7925428649745051,0.7056356997763649,0.6126718985576524,0.6980015700188704,0.765719228872121,0.5174042775413934,0.7182367287961727,0.6971760917953783,0.4084716040714994,0.6409698334836544,0.6678098291675592,0.6992295273927438,0.6252335783049603,0.48736529711214105,0.74504932331798,0.7359783025285467,0.7398780910020339,0.7670171533766547,0.16686321804814053,0.8271312791894045,0.6899660085094556,0.802145306302686,0.8225794646186949,0.8133464307795704,0.5651922856493392,0.7175849649976515,0.8069655674006571,0.8190398040096804,0.8270674265538602,0.7898886748288941,0.8035884922345856,0.08080662098154179,0.14601565857511067,0.13538917982646048,0.0224306209834938,0.4285370661615724,0.3849652139376656,0.44912156288658556,0.4998059936481506,0.44224823139676295,0.3338229953904521,0.39194778410208897,0.36659988781379027,0.2607434707276898
