,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Borneol,alpha-Muurolene,beta-Caryophyllene,Ylangene,beta-Selinene,delta-Cadinene,gamma-Cadinene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,Piperitone,gamma-Terpinene,Camphor,beta-Bisabolene,Geraniol,alpha-Copaene,alpha-Ylangene,Benzaldehyde,Nerol,Citronellal,"1,8-Cineole",trans-Sabinene hydrate,Caryophyllene oxide,Cuminaldehyde,Eugenol,Germacrene D,Cinnamyl acetate,Isocaryophyllene,beta-Cubebene,gamma-Elemene,gamma-Muurolene,beta-Elemene,Methyl eugenol,(E)-Nerolidol,Methyl chavicol,(E)-beta-Ocimene,Cubenol,alpha-Cadinol,(Z)-beta-Ocimene,T-Cadinol,delta-Cadinol,alpha-Thujene,Carvone,alpha-Selinene,Guaiacol,Humulene oxide,trans-alpha-Bergamotene,"(Z,E)-alpha-Farnesene",Safrole,Linalyl acetate,alpha-Cubebene,Ledol,Ethanol,cis-Linalool oxide (5) (furanoid),Ethyl acetate,trans-Linalool oxide (5) (furanoid),Geranial,allo-Aromadendrene,ar-Curcumene,alpha-Calacorene,Cubebol,trans-Calamenene,Cadalene,Anethole,6-Methyl-5-hepten-2-one,beta-Bourbonene,Zingiberene,cis-Linalool oxide (unknown isomer),Chavicol,1-Hexanol,1-Octanol,Benzyl benzoate,Methyl cinnamate,gamma-Eudesmol,"alpha,p-Dimethylstyrene",Humulene epoxide II,2-Phenylethanol,2-Phenylethyl acetate,Cinnamyl alcohol,Cinnamyl aldehyde,Methyl benzoate,Methyl carvacrol,Pentylbenzene,"n-Pentyl-1,3-cyclohexadiene","(E,E)-alpha-Farnesene",Propyl isobutyrate,Eugenyl acetate,Ethyl cinnamate,Methyl isoeugenol,(E)-Methyl isoeugenol,4-Carene,Palustrol,Viridiflorol,Calamenene,Eremophilene,delta-Selinene,Methyl thymol,2-Phenylethyl benzoate,2-Phenylethyl propionate,"(E,E)-Farnesol",cis-Calamenene,Guaiene (unknown isomer),Isoeugenol,3-Hexenol-1,Caryophyllene alcohol,Caryophyllene aldehyde,beta-Humulene,Copaenol,2-Hexenal,(E)-Cinnamyl aldehyde,Cubebene (unknown isomer),gamma-Cadinol,(E)-Cinnamyl acetate,(E)-Cinnamyl alcohol,(Z)-Cinnamyl aldehyde,Hexadecyl acetate,7-Octen-4-ol,Humulol,Calamenol,Humuladienone
"Cinnamomum impressinervium - Cinnamomum impressinervium Meissn., fam. Lauraceae",0.041,0.001,0.005,0.0,0.006,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (Brazil) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae",0.001,0.0001,0.0013,0.0001,0.0013,0.0,0.0,0.0001,0.0011,0.0,0.0,0.0,0.0,0.0001,0.0001,0.001,0.0,0.0,0.0001,0.0,0.0001,0.0092,0.0001,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.001,0.0,0.0035,0.0,0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (Cameroon) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.003,0.002,0.005,0.002,0.004,0.001,0.0,0.018,0.0,0.0,0.0,0.0005,0.001,0.0005,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.028,0.009,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.005,0.0,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0005,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (China) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.0036,0.0028,0.0102,0.0024,0.0115,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0017,0.0,0.0017,0.0033,0.0,0.002,0.0,0.0,0.0019,0.007,0.018,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828,0.0,0.0033,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0003,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (India) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.0,0.0018,0.0049,0.0017,0.0028,0.0012,0.0,0.0225,0.0,0.0001,0.0,0.0008,0.0013,0.0046,0.0011,0.0001,0.0,0.0005,0.0003,0.0001,0.0014,0.037,0.0103,0.0004,0.0,0.0005,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0038,0.0,0.0011,0.0001,0.845,0.0,0.025,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0019,0.0005,0.0,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0001,0.0019,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (India) 3a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.002,0.002,0.0059,0.0033,0.0038,0.0,0.0,0.0066,0.0,0.0,0.0009,0.0,0.0009,0.0017,0.0005,0.0,0.0,0.0,0.0,0.0,0.0014,0.0107,0.0059,0.0006,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0036,0.0,0.9108,0.0,0.0012,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (India) 3b - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.002,0.0016,0.0033,0.0012,0.0036,0.0,0.0,0.0048,0.0,0.0,0.0006,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0086,0.0023,0.0009,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0011,0.0,0.0026,0.0,0.9394,0.0,0.0019,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (Seychelles) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.003,0.004,0.0035,0.0055,0.012,0.002,0.0,0.031,0.0,0.0,0.0,0.0015,0.0035,0.003,0.002,0.0015,0.0,0.001,0.0035,0.0,0.005,0.015,0.0095,0.006,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0035,0.0,0.6835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0005,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.012,0.001,0.0,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf (Sri Lanka) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.0018,0.0012,0.003,0.0014,0.0079,0.0007,0.0,0.0333,0.0,0.0,0.002,0.0,0.0001,0.0061,0.0,0.0,0.0,0.0003,0.0,0.0,0.0035,0.024,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0017,0.0,0.0,0.0014,0.0,0.0064,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
"Cinnamon leaf 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.0001,0.0001,0.002,0.0001,0.0035,0.0,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0015,0.015,0.0001,0.0,0.001,0.0,0.0,0.0,0.0001,0.0,0.0025,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.87,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0001,0.0,0.0,0.0,0.0,0.0,0.006,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
