,"Armoise (Italy) - Artemisia vulgaris L., fam. Asteraceae (Compositae)","Artemisia alba (Italy) - Artemisia alba Turra, fam. Asteraceae (Compositae)","Artemisia aucheri (Iran) 2 - Artemisia aucheri Boiss., fam. Asteraceae (Compositae)","Artemisia diffusa (Iran) 1 - Artemisia diffusa Krasch. ex Poljak., fam. Asteraceae (Compositae)",Artemisia sieberi (Iran) - Artemisia sieberi (Iran),"Camphor (China) - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Camphor (Cote d'Ivoire), 1a leaf - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Camphor (Cote d'Ivoire), 1b stem - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Camphor (Cote d'Ivoire), 1c bark - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Camphor (Cuba) - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Camphor (Japan) - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Cinnamomum oliveri leaf (Australia) - Cinnamomum oliveri F.M. Bailey, fam. Lauraceae","Cinnamomum parthenoxylum (China) 1c - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Lavandula lanata (Spain) 1 - Lavandula lanata Boiss., fam. Lamiaceae (Labiatae)","Lavandula lanata (Spain) 2 - Lavandula lanata Boiss., fam. Lamiaceae (Labiatae)","Lippia ukambensis (Kenya) 1 - Lippia ukambensis Vatke, fam. Verbenaceae","Neocinnamomum delavayi - Neocinnamomum delavayi (L. Lec.) Liou, fam. Lauraceae","Ocimum canum (camphor-type) 1 - Ocimum canum Sims., fam. Lamiaceae (Labiatae)","Sage, dalmatian 3 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Tanacetum parthenium (The Netherlands) - Tanacetum parthenium (L.) Schultz-Bip. (Feverfew), Asteraceae (Compositae)","Tansy (Finland) 1b - Tanacetum vulgare L. camphor chemotype, fam. Asteraceae (Compositae)"
"Armoise (Italy) - Artemisia vulgaris L., fam. Asteraceae (Compositae)",1.0,0.6064651003129156,0.6928358318968297,0.7169296991744993,0.7212700321789528,0.34728609042226044,0.48385936143297636,0.6101790490189112,0.653897740245339,0.5310034777067535,0.6566472511133161,0.34144263283359555,0.30241113610137904,0.6426355541660849,0.44425268079424884,0.5247991392453765,0.6897467564822544,0.7113962174111769,0.7092823124164291,0.5263322718221825,0.6266226296145423
"Artemisia alba (Italy) - Artemisia alba Turra, fam. Asteraceae (Compositae)",0.6064651003129156,1.0,0.5880169486297813,0.49630363131609145,0.5987555917932561,0.19479287640059062,0.33522259812702326,0.45725868515709434,0.5685828823694365,0.37501922017231404,0.5544202230693419,0.3381242422945374,0.14979198286678985,0.5338054902135321,0.39512996887852603,0.49885066256808575,0.642967014478708,0.562389404990305,0.6372658540079232,0.48785184826372907,0.4810645894554231
"Artemisia aucheri (Iran) 2 - Artemisia aucheri Boiss., fam. Asteraceae (Compositae)",0.6928358318968297,0.5880169486297813,1.0,0.6411458895704897,0.7898427552213892,0.3148158703832262,0.453295563619297,0.6617730336075764,0.7601071382658189,0.4863406432610784,0.6742608818261149,0.34372559895064403,0.2618783617806324,0.6873983222528339,0.47652820604936263,0.5143366553301965,0.6755081297087953,0.7371812898320187,0.7472989504671743,0.5073681890438573,0.6057893126115244
"Artemisia diffusa (Iran) 1 - Artemisia diffusa Krasch. ex Poljak., fam. Asteraceae (Compositae)",0.7169296991744993,0.49630363131609156,0.6411458895704898,1.0,0.7053122725578401,0.48320373975742237,0.5944095683210793,0.7016109892385545,0.633958067803536,0.6197992933136034,0.6433754966701742,0.27251293874225324,0.4340089058517087,0.639898640696619,0.4163864744447301,0.4109949643585462,0.5636272137503008,0.6904891971717098,0.6254895759608973,0.44587730710276485,0.7059579504105411
Artemisia sieberi (Iran) - Artemisia sieberi (Iran),0.7212700321789528,0.5987555917932561,0.7898427552213892,0.7053122725578401,1.0,0.38289236170762897,0.5162409790467606,0.6977902970114476,0.7371072340530188,0.5458453868984883,0.6932995136450628,0.3402361937930344,0.32733521301956237,0.7334829148130554,0.5115342376596095,0.4909023203366104,0.6785328404437172,0.7464773475126142,0.7461987674844506,0.5210469333417009,0.6800047861899585
"Camphor (China) - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.34728609042226044,0.19479287640059062,0.31481587038322634,0.48320373975742237,0.38289236170762897,1.0,0.8014804356759451,0.6178461407205476,0.3621315316811383,0.7481482772546378,0.4071472843988371,0.040981487515807324,0.9112234611088292,0.4111842341732975,0.20212273527911817,0.11986433212722325,0.2504531329945269,0.4556817922622609,0.3090720322147231,0.19350411790286925,0.6478742932347832
"Camphor (Cote d'Ivoire), 1a leaf - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.48385936143297636,0.33522259812702315,0.453295563619297,0.5944095683210793,0.5162409790467606,0.8014804356759451,1.0,0.7474564240754791,0.5042937756189427,0.8518601765462546,0.5432353599630237,0.15748814780093512,0.7562870216148943,0.5374846278849408,0.31303073186342334,0.2563814483208431,0.3942891226793461,0.5887724501668772,0.4526124713372057,0.31739798572947875,0.7641387462720715
"Camphor (Cote d'Ivoire), 1b stem - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.6101790490189112,0.4572586851570942,0.6617730336075764,0.7016109892385545,0.6977902970114476,0.6178461407205478,0.7474564240754789,1.0,0.701807044458626,0.7446391009594941,0.6795350961800005,0.2533584877792622,0.5617440581938207,0.6734438263458351,0.42499477817325915,0.37434445318390364,0.5299061394504037,0.7448352568541974,0.6082859103434689,0.4174901405208792,0.8003328250436609
"Camphor (Cote d'Ivoire), 1c bark - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.653897740245339,0.5685828823694365,0.7601071382658189,0.633958067803536,0.7371072340530188,0.3621315316811381,0.5042937756189427,0.701807044458626,1.0,0.5276135751593831,0.757878931394816,0.3466270711860614,0.30794672673010703,0.6674472830455758,0.4680459385961868,0.4843059508056585,0.6301557657259318,0.7192975643077799,0.7034298209089614,0.49043899184978534,0.631558015751255
"Camphor (Cuba) - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.5310034777067535,0.3750192201723139,0.4863406432610785,0.6197992933136034,0.5458453868984883,0.7481482772546378,0.8518601765462546,0.7446391009594941,0.5276135751593831,1.0,0.5732778755909345,0.18806965082379234,0.7167962295594787,0.5684622537223393,0.33637441056803685,0.3085197826874284,0.44836862526026444,0.6188098498988113,0.49089184513395523,0.3569722151350352,0.7864775266888301
