,"Bunium persicum fruit (Iran) - Bunium persicum (Boiss.) B. Fedtsch., fam. Apiaceae (Umbelliferae)","Cumin (China) - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Egypt) 1 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Egypt) 2 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Egypt) 3 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Egypt) 4 - Cuminum cyminum L., Fam. Apiaceae (Umbelliferae)","Cumin (India) 2 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Pakistan) - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 1 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 2 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 3 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 4 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 5 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 6 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)","Cumin (Turkey) 7 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)"
"Bunium persicum fruit (Iran) - Bunium persicum (Boiss.) B. Fedtsch., fam. Apiaceae (Umbelliferae)",1.0,0.4079140234552776,0.5545639133238465,0.6502194298858742,0.5307007277027679,0.5334327645985142,0.7224425508597012,0.37356722893869077,0.17314060430910239,0.35656018079099494,0.13556153625751466,0.3640472235185568,0.5946019863827011,0.5751947621757141,0.5490703972324698
"Cumin (China) - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.4079140234552776,1.0,0.25996581712982414,0.3811866238782943,0.31618169083299896,0.32716021111718885,0.3506658959033535,0.2218392009469512,0.1039535500117732,0.223022330114091,0.10178593403185343,0.2281320021010773,0.34655659127380667,0.6546508934472672,0.27983394531272066
"Cumin (Egypt) 1 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.5545639133238465,0.25996581712982414,1.0,0.7656400269446708,0.8287908977493769,0.7265061368309669,0.7297322427992208,0.6372402042520633,0.34007752391051804,0.4634185434570407,0.30114719696396564,0.5407286622229954,0.8477003019252513,0.49996056011298773,0.5504849668544552
"Cumin (Egypt) 2 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.6502194298858742,0.3811866238782943,0.7656400269446708,1.0,0.7657555135109082,0.7101130497012035,0.7088016517357949,0.5926340476353558,0.3386920788603004,0.48776305911673024,0.30056618391700274,0.5335036021798607,0.813595470373353,0.5974157819382508,0.5447433131102823
"Cumin (Egypt) 3 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.5307007277027679,0.31618169083299896,0.8287908977493769,0.7657555135109082,1.0,0.7464318741032305,0.6590625260482155,0.6641103905834392,0.32938438547960647,0.4714655807894551,0.28524424444768026,0.5246228740692452,0.8532438961825514,0.5294150325380622,0.5785284299382198
"Cumin (Egypt) 4 - Cuminum cyminum L., Fam. Apiaceae (Umbelliferae)",0.5334327645985142,0.32716021111718885,0.7265061368309669,0.7101130497012035,0.7464318741032305,1.0,0.58869484763981,0.7567739119179064,0.5090042554435772,0.676415277571724,0.4637918716957018,0.7125189752139777,0.7463144530304504,0.5530621129312194,0.4442307664310141
"Cumin (India) 2 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.7224425508597012,0.3506658959033535,0.7297322427992208,0.7088016517357949,0.6590625260482155,0.58869484763981,1.0,0.43384775091286,0.1995741061885925,0.35798418334928916,0.16143874931980817,0.40310446763235186,0.7157147887247985,0.5488405645996155,0.6596885901265003
"Cumin (Pakistan) - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.37356722893869077,0.2218392009469512,0.6372402042520633,0.5926340476353558,0.6641103905834392,0.7567739119179064,0.43384775091286,1.0,0.6043995069695276,0.6714397362876752,0.5662241718071943,0.7555600486909448,0.6236337959701825,0.4332470291578817,0.30975874398490344
"Cumin (Turkey) 1 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.17314060430910239,0.1039535500117732,0.34007752391051804,0.3386920788603004,0.32938438547960647,0.5090042554435772,0.1995741061885925,0.6043995069695276,1.0,0.7578078120105889,0.8895257645340781,0.7850761224370394,0.30691229338709847,0.23682523841625247,0.06353706510910873
"Cumin (Turkey) 2 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.35656018079099494,0.223022330114091,0.4634185434570407,0.48776305911673024,0.4714655807894551,0.676415277571724,0.35798418334928916,0.6714397362876752,0.7578078120105889,1.0,0.6781740258961392,0.8463442548405812,0.4469376187725227,0.36251369864037375,0.24474683784648865
"Cumin (Turkey) 3 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.13556153625751466,0.10178593403185343,0.30114719696396564,0.30056618391700274,0.28524424444768026,0.4637918716957018,0.16143874931980817,0.5662241718071943,0.8895257645340781,0.6781740258961392,1.0,0.7349806887604784,0.27681996019929966,0.24015537828653066,0.0
"Cumin (Turkey) 4 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.3640472235185568,0.2281320021010773,0.5407286622229954,0.5335036021798607,0.5246228740692452,0.7125189752139777,0.40310446763235186,0.7555600486909448,0.7850761224370394,0.8463442548405812,0.7349806887604784,1.0,0.5133749092123845,0.407070414966363,0.2458086871393237
"Cumin (Turkey) 5 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.5946019863827011,0.34655659127380667,0.8477003019252513,0.813595470373353,0.8532438961825514,0.7463144530304504,0.7157147887247985,0.6236337959701825,0.30691229338709847,0.4469376187725227,0.27681996019929966,0.5133749092123845,1.0,0.6109278166731618,0.5317840460622141
"Cumin (Turkey) 6 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.5751947621757141,0.6546508934472672,0.49996056011298773,0.5974157819382508,0.5294150325380622,0.5530621129312194,0.5488405645996155,0.4332470291578817,0.23682523841625247,0.36251369864037375,0.24015537828653066,0.407070414966363,0.6109278166731618,1.0,0.35472177057432375
"Cumin (Turkey) 7 - Cuminum cyminum L., fam. Apiaceae (Umbelliferae)",0.5490703972324698,0.27983394531272066,0.5504849668544552,0.5447433131102823,0.5785284299382198,0.4442307664310141,0.6596885901265003,0.30975874398490344,0.06353706510910873,0.24474683784648865,0.0,0.2458086871393237,0.5317840460622141,0.35472177057432375,1.0
