,"Armoise (Algeria) 1a camphor type - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)","Armoise (Israel) - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)","Armoise (Morocco) - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)","Sage, dalmatian (Czech Republic) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Dalmatia) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 6 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Morocco) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Romania) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 4 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Albiflora (USA) - Salvia officinalis L. var. Albiflora, fam. Lamiaceae (Labiatae)","Salvia pomifera - Salvia pomifera L. ssp. calycina (Sm.) Hayek, fam. Lamiaceae (Labiatae)","Wormwood (Mugwort) (U.S.A.) 4 - Artemisia absinthium L., var. 'Powis Castle', fam. Asteraceae (Compositae)","Wormwood (Mugwort) (U.S.A.) 5 - Artemisia absinthium L., var. 'Powis Castle', fam. Asteraceae (Compositae)"
"Armoise (Algeria) 1a camphor type - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)",1.0,0.20492850584821565,0.5831795969060103,0.6203259789814005,0.3236472096063978,0.3674648774949556,0.5546246738468179,0.7772027933689395,0.49218058666064424,0.4976609781130399,0.27789826024376196,0.08599050956214316,0.0774305413653974
"Armoise (Israel) - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)",0.20492850584821565,1.0,0.48560940910879924,0.02829433264537995,0.7527644195387908,0.5226889966750394,0.08267379284601561,0.1658564988942044,0.6078683565116472,0.07413978370700758,0.45743968880425123,0.0,0.002680761238406104
"Armoise (Morocco) - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)",0.5831795969060103,0.48560940910879924,1.0,0.3752171562711111,0.5896197073560321,0.6337949048597054,0.431123405878055,0.5181587601745876,0.616630076307586,0.3085146817778376,0.4564718289382531,0.11353529385037775,0.0985690040812427
"Sage, dalmatian (Czech Republic) - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.6203259789814005,0.02829433264537995,0.3752171562711111,1.0,0.20084715982536416,0.28583447334847323,0.6710194341470778,0.6744195277801093,0.31822266492062234,0.6816360827921698,0.2586033998986701,0.17513514057225243,0.17088063245944696
"Sage, dalmatian (Dalmatia) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.3236472096063978,0.7527644195387908,0.5896197073560321,0.20084715982536416,1.0,0.6805781706200353,0.28189277666912527,0.3025056181217616,0.7007139442957536,0.24708441588062957,0.6132161753540577,0.14133062510796168,0.1422155486646427
"Sage, dalmatian (Italy) 6 - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.3674648774949556,0.5226889966750394,0.6337949048597054,0.28583447334847323,0.6805781706200353,1.0,0.3997017775414924,0.35901763084902094,0.5575798321082195,0.27370294696435415,0.585685635322358,0.19164953057805956,0.1807897653049939
"Sage, dalmatian (Morocco) - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.5546246738468179,0.08267379284601561,0.431123405878055,0.6710194341470778,0.28189277666912527,0.3997017775414924,1.0,0.6198889498354982,0.352355586046911,0.6069411730509336,0.3288817723573718,0.21314590085497642,0.20581199712659315
"Sage, dalmatian (Romania) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.7772027933689395,0.1658564988942044,0.5181587601745876,0.6744195277801093,0.3025056181217616,0.35901763084902094,0.6198889498354982,1.0,0.4653514181075151,0.5530209566400708,0.26592722574313066,0.10118120095987704,0.09653402356912444
"Sage, dalmatian 4 - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.49218058666064424,0.6078683565116474,0.616630076307586,0.31822266492062234,0.7007139442957536,0.5575798321082195,0.352355586046911,0.4653514181075151,1.0,0.3582769500646662,0.5285106760693069,0.12040435193811672,0.12178420912146781
"Sage, dalmatian var. Albiflora (USA) - Salvia officinalis L. var. Albiflora, fam. Lamiaceae (Labiatae)",0.4976609781130399,0.07413978370700758,0.3085146817778376,0.6816360827921698,0.24708441588062957,0.27370294696435415,0.6069411730509336,0.5530209566400708,0.3582769500646662,1.0,0.33071272266470697,0.25099720958747906,0.26582420807011664
"Salvia pomifera - Salvia pomifera L. ssp. calycina (Sm.) Hayek, fam. Lamiaceae (Labiatae)",0.27789826024376196,0.45743968880425123,0.4564718289382531,0.2586033998986701,0.6132161753540577,0.585685635322358,0.3288817723573718,0.26592722574313066,0.5285106760693069,0.33071272266470697,1.0,0.31338331524412766,0.31577124149003344
"Wormwood (Mugwort) (U.S.A.) 4 - Artemisia absinthium L., var. 'Powis Castle', fam. Asteraceae (Compositae)",0.08599050956214316,0.0,0.11353529385037775,0.17513514057225243,0.14133062510796168,0.19164953057805956,0.21314590085497642,0.10118120095987704,0.12040435193811672,0.25099720958747906,0.31338331524412766,1.0,0.9140469035578662
"Wormwood (Mugwort) (U.S.A.) 5 - Artemisia absinthium L., var. 'Powis Castle', fam. Asteraceae (Compositae)",0.0774305413653974,0.002680761238406104,0.0985690040812427,0.17088063245944696,0.1422155486646427,0.1807897653049939,0.20581199712659315,0.09653402356912444,0.12178420912146781,0.26582420807011664,0.31577124149003344,0.9140469035578662,1.0
