,"Bay, West Indian (Benin) - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Bay, West Indian (Guadeloupe) 1a - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Bay, West Indian 2 - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Bay, West Indian 3 - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Betel leaf Bangla (India) - Piper betle L. var. Bangla, fam. Piperaceae","Cinnamomum impressinervium - Cinnamomum impressinervium Meissn., fam. Lauraceae","Cinnamon leaf (Brazil) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae","Cinnamon leaf (Brazil) 1b - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae","Cinnamon leaf (Cameroon) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (China) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (China) 2 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 1b - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 3a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 3b - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 3c - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 4 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Madagascar) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Seychelles) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Sri Lanka) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf 2 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",Clove bud (India) - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),"Clove bud (Madagascar) 1 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae","Clove bud (Madagascar) 2 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae",Clove bud (Malagasy) - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),Clove bud 1 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),Clove bud 2 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),Clove bud 4 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),Clove bud 5 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),Clove bud 6 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),Clove bud 7 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),"Clove bud 8 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae","Clove leaf (India) - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae","Clove leaf (Indonesia) 1 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae","Clove leaf (Indonesia) 2 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae","Clove stem (Madagascar) - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae",Clove stem - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),"Couroupita guaianensis flower (Malaysia) - Couroupita guianensis Auble, fam. Lecythidaceae","Hyptis suaveolens (Vietnam) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Bangladesh) 1b - Ocimum gratissimum L., var. clocimum, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (China) 1 - Ocimum gratissimum L., var. suave, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (China) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (China) 3 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (China) 4 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (India) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (India) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Madagascar) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Tahiti) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (USSR) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Pimenta jamaicensis 2 - Pimenta jamaicensis (Britton & Harris) Proctor, fam. Myrtaceae","Pimento (Allspice) (Cuba) 1 (berry) - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Cuba) 2 (leaf) - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Grenada) - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Guatamala) - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Honduras) - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Jamaica) 1 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Jamaica) 2 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Jamaica) 3 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) (Mexico) 1 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) 1 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) 2 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Pimento (Allspice) 3 - Pimenta dioica (L.) Merr. (P. officinalis Lindl.), fam. Myrtaceae","Tejpat leaf (eugenol-type) 1 - Cinnamomum tamala (Ham.) Nees et Eberm., fam. Lauraceae"
"Bay, West Indian (Benin) - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",1.0,0.588135254592318,0.6499000399058212,0.6497048539933947,0.39310140047723074,0.2266568601766945,0.1377096697123953,0.23588526217861883,0.26353031746710676,0.2962639255575984,0.41924862020432163,0.27483177678774473,0.3002652827326028,0.18879389323088847,0.1475309043415537,0.26648631577563886,0.3578679119210888,0.4475225710974263,0.44813992528219815,0.43725900754664404,0.24102437822970046,0.35310378440087886,0.3507535721225873,0.33649829136240705,0.41200771672819003,0.32065772622747823,0.2483262504704884,0.34022396382887277,0.3717884848451708,0.3663331193054852,0.3137923912036368,0.5019761957288646,0.23870881217158124,0.13868730992602396,0.13177351227768486,0.3803310260681413,0.29992021533622715,0.16507476780351227,0.383975871278772,0.4090575696866501,0.3890759390940136,0.29231589379678435,0.27162892139698824,0.41574140033663887,0.1229047314896855,0.3422901757682001,0.2334083517321589,0.46217147098101696,0.34439242055163755,0.4580969154000468,0.4817409266166983,0.24328406815963088,0.4883446616613377,0.33840292050068466,0.5582451746392614,0.47850311831170567,0.38792002846877627,0.4372706119851755,0.40957093130004973,0.3843606520799414,0.4370630517908549,0.3222453953226908,0.32858298638266825,0.3583691037476795
"Bay, West Indian (Guadeloupe) 1a - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",0.588135254592318,1.0,0.8195588769265101,0.7862392540294201,0.513464645934829,0.3495683357447906,0.26019437921997646,0.32144550246884673,0.3979559645280375,0.4285044176627395,0.568161622787625,0.4126588671867927,0.4340757231900333,0.31407370896314757,0.27006824520394035,0.3944883285207669,0.5141072003056184,0.5857798055835108,0.5954049696817999,0.5891069364729205,0.37252458744829775,0.4997899418442868,0.4639229666309327,0.470657396290584,0.5546489532549115,0.435746819766492,0.37732715081817536,0.47197078643653056,0.48829125025252695,0.4970164513293307,0.4433255073052398,0.6506998936672866,0.36674703132763475,0.2600137975147414,0.25222847415950067,0.517923666045705,0.43476525609338523,0.28788938718971835,0.4902755954677792,0.5458852882945471,0.508864114421494,0.4173813893073406,0.4008115163788196,0.5610150765184152,0.24214555196333842,0.48901886227290414,0.3615726427529863,0.5926282266681393,0.47564073207563484,0.5810532190669029,0.6040235387529379,0.3706403408816802,0.6151005779908036,0.476119927469986,0.6143570109569134,0.5294151167588345,0.5354505841346896,0.5783377700759181,0.5538532559666786,0.4452711060313338,0.5838120616413633,0.46071160808787537,0.468087177015296,0.49466274849465064
"Bay, West Indian 2 - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",0.6499000399058212,0.8195588769265101,1.0,0.7103004237760326,0.43592857209751756,0.29046086955505446,0.20536312829802417,0.2587787195809317,0.32809740905287443,0.3597852300769042,0.46947811129450345,0.33933843999435276,0.36276128423779175,0.25533404370125357,0.214838924086462,0.32803615796820884,0.41733491296289094,0.49268812052524813,0.49941508352709163,0.49064335135437387,0.3071554245349375,0.41461701692827124,0.38821454196418503,0.394949760751236,0.46788421778763745,0.3654236350852549,0.311588148186567,0.3945110180774748,0.4074022340849376,0.4172626631440932,0.37044596758002935,0.5450824962808234,0.3037961197976816,0.20622890686038098,0.1994434689707476,0.43386259053034015,0.3642232225847598,0.23220357219861443,0.3828169971533236,0.4539910215734916,0.4297329450171883,0.35075659184875596,0.3359236570500391,0.4706293545092356,0.19014895488435846,0.4035598003419565,0.2986090615368594,0.5085978130212921,0.4010475893677983,0.48840217014480247,0.5092561026582465,0.30698104763771294,0.5111972059558225,0.39919374286015374,0.5560079425160565,0.46097355889264124,0.4470578150819232,0.4817313982517897,0.46731880624210265,0.3746707193918112,0.48593305014393395,0.3848367007322271,0.3902285774716632,0.41849588263066995
"Bay, West Indian 3 - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",0.6497048539933947,0.7862392540294201,0.7103004237760326,1.0,0.5776670894533682,0.41220023504907244,0.31108489268716855,0.35980487066484135,0.45725846004781323,0.4963596131231798,0.6345783149712112,0.47185980067510336,0.49583606272188063,0.3693953767123733,0.32286134217177087,0.4544889488396482,0.5661617626253614,0.6812838126754601,0.6857372076795462,0.6740427451990363,0.43238225171492517,0.5682006411552507,0.5490488986557449,0.5603761867947161,0.6471250838091596,0.5062963821322761,0.4578990016658373,0.5721797058593971,0.5895473984896312,0.5914805222818432,0.5323991055681254,0.7640381938705819,0.4361255975647764,0.3168113701576596,0.3060102788147643,0.6246689140825029,0.5175428455174651,0.34700051004822885,0.5014324071223106,0.6301371421766837,0.5793867279974478,0.4804483187479405,0.4622832258566364,0.6596039959307256,0.29401201375240726,0.580188649640012,0.4258335432661642,0.6179344998103296,0.5447792682387894,0.6656948438087438,0.7257487346368385,0.4357419083538462,0.7258482971067131,0.5576762658482625,0.765202162252623,0.6975407532633419,0.6514750208363431,0.7192677448240183,0.6451344553046263,0.5820628564826872,0.7149989413791837,0.5522207045788154,0.5364518127545352,0.5703459326141999
"Betel leaf Bangla (India) - Piper betle L. var. Bangla, fam. Piperaceae",0.39310140047723074,0.513464645934829,0.43592857209751756,0.5776670894533682,1.0,0.4640597029201755,0.36960478893238524,0.3419943301710361,0.4896984599186307,0.5395722780781493,0.6621049646153893,0.5012553645768241,0.5534287221844381,0.4281752832007656,0.38859989276725126,0.6024834106765194,0.5972641932802911,0.6199850116387908,0.6444856208490666,0.6315413117413757,0.48253179430355564,0.6312576914562377,0.7876995715445735,0.6470363674694368,0.7412588325682996,0.8226289036716304,0.47088417995612764,0.612626544289103,0.6891858746486058,0.7317127165519164,0.6478252384520442,0.6678646615488701,0.5222770776007081,0.37064996743281065,0.3641067947651011,0.5670217464229628,0.574520251608138,0.4178194914936747,0.3724710270152497,0.5756898943145904,0.5348060221881632,0.499948542109082,0.499010963512989,0.6095666086837447,0.3539188698886827,0.5559925707858853,0.46213422451577246,0.4409648143638216,0.5470844144672943,0.5602876410002842,0.5966289915188991,0.4699118008829446,0.5724073473805718,0.5564326185585535,0.5931796313353288,0.46418260833948366,0.5881059430743766,0.6044787857731202,0.6192475080374428,0.35751790221842084,0.6077246832242698,0.5440886326701405,0.5509030103082813,0.5929240412755841
"Cinnamomum impressinervium - Cinnamomum impressinervium Meissn., fam. Lauraceae",0.2266568601766945,0.3495683357447906,0.29046086955505446,0.41220023504907244,0.4640597029201755,1.0,0.8629994999057505,0.1928976452267004,0.863223916977775,0.8597394548268535,0.5980505119762487,0.8634352096006918,0.7946138014303372,0.908805473205154,0.8771948406014911,0.7725433057715463,0.7277439780424751,0.6464507475214902,0.6299068912990646,0.6237921545010123,0.8957850617522332,0.7694303193822404,0.4340798908064283,0.7045744622271085,0.6666865380141551,0.5099599749146775,0.7709006621409841,0.6025656311232493,0.4164152313464752,0.5947960733054276,0.6692325880011412,0.5064748148819618,0.8559544953052121,0.8585896804912627,0.8598992928401292,0.6091727556301472,0.7633730589066057,0.8815531043190512,0.11224284188555633,0.5717690168466254,0.5024974076784721,0.7180882493609135,0.8600711116464461,0.6355768709494476,0.8480412276108967,0.7431060672656129,0.9197086312684426,0.17330254595275385,0.6994499536303029,0.4024355937581594,0.5142280811186184,0.8917761807512585,0.37485659691747086,0.7916661883244813,0.5816741782581303,0.325645038020008,0.6871026153403214,0.6093621042143644,0.7113457258159696,0.16526652717400736,0.6098558078577017,0.8004930841547204,0.8108696018251091,0.8044623086958774
"Cinnamon leaf (Brazil) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae",0.1377096697123953,0.26019437921997646,0.20536312829802417,0.31108489268716855,0.36960478893238524,0.8629994999057505,1.0,0.12501030869937724,0.8157137547407143,0.78157568357727,0.5106184401746094,0.8077552546766954,0.7328115495673697,0.9306654621084136,0.9654544488755804,0.715501763845922,0.6513911596429219,0.5502215871069325,0.5358363472320963,0.5346873669718937,0.854887916168986,0.6843405323992396,0.34440923906804255,0.622361993236977,0.5678605182068787,0.4262789988736806,0.7280663231814293,0.5241076673103232,0.3260459690274291,0.5066351159314508,0.5932654435865787,0.40389084846182965,0.8062603279336085,0.9384901427138619,0.9629659030734581,0.526575239535961,0.6924030745835555,0.9188990297533732,0.020123348884235392,0.48352487897254537,0.42141030732377216,0.6603557381483431,0.7999652704683445,0.5437512025296949,0.9566798364109633,0.6662605659444072,0.858764811514273,0.07288158824547442,0.6255750085971528,0.3033477930090097,0.39511547707735084,0.8455525458072133,0.27595515630736456,0.7084738180905448,0.49239266871355225,0.2399485725139684,0.6002730964712253,0.5061405787269979,0.6152418856183918,0.07832549455548277,0.5168283842396715,0.7221940852034907,0.7326342904286005,0.7057727293945875
"Cinnamon leaf (Brazil) 1b - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae",0.23588526217861883,0.32144550246884673,0.2587787195809317,0.35980487066484135,0.3419943301710361,0.1928976452267004,0.12501030869937724,1.0,0.22852741455846437,0.25315424349627136,0.34233802817983383,0.23881990607249515,0.2573679221615214,0.16415216637433272,0.12895192419811863,0.22739181238835193,0.3004779385804306,0.355382410087446,0.3676488379497709,0.3777196883632278,0.21809637216515398,0.2992232700325961,0.2731513318774649,0.28220524357762466,0.3405766196236335,0.25513449381329956,0.21274778285274187,0.27914431039221865,0.28826354023300726,0.2990138967800383,0.26148345965766706,0.3974421258309272,0.2063104551671061,0.12129870895311246,0.1152657215165187,0.3131295278536389,0.2542373382126907,0.14420623467459404,0.25901551613493135,0.32775397490459535,0.30540042522987565,0.24482296497139389,0.2333867961426901,0.3423006873110419,0.10684102249222038,0.28922925447860026,0.20091767223505375,0.30714346756251676,0.2859640864242502,0.3509168391222379,0.3607800593941676,0.20863287091712868,0.36917381261956506,0.28518542874725694,0.3390137634240561,0.28159503808518993,0.32008965031227676,0.3465023077486933,0.33989108045931515,0.21863617646687372,0.3464512182486603,0.2734905429751876,0.2810536238650556,0.29991956259892116
"Cinnamon leaf (Cameroon) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.26353031746710676,0.3979559645280375,0.32809740905287443,0.45725846004781323,0.4896984599186307,0.863223916977775,0.8157137547407143,0.22852741455846437,1.0,0.8786238894837891,0.6474381918205978,0.9233792011866868,0.8175655305067739,0.8667618783357247,0.8230312692304287,0.7698118650923027,0.7850411923047854,0.6979178217658053,0.7068467891498587,0.701499185353704,0.8897863633162763,0.821167242998555,0.4659078547050606,0.7394533190294024,0.7043644695174152,0.528241935335074,0.7985399174235123,0.6453673187339295,0.4595303230915786,0.6307732183409136,0.6993191261449306,0.5571483624949414,0.8508691725423542,0.8119821229989188,0.8042262650350175,0.661973633076387,0.7945424727479735,0.8342668216586467,0.17195383265346809,0.6125626577285481,0.5402741169232717,0.7335810722191376,0.859639858543852,0.6846912951272307,0.7919253173019984,0.7861814734555657,0.8792468172329353,0.2225761212292644,0.7285965583863432,0.44545528881462815,0.542167903750455,0.8804752785394614,0.42903232072107,0.8318755670684541,0.6289015461803846,0.36808071037021206,0.7302834059608241,0.6436806037223846,0.7584531700714585,0.207471853936827,0.6544730222998364,0.8334301060619448,0.8371220485145343,0.8317619739665695
"Cinnamon leaf (China) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.2962639255575984,0.4285044176627395,0.3597852300769042,0.4963596131231798,0.5395722780781493,0.8597394548268535,0.78157568357727,0.25315424349627136,0.8786238894837891,1.0,0.7124989939822912,0.8984172546074431,0.8842123713994942,0.8430482874856876,0.7964837850387595,0.8277015355983175,0.8028914559418593,0.7438753830993596,0.7233172356945035,0.7249098028632088,0.9126836251105714,0.8644115704809907,0.5158170434536158,0.786081738728484,0.7576214592266662,0.5762670553265152,0.8105212947292311,0.6868343388439864,0.5075221343098459,0.6804246573479199,0.7431041736886024,0.6032725311907754,0.8696363375608724,0.7845785994349509,0.7759206156840572,0.6997021582608738,0.8320488215905149,0.8167996885770502,0.1996328725359069,0.6465240116384068,0.5714204211832481,0.7501657797174258,0.869242751049723,0.7265381096423642,0.7621760781735554,0.8126272997017802,0.8716717530938382,0.26281584527450796,0.755304912747895,0.48467237582054723,0.5848057561554725,0.8789613775750406,0.4715894681809133,0.8672324693182365,0.6673367103731648,0.4026171309095228,0.7689231884134955,0.6848745645516412,0.803136531731003,0.24168004148526034,0.6954757061710244,0.8657153897605862,0.8629630291952899,0.883220293890652
