,"Ginger (Australia) 3 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (China) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (China) 2 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (China) 5 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (China) 6 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (India) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (India) 4 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (India) 6 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Japan) 2 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Nigeria) 3 - Zingiber officinale Roscoe, fam. Zingiberaceae"
"Ginger (Australia) 3 - Zingiber officinale Roscoe, fam. Zingiberaceae",1.0,0.02639956598072213,0.16241898511576724,0.0,0.12794454055724092,0.24711979832425246,0.15678611745205018,0.10385284004575313,0.34222648842107506,0.2658083377723418
"Ginger (China) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.02639956598072213,1.0,0.7058603128044627,0.2037173583576778,0.19759432266000532,0.30176875055580576,0.09556838829356284,0.18963893386081443,0.2852186988517931,0.2636082392290613
"Ginger (China) 2 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.16241898511576724,0.7058603128044625,1.0,0.32120680661928125,0.36072119359592114,0.4809645551628987,0.28404215338248295,0.34407717838493923,0.4090981381080936,0.43324358539520924
"Ginger (China) 5 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.0,0.2037173583576778,0.32120680661928125,1.0,0.32436889735518526,0.31968587642680313,0.26261208899100175,0.3433662442955765,0.1243632215463365,0.27897017812739944
"Ginger (China) 6 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.12794454055724092,0.19759432266000532,0.36072119359592114,0.32436889735518526,1.0,0.6119697490420319,0.77063239365151,0.9230114278205913,0.2390171928271837,0.40842814604333677
"Ginger (India) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.24711979832425246,0.30176875055580576,0.4809645551628987,0.31968587642680313,0.6119697490420322,1.0,0.5765843300836501,0.5808499575515595,0.36482295249474594,0.6308410365274808
"Ginger (India) 4 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.15678611745205018,0.09556838829356284,0.28404215338248295,0.26261208899100175,0.77063239365151,0.57658433008365,1.0,0.7486927509904701,0.19286680874316497,0.4084608669611042
"Ginger (India) 6 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.10385284004575313,0.18963893386081443,0.34407717838493923,0.3433662442955765,0.9230114278205913,0.5808499575515595,0.7486927509904701,1.0,0.2092440019573122,0.3873964989758102
"Ginger (Japan) 2 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.34222648842107506,0.2852186988517931,0.4090981381080936,0.1243632215463365,0.2390171928271837,0.36482295249474594,0.19286680874316497,0.2092440019573122,1.0,0.3600162918134864
"Ginger (Nigeria) 3 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.2658083377723418,0.2636082392290613,0.43324358539520924,0.27897017812739944,0.40842814604333666,0.6308410365274808,0.4084608669611042,0.3873964989758102,0.3600162918134864,1.0
