,"Fagraea berteriana flower - Fagraea berteriana A. Gray ex Benth., fam. Potaliaceae","Hyacinth, living flower headspace 1a - Hyacinthus orientalis L., fam. Liliaceae","Hyacinth, picked flower headspace 1b - Hyacinthus orientalis L., fam. Liliaceae","Jasmine (China) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine (China) 2a (headspace) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine (China) 2b (absolute) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine (Egypt) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine (Indonesia) - Jasminum officinale var. grandiflorum L. (Red Flower), fam. Oleaceae","Jasmine absolute (Algeria) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Egypt) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Egypt) 2 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Egypt) 3 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Egypt) 4 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (France) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (France) 2 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (India) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (India) 3 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Italy) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Italy) 2 - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Japan) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Morocco) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute (Turkey) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine absolute - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine oil (Turkey) - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine polyanthum flower headspace - Jasminum polyanthum L., fam. Oleaceae","Jasmine sambac (China) headspace - Jasminum sambac (L.) Aiton, fam. Oleaceae","Jasmine, Living Flower Headspace - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Jasmine, Picked Flower Headspace - Jasminum officinale var. grandiflorum L., fam. Oleaceae","Narcissus (Japan) 1b - Narcissus tazetta L. (N. poeticus L.), fam. Amaryllidaceae","Narcissus tazetta (var. chinensis) - Narcissus tazetta L., var. chinensis, fam. Amaryllidaceae","Narcissus tazetta headspace (China) 1 - Narcissus tazetta L. var. chinensis Roem., fam. Amaryllidaceae","Narcissus tazetta headspace (China) 4 - Narcissus tazetta L. var. Xiaohuabai, fam. Amaryllidaceae","Narcissus tazetta headspace (China) 5 - Narcissus tazetta L. var. Dahuabai, fam. Amaryllidaceae","Ylang Ylang (China) 4 - Cananga odorata (Lamk.) Hook. f. et Thomson, fam. Annonaceae","Ylang Ylang 1 - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae"
"Fagraea berteriana flower - Fagraea berteriana A. Gray ex Benth., fam. Potaliaceae",1.0,0.627878110023792,0.6115720200549624,0.571109877085439,0.5019163880410895,0.6712357213350165,0.6406474303421942,0.547874233709609,0.7023455387921076,0.7003017762442985,0.6172939971166442,0.6918861647310218,0.6792734651814161,0.6992948235502414,0.5475631102175622,0.45235979763785106,0.7018063341688436,0.6983510190259314,0.650655629002156,0.7006283863092346,0.6285584499852619,0.6094450868762746,0.6995056393561823,0.31849235146045396,0.6278653216545732,0.6071015355105337,0.43830648779914616,0.5249740141188015,0.5839745330008543,0.6718826889815639,0.6595575730404974,0.6082128711082411,0.1792267390961304,0.5912306529618576,0.6878598848426021
"Hyacinth, living flower headspace 1a - Hyacinthus orientalis L., fam. Liliaceae",0.627878110023792,1.0,0.6546385339161329,0.4983414073387733,0.48204611131950115,0.5766427322709831,0.5646922972917329,0.4801982456343825,0.6132342521278544,0.608738304717349,0.5125943792962454,0.5862240371823813,0.6066367486865454,0.6010997016006248,0.4470807325348748,0.36844935998094697,0.6188842599549644,0.6111449389080554,0.5458718979864451,0.5949277799529852,0.5254816050317428,0.5129863477891686,0.6084488462548444,0.3188249186806048,0.5503440094471512,0.48381661762280004,0.43069987007484445,0.47216660192488147,0.5501780374620725,0.5901286206037024,0.5761996424418357,0.5288374310621728,0.19962818841942664,0.5045968401494973,0.5584472844291304
"Hyacinth, picked flower headspace 1b - Hyacinthus orientalis L., fam. Liliaceae",0.6115720200549624,0.6546385339161329,1.0,0.5248336945297538,0.685595244379731,0.5501646368984845,0.6240298141519189,0.5098607813862019,0.6396082942444534,0.6297868725980733,0.47771383849040294,0.5392625451705721,0.6131820362001936,0.5897398201995954,0.40269926007284607,0.3369529159352036,0.6278088041395442,0.6291267203618647,0.5190327507281409,0.5676125339793581,0.49656567602357493,0.49637261913857944,0.6418302223922812,0.5383459423982642,0.5772713975605123,0.502348355082844,0.6448924819615593,0.5799919264331174,0.7065857911383295,0.6274933270838181,0.6358730011649003,0.7050335308612139,0.4406067239077881,0.4953157175470646,0.5869327745710213
"Jasmine (China) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae",0.571109877085439,0.4983414073387733,0.5248336945297538,1.0,0.4739842757551773,0.5217120560186703,0.5549623571698318,0.4663206591600958,0.5686379446813206,0.5660709110155697,0.48629696587672677,0.5262048369359409,0.5523651880370515,0.547715048335795,0.42646022474435163,0.3491365693393267,0.5529058983618241,0.5583272480905623,0.5167047784416732,0.5449081623276841,0.5012839327695866,0.48815246094916775,0.5719421990321076,0.33005648948233635,0.5402367044877288,0.49006499342466436,0.42736137597222257,0.4876545932737105,0.5297319260608717,0.543525764566285,0.5671975287298576,0.48374774461388126,0.1993344990156709,0.4787940649954616,0.5462954267403969
"Jasmine (China) 2a (headspace) - Jasminum officinale var. grandiflorum L., fam. Oleaceae",0.5019163880410895,0.48204611131950115,0.685595244379731,0.4739842757551773,1.0,0.47618252637636416,0.5945176466198216,0.4688661905973963,0.5827235435668825,0.570721744080957,0.39763750527777364,0.4511549711071434,0.5534212338692832,0.5179943072832072,0.3223402849513546,0.26895171667198914,0.5643733925681877,0.5709695725485722,0.4413588747004453,0.4872988162163058,0.41807027342790226,0.4262902876762221,0.5944730340053923,0.7163765693901812,0.5435681038932041,0.4777375035931579,0.7971628154363413,0.6152926065977247,0.7613724133869751,0.5597092201706849,0.5962862460667815,0.5561708070185002,0.6124430605368638,0.45269227010218605,0.5474291211178299
"Jasmine (China) 2b (absolute) - Jasminum officinale var. grandiflorum L., fam. Oleaceae",0.6712357213350165,0.5766427322709831,0.5501646368984845,0.5217120560186703,0.47618252637636416,1.0,0.5821283675434747,0.5156911316528716,0.7952040162975087,0.7915157597413357,0.6984091173200264,0.8030379261177946,0.8081607588301607,0.8127443188835249,0.6660955844344063,0.6264441248952088,0.7215579582867878,0.812631666058999,0.6692907370506967,0.8459514515412938,0.6589477197150864,0.6786471378894456,0.8099267201178728,0.31896207265964127,0.5921865675396557,0.5182259968396649,0.425101582854144,0.5003266255543994,0.5453419580337671,0.6017074142311882,0.5897237783112628,0.5026616504299386,0.1797941854352494,0.6021390235973718,0.5884470620702877
"Jasmine (Egypt) - Jasminum officinale var. grandiflorum L., fam. Oleaceae",0.6406474303421942,0.5646922972917329,0.6240298141519189,0.5549623571698318,0.5945176466198216,0.5821283675434747,1.0,0.5329021445948285,0.6597603332635951,0.6545233719981278,0.5411008606895273,0.587173803680147,0.6305057830136395,0.6273118521813714,0.4710344549701513,0.3884286079721383,0.6420844194189756,0.6500304654625904,0.581540554960766,0.6119390501620867,0.5594949406616343,0.5493962053796575,0.6854139191182603,0.44701368833607447,0.6344398397033787,0.5893544453850543,0.5406503937027126,0.6305933559641057,0.6559799607471921,0.6655656567700027,0.6636784261638168,0.5629797447639587,0.29792775911833314,0.5764312012094668,0.6518928220638834
"Jasmine (Indonesia) - Jasminum officinale var. grandiflorum L. (Red Flower), fam. Oleaceae",0.547874233709609,0.4801982456343825,0.5098607813862019,0.4663206591600958,0.4688661905973963,0.5156911316528716,0.5329021445948285,1.0,0.555074370144125,0.5495654709353202,0.4641124015418361,0.5097848342946338,0.534650093056654,0.5328264252331425,0.4046909641938127,0.3303136940191359,0.5560085254145664,0.556746326625387,0.4945832101749651,0.5169272417355124,0.4774550011546447,0.4698177981032069,0.5668369771201331,0.327569616053383,0.5114976812200429,0.4662125888405515,0.4415454600438806,0.46949773808234685,0.563541476668792,0.535381334886101,0.542160839274053,0.4709028268596198,0.20389386151220557,0.4461413288199704,0.5234327284904814
"Jasmine absolute (Algeria) - Jasminum officinale var. grandiflorum L., fam. Oleaceae",0.7023455387921076,0.6132342521278544,0.6396082942444534,0.5686379446813206,0.5827235435668825,0.7952040162975087,0.6597603332635951,0.555074370144125,1.0,0.9736212023698035,0.6540302690438979,0.8481871885128783,0.8893905119411291,0.9256570491385434,0.5895658773368936,0.5274152254961197,0.7841463351413854,0.9414256527108851,0.6678784479447497,0.8127213215365063,0.6452800204476561,0.6551621420009526,0.831563355887988,0.4313202024679731,0.6323567049466816,0.584399193300531,0.5413281659215476,0.602399439877317,0.6472613366530495,0.6637056632996756,0.6692769596561012,0.5712257463289386,0.28336789438104615,0.639597281016385,0.6577751769969217
"Jasmine absolute (Egypt) 1 - Jasminum officinale var. grandiflorum L., fam. Oleaceae",0.7003017762442985,0.608738304717349,0.6297868725980733,0.5660709110155697,0.570721744080957,0.7915157597413357,0.6545233719981278,0.5495654709353202,0.9736212023698035,1.0,0.6565910106868604,0.853825919315225,0.8907831409284447,0.9347522903234887,0.5944393780346529,0.5319452261296683,0.7696437921456747,0.9301419434148112,0.6682904389067958,0.8121636174435678,0.6466071258083618,0.6564743689321773,0.8241697388352888,0.42042031163738147,0.6298029547786343,0.5839140648559207,0.5292756038247077,0.5974772540031184,0.6356890937751819,0.6579223538274288,0.6644453214714572,0.5653753497868854,0.2713682191410546,0.6369253927578,0.654881588471705
