,"Ajowan (India) 1a steamdistilled - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Ajowan (Iran) aerial part - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Ajowan (Iran) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Ajowan (Pakistan) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Coleus aromaticus (India) 1 - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Conobea scopariodes (Brazil) - Conobea scoparioides (Cham. & Schtdl.) Benth., fam. Scophulariaceae","Majorana syriaca (Israel) 1 - Majorana syriaca L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Bangladesh) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Benin) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cameroon) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cameroon) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Guinea) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Rwanda) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (West Africa) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Oregano, greek (Croatia) - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 5 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Italy) 1 - Origanum vulgare L.ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, mexican (Cuba) - Lippia graveolens HBK., fam. Verbenaceae","Oregano, mexican (U.S.A.) 2 - Lippia graveolens HBK., fam. Verbenaceae","Oregano, spanish (Israel) 1 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Israel) 3 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Origanum calcaratum (Greece) - Origanum calcaratum Juss., fam. Lamiaceae (Labiatae)","Otostegia fruticosa - Otostegia fruticosa Forssk., fam. Lamiaceae (Labiatae)","Satureja pilosa (Bulgaria) - Satureja pilosa var. pilosa Velen, fam. Lamiaceae (Labiatae)","Thymbra spicata (Israel) 2 - Thymbra spicata (Thymol chemotype), fam. Lamiaceae (Labiatae)","Thyme (Canada) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 10 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Mongolia) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 10 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 11 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 3 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 4 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 5 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme red (Italy) - Thymus zygis L., fam. Lamiaceae (Labiatae)","Thyme red (Portugal) 1 - Thymus zygis L. ssp. sylvestris (Hoffm. et Link) Morales, fam. Lamiaceae","Thyme red (Spain) 2 - Thymus zygis L. ssp. sylvestris (Hoffm. et Link) Morales, fam. Lamiaceae","Thyme red (Spain) 3 - Thymus zygis L., fam. Lamiaceae (Labiatae)","Thymus mongolicus (China) 2 - Thymus mongolicus Ronn., fam. Lamiaceae (Labiatae)","Thymus pubescens (Iran) 2 - Thymus pubescens Boiss. et Kotschy ex Celak, fam. Lamiaceae (Labiatae)","Thymus serpyllum (Pakistan) - Thymus serpyllum L., fam. Lamiaceae (Labiatae)","Thymus sibthorpii (Turkey) - Thymus sibthorpii Bentham, fam. Lamiaceae (Labiatae)","Thymus syriacus (Turkey) - Thymus syriacus Boiss., fam. Lamiaceae (Labiatae)","Thymus transcaspicus (Iran) - Thymus transcaspicus Klokov, fam. Lamiaceae (Labiatae)"
"Ajowan (India) 1a steamdistilled - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",1.0,0.5208741788146416,0.5946722654230915,0.8242807492597453,0.29633459278982854,0.19595724335886544,0.568754590658623,0.6710073286419296,0.5756830880067256,0.6475474129705776,0.5552530957719917,0.6958857977307078,0.6196354492182843,0.6266064591092029,0.36909721803214846,0.21930826437543594,0.5129756411427668,0.4151122377167964,0.5125781020305055,0.4906321755528755,0.5039191380641548,0.5945330232677476,0.6494447062674262,0.6253030919095419,0.6988496572596417,0.5148649646171481,0.6372314212714185,0.731048341876025,0.6456707906218608,0.750813440535913,0.6888305959550209,0.3280789812989017,0.700426787751077,0.7322163681633187,0.6774873307675094,0.6036129213652652,0.7456086191076758,0.6725868620964472,0.332145411659005,0.4827864464758217,0.4069580354326233,0.4453019869392625,0.5773819761687236
"Ajowan (Iran) aerial part - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",0.5208741788146416,1.0,0.9109192867440438,0.5568169507031385,0.10234243752420502,0.0,0.33505046762760515,0.36408970573654664,0.2492894890116798,0.5734236526612342,0.34166139715304444,0.5094237321962432,0.4575965182163,0.31024387687332144,0.09595012385463142,0.043345070821542375,0.3458081294361579,0.14481938506151681,0.21792961205110906,0.4834258027816717,0.2614893683910493,0.34305612406210306,0.5023194246403772,0.35305388423202844,0.40293213698968555,0.2628462785532063,0.388562405414428,0.4734863354052816,0.2529055300793346,0.5470200161464556,0.3181068232408948,0.15632480303572138,0.4701306300285979,0.3235237380955319,0.2884321347482133,0.32650691800177833,0.39507315582615765,0.4175490663174579,0.1900654251082301,0.21935708471782644,0.2861923064780585,0.18142446623030528,0.2730354710863695
"Ajowan (Iran) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",0.5946722654230915,0.9109192867440438,1.0,0.6096830765977028,0.14487461374705868,0.034062230972256025,0.3790485233612316,0.4423691517570205,0.3146372717252093,0.6263508744384423,0.3910820342072294,0.5626872385372161,0.4970418346912413,0.3686357052081789,0.14829237649110816,0.0828055542120294,0.39827438795806913,0.19663217213197615,0.277402392089531,0.5082021107757306,0.32151716459633284,0.38617463657056894,0.5468718009076645,0.4065291489094529,0.4844416245078752,0.3022930381346073,0.44099707065647953,0.5423053402365892,0.30736650644086105,0.6043273667338236,0.37669092650203595,0.19130584349036595,0.5243078971847234,0.38824877018439696,0.34783119022908726,0.3802953538484093,0.4524167211098018,0.47066818780804054,0.2213165574759406,0.2670803447939448,0.3125567076279555,0.23719580043312083,0.34471257301935687
"Ajowan (Pakistan) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",0.8242807492597453,0.5568169507031385,0.6096830765977028,1.0,0.3374609141372219,0.21384399569650325,0.6738900209293672,0.5756238744891145,0.5334412634613634,0.642892959592555,0.5595814728789595,0.6950941545638414,0.6615447177069078,0.611186497444901,0.42828732422636195,0.3037666160795298,0.5692056383343616,0.46162669894977904,0.5290031634436643,0.5805224459509448,0.5307259674652045,0.6968232388478328,0.6752218518559817,0.675493034050492,0.6184424970500425,0.608893805265903,0.6330462444712346,0.7012384152953894,0.6600015307234344,0.7620589224260408,0.7093880104188188,0.3653087058411193,0.7212116097182045,0.6946038730999919,0.6739269392725138,0.620117438555793,0.758291913364189,0.6945512500598192,0.36884750793260224,0.5260136349574874,0.45737927631603026,0.4770307391440195,0.5344218050400644
"Coleus aromaticus (India) 1 - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",0.29633459278982854,0.10234243752420502,0.14487461374705868,0.3374609141372219,1.0,0.25363884761124966,0.5318328069255971,0.44420658982682326,0.5616118731181607,0.4387864234239812,0.6073221180614822,0.4417700341893328,0.5137287375940014,0.5396677093584693,0.5745685343397708,0.5093774229319087,0.5450977990221901,0.7301593193242519,0.6801097412983166,0.5417780994539542,0.6073627355966815,0.520198344372172,0.4562320718486568,0.6078439145192485,0.40793476714893984,0.5720761991526849,0.40627769862503127,0.5028585894431625,0.37953217548374574,0.4538878008033883,0.5070694688604573,0.6277126852100388,0.48331928802924107,0.4257318130128346,0.452602969782391,0.5659421198968438,0.4521627657320947,0.5344363916359773,0.5034871945067245,0.6837256099304397,0.5565943521905898,0.6802731854952325,0.5534571335722664
"Conobea scopariodes (Brazil) - Conobea scoparioides (Cham. & Schtdl.) Benth., fam. Scophulariaceae",0.19595724335886544,0.0,0.034062230972256025,0.21384399569650325,0.25363884761124966,1.0,0.23878647417995014,0.2307302264967408,0.32645085056607004,0.23147427637122597,0.32716287179365977,0.26917555961714323,0.30559924230354374,0.359621702494347,0.18578906094567493,0.06848271162644315,0.16793227290632984,0.27661559560839866,0.2950050305982713,0.19914770859750475,0.20073670994961312,0.293916019485817,0.26156912417169464,0.30747846784817856,0.17408326451399225,0.3063153144351408,0.270682336839693,0.2647918369471639,0.2865385233999601,0.2750673024634409,0.3261773023050566,0.31327386135093893,0.287100019520397,0.29276687852973493,0.30925417459804017,0.32360168115074595,0.3312820458548347,0.3170868609907357,0.25730119494409387,0.3438268694586142,0.3076508429782102,0.2537006678117364,0.32620943197757957
"Majorana syriaca (Israel) 1 - Majorana syriaca L., fam. Lamiaceae (Labiatae)",0.568754590658623,0.33505046762760515,0.3790485233612316,0.6738900209293672,0.5318328069255971,0.23878647417995014,1.0,0.5202334732194814,0.5564608467063898,0.5460873809452113,0.562679097574778,0.5978853789216323,0.6075186935606065,0.6132375699422694,0.7089896776573905,0.6012913635471757,0.7554975876419834,0.7044990693907298,0.6983891588643346,0.6722031147111613,0.7337641355334934,0.8359260244206828,0.590192678085965,0.7986014995180405,0.5754995578352404,0.7747245533418903,0.5448095404150084,0.6417953501670802,0.6163940658779024,0.6370983054753925,0.7236546284393898,0.46278442736560477,0.654736681659849,0.6274704831543098,0.647556871987027,0.6494050244616127,0.6804298228300067,0.6590736474571818,0.4237902773307758,0.6672382191348953,0.5043865847810094,0.691524145598065,0.5944359932124339
"Ocimum gratissimum (Bangladesh) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.6710073286419296,0.36408970573654664,0.4423691517570205,0.5756238744891145,0.44420658982682326,0.2307302264967408,0.5202334732194814,1.0,0.7443724678343056,0.6980470402117328,0.6587073851052513,0.7051447927991908,0.6141218430279843,0.7048695845700327,0.4311842009784732,0.27840630130547106,0.5683750011537567,0.5231681583816027,0.646054377515507,0.5076545445600346,0.6168916369887892,0.5281370549793692,0.6245653928471789,0.6595253958654355,0.8300176229565835,0.4870638748341818,0.6030350434458197,0.8022126571789068,0.5358909369099718,0.7098309994194092,0.64849638951395,0.4384082746336335,0.6807300497049917,0.6826340400885882,0.6285372315681599,0.6553979059493076,0.6628597035913775,0.6750830521246011,0.4137956320083803,0.5667753602382386,0.46895533581188376,0.5729909928569559,0.7893871236727803
"Ocimum gratissimum (Benin) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.5756830880067256,0.2492894890116798,0.3146372717252093,0.5334412634613634,0.5616118731181607,0.32645085056607004,0.5564608467063898,0.7443724678343056,1.0,0.6159373777517199,0.7354555749583456,0.6596551297984752,0.6459184097036106,0.7871011844576223,0.49495351739716176,0.32441203609772007,0.5345042916247029,0.6430491057827539,0.7286346899069562,0.5024635501388213,0.6140580117003828,0.5853554024547871,0.6408104496111549,0.7182887550610559,0.6457985873963991,0.5973288544430462,0.6122384330227494,0.7366280663863111,0.6196767865809162,0.6691974299570445,0.73084825074721,0.5700294086228799,0.6780940190729599,0.7232963684498812,0.7130127254443097,0.7424063091920533,0.702494280509756,0.7141088565989124,0.5177314740746899,0.7020923167040356,0.5626989561422648,0.6440930453228764,0.7506506360792353
"Ocimum gratissimum (Cameroon) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.6475474129705776,0.5734236526612342,0.6263508744384423,0.642892959592555,0.4387864234239812,0.23147427637122597,0.5460873809452113,0.6980470402117328,0.6159373777517199,1.0,0.6875087269356689,0.8461465803290876,0.751542659564238,0.6556100909168364,0.3593887602471817,0.26233211620474806,0.5653210547346772,0.4695112538233961,0.5539727574087012,0.6873572315843826,0.5467395700670371,0.5590414624158604,0.7676811690556089,0.6651998620462232,0.6559784394527874,0.5199708197592112,0.6172611131154018,0.791386387967259,0.48302188795009715,0.8341060338144131,0.6005015177614681,0.48438977611393585,0.7481161126240192,0.5951790782071205,0.5623152148635899,0.6430801817773419,0.6519034078727253,0.7074416503911654,0.47569935874603675,0.5549352783433967,0.5864089102612858,0.5021180910329333,0.6114634088672453
