,"Armoise (Algeria) 1b thujone type - Artemisia herba-albe Asso, fam. Asteraceae (Compositae)","Armoise (France) - Artemisia vulgaris L., fam. Asteraceae (Compositae)","Sage, dalmatian (Albany) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Albany) 2 - Salvia officinalis L, fam. Lamiaceae (Labiatae)","Sage, dalmatian (Albany) 3 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Argentina) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Bulgaria) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Bulgaria) 2 - Salvia officinalis L, fam. Lamiaceae (Labiatae)","Sage, dalmatian (Canada) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Cuba) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Dalmatia) 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Egypt) 2a - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Egypt) 2b - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Finland) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (France) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (France) 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Hungary) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Hungary) 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Hungary) 3 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 3 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 4 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 5 - Salvia officinalis L. var. angustifolia Ten., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 8 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 9 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy-Sardinia) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Lithuania) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (New Zealand) 1a - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Poland) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Reunion Island) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Romania) 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Serbia-Montenegro) 1a leaf - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Spain) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Turkey) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Yugoslavia) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Yugoslavia) 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 10 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 11 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 12 - Salvia officinalis L., fam. Lamiaceae (Laibatae)","Sage, dalmatian 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 5 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 6 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 9 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Icterina (USA) - Salvia officinalis L. var. Icterina, fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Purpurascens (USA) - Salvia officinalis L. var. Purpurascens, fam Lamiaceae (Labiatae)","Sage, dalmatian var. Rubriflora (USA) - Salvia officinalis L. var. Rubriflora, fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Tricolor (USA) - Salvia officinalis L. var. Tricolor, fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Woodcote Farm (USA) - Salvia officinalis L. var. Woodcote Farm, fam. Lamiaceae (Labiatae)","Tansy (France) - Tanacetum vulgare L., fam. Asteraceae (compositae)","Tansy (Poland) - Tanacetum vulgare L., fam. Asteraceae (Compositae)","Wormwood (Mugwort) (India) - Artemisia absinthium L., fam. Asteraceae (Compositae)"
"Armoise (Algeria) 1b thujone type - Artemisia herba-albe Asso, fam. Asteraceae (Compositae)",1.0,0.5905544320452354,0.6294694591121908,0.5057407503829647,0.700961198218628,0.6448311074617405,0.6275046815167263,0.32020459604625096,0.4326006203504871,0.3293864507020262,0.5832950029734112,0.587147353176681,0.5659094267067558,0.597963831173548,0.4388454244761646,0.6695676140771291,0.6311384802795639,0.4991937059440885,0.5642398583378798,0.2330230965627642,0.662871408537046,0.5553655328700573,0.3017729369034171,0.6095282590215234,0.6733072313005515,0.6104783072440074,0.6130921321547702,0.2705722336129216,0.677256045309325,0.594027266040116,0.6116767942079937,0.4377805703911609,0.4288879641491872,0.6533305776276093,0.7037468928291981,0.6798670932749944,0.6397927265663449,0.49213827991064163,0.45697668099894695,0.6836920924220897,0.5362543483851903,0.5051657374306894,0.6370550284022674,0.673968986395416,0.43038172839430766,0.37704235304671485,0.6739514916227245,0.34153286415831896,0.4354817669493989,0.36496437150159666,0.220521621394013,0.15997136826138814
"Armoise (France) - Artemisia vulgaris L., fam. Asteraceae (Compositae)",0.5905544320452354,1.0,0.6158091903192332,0.5161711574478308,0.6965021726159671,0.6955307671831334,0.5030336837938679,0.19931317348894262,0.33827769065309743,0.16842019600206304,0.5885723338092642,0.4543729146701808,0.5476545446687455,0.5328424488250669,0.3042983810630875,0.6552301361090151,0.48944083908364877,0.5071735513888849,0.5633825957137738,0.15276720699314839,0.643213628715398,0.7304838283444696,0.32103248523352923,0.6245448182198442,0.6939437759900071,0.6246552051559875,0.42407285283412965,0.14233643338728885,0.5200687524846305,0.6544364262591771,0.5683991461252214,0.2956608463567718,0.31095685207335255,0.5298387411481689,0.6103950855381439,0.5247055348939553,0.6784645570506432,0.42821769992606107,0.40505735021846745,0.6297993295724191,0.7057197331945856,0.5842446740275336,0.6468186990143617,0.6939119194073056,0.33269212952844807,0.2904010476059701,0.6644944378866326,0.26345192055771083,0.3079532708406796,0.2836417777537532,0.2130836076736765,0.073279490863835
"Sage, dalmatian (Albany) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.6294694591121908,0.6158091903192332,1.0,0.5009350125498842,0.8260025018887431,0.7092777854176737,0.5261093616215291,0.36199961754429766,0.6324396663004048,0.37168558432654974,0.5254991842532173,0.6661855222801918,0.6610463849231263,0.7848105152015596,0.44398885524392273,0.7982752855108947,0.7338243558912485,0.4924925281311301,0.7938515720885524,0.41767735534352657,0.7955164453198936,0.5621517876636297,0.3762824517392688,0.7361684705847418,0.7492028097178398,0.7369827805086423,0.6310077222143435,0.3918761368343131,0.6690259952290114,0.5912251583921491,0.7734548350689956,0.5318476107971215,0.4300315701793429,0.6683432331617924,0.65253363028912,0.5778695021197622,0.8454557385551213,0.538354753792965,0.5290738555224432,0.8370350054510562,0.5846988410879079,0.516729253127163,0.6867165272883657,0.7488783909184076,0.6024646557545152,0.5357625634825767,0.7435963318283256,0.40932622181445355,0.5917353297394748,0.3153119304041826,0.2215163066250595,0.17796301495307731
"Sage, dalmatian (Albany) 2 - Salvia officinalis L, fam. Lamiaceae (Labiatae)",0.5057407503829647,0.5161711574478308,0.5009350125498842,1.0,0.5615032954991607,0.559069979517792,0.5918567309920533,0.3779880878986418,0.4656694366242452,0.3205411339760109,0.6684632767417821,0.4633473725933699,0.31453856508085243,0.43554507272899945,0.4093707105884259,0.5897937552079774,0.501937945024497,0.9280623074401291,0.43036585217978685,0.31927368119668253,0.5826758616967649,0.66168358020676,0.546686994936065,0.3986102548330679,0.4731624201437816,0.40000214184450855,0.5268916091128726,0.3622046688495384,0.42463189687683756,0.6485367442980318,0.4989960328992955,0.40143558550643044,0.4853209391915786,0.5040107326094027,0.5822992851042922,0.608692691851437,0.5065606569250953,0.6501211433793492,0.6216632545043222,0.5583925065430524,0.562854100697046,0.75684338717946,0.5434936899978394,0.472672201160532,0.2813130312340377,0.36768415149556133,0.6233574836999517,0.23695896706880615,0.34067194942982304,0.5094018924144283,0.3748956110474454,0.20822074032245008
"Sage, dalmatian (Albany) 3 - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.700961198218628,0.6965021726159671,0.8260025018887431,0.5615032954991607,1.0,0.7698027723257037,0.6338251498703884,0.35366390801723246,0.5457566538084201,0.33295723599178806,0.6407903788232987,0.6529057139797124,0.6310304479291341,0.7408717754229135,0.5048063119052962,0.8200045021469214,0.725841362255957,0.5498805884535749,0.7017128108483917,0.34972163731604944,0.8499746380701758,0.6668761551117333,0.3983970493743353,0.759443392609638,0.8028479058917517,0.7606319106303838,0.6635715403460158,0.3378698069487689,0.6845610294306558,0.6349954457307893,0.7174745438803495,0.5035693986959546,0.47787905513252915,0.6927345957396223,0.7664512295333294,0.668677301770489,0.852918565280873,0.5763339614390788,0.5561814941151806,0.8971073338406582,0.6299926364560915,0.5798602286168564,0.7770835129490714,0.80269959278232,0.4978461414657952,0.4462611693459059,0.7977368245428658,0.3774427375467725,0.4948959206661019,0.3560556404951769,0.2553168955717554,0.17643143029975816
"Sage, dalmatian (Argentina) - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.6448311074617405,0.6955307671831334,0.7092777854176737,0.559069979517792,0.7698027723257037,1.0,0.5966648396314648,0.3325423412617041,0.4683990415582613,0.28913531483625543,0.6242154736405534,0.5669720426930984,0.5724433503025366,0.6354434326484846,0.378893268106797,0.7076456835548645,0.6176143312649163,0.5517248646218742,0.6130616403099889,0.2773167945394095,0.7209756997821246,0.6751715723002296,0.37102147767512883,0.6449992962406191,0.7201253066359976,0.6456453326587481,0.5750550836517483,0.2641531063683442,0.5818111751261641,0.7200006996626412,0.7223136192108048,0.39614572009694804,0.380841361117228,0.6430654710432155,0.6706708434578919,0.5902230794553507,0.7062824568201702,0.5127475529575432,0.5022601349377689,0.7177607039001874,0.6819171195705829,0.6207258718144426,0.6847315475657216,0.7199859873358939,0.4633934328491882,0.4213605449573756,0.7512414824914068,0.36692520253778604,0.44109656502672945,0.3527407962344994,0.24880120227965596,0.16149512666980137
"Sage, dalmatian (Bulgaria) - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.6275046815167263,0.5030336837938679,0.5261093616215291,0.5918567309920533,0.6338251498703884,0.5966648396314648,1.0,0.34604994897979,0.4446155634587198,0.3143467376672282,0.7693193537330144,0.5222015701100318,0.3915542673903353,0.5653517239931771,0.527730737883825,0.6198041998546558,0.5917424348682563,0.5892105681878952,0.44209141422392495,0.29377410233163714,0.6374427590050613,0.5920916939211185,0.4310824342937699,0.47077127230640914,0.5334636409534403,0.47216872139664146,0.6783900431396586,0.31867443305735066,0.6184364708054855,0.5887724017790839,0.5405502228490061,0.4145328239699402,0.4887890748506376,0.581958032250666,0.7811529579063525,0.751347040918531,0.5438446961196467,0.6077093111777627,0.5710230787588173,0.6474554161662343,0.46822326637001677,0.5968871246789713,0.5706075582186199,0.5337824684538024,0.3176838697411074,0.3512038928163199,0.6011739245671421,0.24407068084403583,0.3443973224111785,0.42004920186313865,0.2502169780718452,0.16156719635296102
"Sage, dalmatian (Bulgaria) 2 - Salvia officinalis L, fam. Lamiaceae (Labiatae)",0.32020459604625096,0.19931317348894262,0.36199961754429766,0.3779880878986418,0.35366390801723246,0.3325423412617041,0.34604994897979,1.0,0.4668134362625186,0.33195104060876657,0.3055168804282897,0.4974129368262332,0.15842954280884536,0.3003346054929792,0.3991921825814706,0.3657702447817739,0.49595647321368397,0.3805858657153154,0.2635070588313625,0.36826606777393533,0.4151251342310148,0.2627251827305014,0.42945403328818155,0.26167676087513136,0.2525645178974121,0.2633856343278106,0.4608354442556287,0.5284295500524834,0.3040041236254304,0.3073013869220289,0.351195439357017,0.3703028288578333,0.47676886182425426,0.31424318383957883,0.3222397092182532,0.4371144843220842,0.3259471453865066,0.5607340487281701,0.5490598657114456,0.360147893494279,0.2851728575719191,0.3580579501438873,0.2519843314529929,0.25291029452561276,0.3867474515571443,0.45969079293683957,0.4465951679218082,0.34171702420888705,0.42458817684917016,0.3365559471287741,0.2510578532936487,0.3073686029946414
"Sage, dalmatian (Canada) - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.4326006203504871,0.33827769065309743,0.6324396663004048,0.4656694366242452,0.5457566538084201,0.4683990415582613,0.4446155634587198,0.4668134362625186,1.0,0.44830331862233974,0.4281998375369872,0.5955144459482196,0.3555679973892222,0.6353979005068473,0.4704650649457992,0.5940389746954133,0.6525184072817941,0.4600851062874496,0.5643595844689299,0.6914399249536565,0.6180629287608714,0.38199446830821415,0.5000420260454966,0.4289034151332777,0.43452238320393954,0.43031796945782286,0.6203217631381006,0.6527207102676568,0.49943908086763567,0.43901321124331205,0.596280467435897,0.5539730256226434,0.4259601630111055,0.4738176669778178,0.47600184831831116,0.475215378331844,0.55709030881541,0.5867361467874261,0.6223590882598273,0.607182240654479,0.3932223245247868,0.46309847032615603,0.4174804791343649,0.4345741139456408,0.5401208914991285,0.6440455880621416,0.5408593712702485,0.3176814046914027,0.6009634235985187,0.32282800153025926,0.2266266659488917,0.2374248485603011
"Sage, dalmatian (Cuba) - Salvia officinalis L., fam. Lamiaceae (Labiatae)",0.3293864507020262,0.16842019600206304,0.37168558432654974,0.3205411339760109,0.33295723599178806,0.28913531483625543,0.3143467376672282,0.33195104060876657,0.44830331862233974,1.0,0.23896595613137905,0.4128909943883313,0.2554757351129705,0.3718501393465439,0.26110822359349317,0.3599593062394575,0.4547295397937847,0.31755530605741344,0.33105800031160304,0.3203643976080025,0.3622109368303621,0.17147255349006585,0.19184742377925312,0.26633384197322363,0.28843633439482175,0.2674304208078969,0.5105240502832603,0.5372113056688584,0.3915865187890224,0.2943176610234317,0.38715226735638497,0.6470445996843677,0.42618403445003683,0.39321051380073613,0.32213228858706433,0.37814298215874587,0.324765096731758,0.4183715569469786,0.33671193378907505,0.3664101489887608,0.22911626944040364,0.2830461660780724,0.27354118433067676,0.288407559101859,0.3807534156618174,0.44408132340274353,0.41150167704241436,0.2722461581343558,0.46097213366926726,0.2243329867105227,0.07913688851232636,0.12712935796322145
