Chemical Name,SMILES
"1,5-Menthadien-7-ol",CC(C)C1CC=C(C=C1)CO
1-Octen-3-ol,OC(CCCCC)C=C.OC(=O)C
trans-2-Octen-1-ol,C(/C=C/CCCCC)O
Tridecan-2-ol,CCCCCCCCCCCC(C)O
1-Hexen-3-ol,OC(CCC)C=C
3-Hexen-1-ol,CC/C=C\CCO
(E)-3-Hexen-1-ol,OCC/C=C/CC
2-Methyl-3-buten-1-ol,OCC(C)C=C
7-Octen-1-ol,C=CCCCCCCO
cis-2-Thujen-4-ol,OC1(C2C(C2)(C(C)C)C=C1)C
3-Octen-1-ol,OCC\C=C\CCCC
2-Methyl-2-buten-1-ol,OC/C(/C)=C/C
neo-Thujan-3-ol,CC1C2CC2(CC1O)C(C)C
2-Propen-1-ol,O(C1=CC=C(C=C1)/C=C/CO)C
4-Hepten-2-ol,OC(C/C=C\CC)C
3-Nonen-2-ol,CCCCCC=CC(C)O
