Chemical Name,SMILES
Hexahydrofarnesyl acetate,CC(=O)OCCC(C)CCCC(C)CCCC(C)C
cis-Linalool oxide,C=CC1(C)CCC(C(C)(C)O)O1
trans-Linalool oxide,C=CC1(C)CCC(C(C)(C)O)O1
trans-Linalool oxide,C=CC1(C)CCC(C(C)(C)O)O1
cis-Linalool oxide,C=CC1(C)CCC(C(C)(C)O)O1
Campholene aldehyde,CC1=CCC(CC=O)C1(C)C
"Allyl-2,3,4,5-tetramethoxybenzene",C=CCc1cc(OC)c(OC)c(OC)c1OC
trans-Muurolol,CC1=CC2C(C(C)C)CCC(C)(O)C2CC1
Methyl thymol,COc1cc(C)ccc1C(C)C
"Edulan I, dihydro-",CC1CCC2C(C)(C)CC=CC2(C)O1
"Edulan II, dihydro-",CC1CCC2C(C)(C)CC=CC2(C)O1
trans-Pulegone,CC1CCC2(OC2(C)C)C(=O)C1
cis-Pulegone,CC1CCC2(OC2(C)C)C(=O)C1
Verbenyl acetate,CC(=O)OC1C=C(C)C2CC1C2(C)C
epi-Elemol,C=CC1(C)CCC(C(C)(C)O)CC1C(=C)C
Xylenes,Cc1ccc(C)cc1
Phenols,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
Dodecanes,CCCCCCCCCCCCS(=O)(=O)O
cis-Salvene,C=C(CC=CC)C(C)C
"Allyl-2,4-dimethoxybenzene",C=CCc1ccc(OC)cc1OC
10-Methyl-2-undecanone,CC(=O)CCCCCCCC(C)C
2-Decyl acetate,CCCCCCCCC(C)OC(C)=O
Carquejyl acetate,C=C(C)C1C(=C)CC=CC1OC(C)=O
Matricaria methyl ester,C=CC(=O)OCC=CC#CC#CC=CC(=O)OC
"2,6-Dimethyl-1,3(E),5(Z),7-octatetraene",C=CC(C)=CC=CC(=C)C
"6,7-Epoxymyrcene",C=CC(=C)CCC1OC1(C)C
trans-8-Hydroxylinalool,C=CC(C)(O)CCC=C(C)CO
Verbenyl ethyl ether,CCOC1C=C(C)C2CC1C2(C)C
"2,6-Dimethyl-3(E),5(E),7-octatrien-2-ol",C=CC(C)=CC=CC(C)(C)O
"trans-p-Menth-2-ene-1,8-diol",CC1(O)C=CC(C(C)(C)O)CC1
"2,3,5-Trimethyl-2-cyclopenten-1-one",CC1=C(C)C(=O)C(C)C1
Thujyl acetate,CC(=O)OC1CC2(C(C)C)CC2C1C
"(E,E)-2,4-Nonadienal",CCCCC=CC=CC=O
trans-Isoosmorhizol,CC=Cc1ccc(OC)cc1OC
epi-Curzerenone,C=CC1(C)Cc2occ(C)c2C(=O)C1C(=C)C
trans-Carvone oxide,C=C(C)C1CC(=O)C2(C)OC2C1
"(6S,7R)-Bisabolone",CC(C)=CCCC(C)C1CCC(C)=CC1=O
Cedren-13-ol acetate,C=C1CCC23CC1C(C)(COC(C)=O)C2CCC3C
"Drima-7,9(11)-diene",C=C1C(C)=CCC2C(C)(C)CCCC12C
"(13E)-Labden-8,15-diol",CC(=CCO)CCC1C(C)(O)CCC2C(C)(C)CCCC21C
"2-Methyl-6-methylene-3,7-octadien-2-ol",C=CC(=C)CC=CC(C)(C)O
Lanceol,O=c1cc(-c2ccccc2)oc2c1ccc1occc12
5-neo-Cedranol,CC1CCC2C(C)(C)C3CC12CCC3(C)O
Thuj-3-en-10-al,CC(C)C12C=CC(C=O)C1C2
"1,2-Dihydro-acenaphthylene",c1cc2c3c(cccc3c1)CC2
Phenylbutanal,O=CCCCc1ccccc1
cis-Piperityl acetate,CC(=O)OC1C=C(C)CCC1C(C)C
(E)-Sesquithujen-12-ol,CC(=CCCC(C)C12CC=C(C)C1C2)CO
1-nor-Bourbonanone,CC(C)C1CCC2(C)C3CCC(=O)C3C12
Myrtenyl isobutyrate,CC(C)C(=O)OCC1=CCC2CC1C2(C)C
Methyl 3-acetoxybutyrate,COC(=O)CC(C)OC(C)=O
Copaenal,CC(C)C1C(=O)CC2(C)C3CC=C(C=O)C2C13
Guai-9-en-11-ol,CC1=CCC(C(C)(C)O)CC2C(C)CCC12
"1-Phenyl-2,3-butanedione",CC(=O)C(=O)Cc1ccccc1
"Guaia-1(10),11-dien-15-al",C=C(C)C1CCC(C=O)=C2CCC(C)C2C1
Oleoamide,CCCCCCCCC=CCCCCCCCC(N)=O
"4-Ethyl-2,3,5,6-tetrathia-7-nonene",CC=CSSC(CC)SSC
2-(2-Propenyl)furan,C=CCc1ccco1
