Chemical Name,SMILES
1-Octenyl-3 acetate,CCCCCC(C=C)OC(=O)C
Junipercamphor,CC(=C1CCC2(CCCC(C2C1)(C)O)C)C
p-Menth-3-en-7-al,CC(C)C1=CCC(CC1)C=O
2-Methyl-5-isopropylfuran,CC1=CC=C(O1)C(C)C
"3,6,6-Trimethylbicyclo[3.1.0]hexane-3-carboxaldehyde",CC1(C2C1CC(C2)(C)C=O)C
iso-Artemisia ketone,CC(=CC(=O)C(C)(C)C=C)C
6-Isocedrol,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
2-Hydroxy-4-methoxy-acetophenone,CC(=O)C1=C(C=C(C=C1)OC)O
Pentenyl curcumene,CC1=CC=C(C=C1)C(C)CCC=C(C)CCC=C(C)C
Lachnophyllum methyl ester,CCCC#CC#CC=CC(=O)OC
dihydro-Nepetalactone,CC1CCC2C1C(=O)OCC2C
(Z)-Cinnamyl aldehyde,C1=CC=C(C=C1)C=CC=O
"1,4,8-p-Menthatriene",CC1=CCC(=CC1)C(=C)C
"2,6-Dimethyl-3(E),5(Z),7-octatrien-2-ol",CC(=CC=CC(C)(C)O)C=C
neo-Abietol,CC(=C1CCC2C(=C1)CCC3C2(CCCC3(C)CO)C)C
cis-En-yn-dicyclo ether,CC#CC#CC=C1C=CC2(O1)CCCO2
trans-En-yn-dicyclo ether,CC#CC#CC=C1C=CC2(O1)CCCO2
epi-Zonarene,CC1CCC(=C2C1CCC(=C2)C)C(C)C
"Pacifigoria-1(6),10-diene",CC1CCC2=C(C1C=C(C)C)CCC2C
"6-(1'-Hydroxyethyl)-2,2,dimethylchromene",CC(C1=CC2=C(C=C1)OC(C=C2)(C)C)O
(Z)-Isogeraniol,CC(=CCC=C(C)CCO)C
Methyl isothymol,CC1=C(C=C(C=C1)C(C)C)OC
1-(Methylthio)propyl methyl disulfide,CCC(SC)SSC
iso-Chrysanthenone,CC1=CCC2C(=O)C1C2(C)C
Methylphenyl propionate,COC(=O)CCC1=CC=CC=C1
"4-Acetoxygermacra-1,8(11)-dien-9-one",CC1CCC(=C(C)C)C(=O)CC(=CCC1OC(=O)C)C
neo-Verbanol,CC1CC(C2CC1C2(C)C)O
Neoisothujyl acetate,CC1C2CC2(CC1OC(=O)C)C(C)C
(E)-Isogeraniol,CC(=CCC=C(C)CCO)C
"Tricyclo[3.2.1.0-1,5]octane",C1CC23CCC2(C1)C3
"4,4-Dimethylthiacyclobutan-2-one",CC1(CC(=O)S1)C
"2,4-Dimethyl-5,6,-dithia-2,7-nonadienal",CC=CSSC(C)C=C(C)C=O
"3-Ethyl-2,4,5,6-tetrathiaheptane",CCC(SC)SSSC
(Z)-1-Propenyl propyl tetrasulfide,CCCSSSSC=CC
(E)-1-Propenyl propyl tetrasulfide,CCCSSSSC=CC
