Plant_Species
"Abies alba conifer 1 - Abies alba Mill., fam. Pinaceae"
"Abies alba conifer 2 - Abies alba Mill., fam. Pinaceae"
"Abies alba from cones - Abies alba Mill., fam. Pinaceae"
"Abies alba needle (Montenegro) - Abies alba Mill., fam. Pinaceae"
"Abies alba needle (Serbia) - Abies alba Mill., fam. Pinaceae"
"Abies borisii-regis needle (Greece) - Abies borisii-regis Mattf., fam. Pinaceae"
"Abies cephalonica - Abies cephalonica Loud., fam. Pinaceae"
"Abies cephalonica needle (Greece) - Abies cephalonica Loud., fam. Pinaceae"
"Abies ernestii (China) - Abies ernestii Rehd., fam. Pinaceae"
"Abies faxoniana (China) - Abies faxoniana Rehd. et Wils., fam. Pinaceae"
"Abies fragesii - Abies fragesii Franch, fam. Pinaceae"
"Abies holophylla (China) 1 - Abies holophylla Maxim., fam. Pinaceae"
"Abies holophylla (China) 2 - Abies holophylla Maxim., fam. Pinaceae"
"Abies mayriana (Finland) - Abies mayriana Miy. et Kudo Needle, fam. Pinaceae"
"Abies nephrolepsis (China) - Abies nephrolepsis (Trautr.) Maxim., fam. Pinaceae"
"Abies nordmannia conifer - Abies nordmannia (Steven) Spach, fam. Pinaceae"
"Abies sachalinensis (Finland) - Abies sachalinensis (Fr. Schm.) Mast, fam. Pinaceae"
"Abies semenovii - Abies semenovii L., fam. Pinaceae"
"Abies sibirica 1 - Abies sibirica Ledeb., fam. Pinaceae"
"Abies sibirica 2 - Abies sibirica Ledeb., fam. Pinaceae"
"Abies sibirica 3 - Abies sibirica Ledeb., fam. Pinaceae"
"Acacia caven flower - Acacia caven (Mol.) Mol., fam. Mimosaceae (Leguminosae)"
"Acacia confusa flower (China) - Acacia confusa Merr., fam. Mimosaceae  (Leguminosae)"
"Acacia praecox flower (Argentina) - Acacia praecox Gris., fam. Mimosaceae (Leguminosae)"
"Achillea abrotanoides - Achillea abrotanoides (Vis.) Vis., fam. Asteraceae (Compositae)"
"Achillea biebersteinii (Iran) flower - Achillea biebersteinii Afan., fam. Asteraceae (Compositae)"
"Achillea biebersteinii (Turkey) 1 - Achillea biebersteinii Afan., fam. Asteraceae (Compositae)"
"Achillea biebersteinii (Turkey) 2 - Achillea biebersteinii Afan., fam. Asteraceae (Compositae)"
"Achillea collina - Achillea collina Becker, fam. Asteraceae (Compositae)"
"Achillea filipendulina (Iran) flower - Achillea filipendulina Lam., fam. Asteraceae (Compositae)"
"Achillea ligustica flower (Greece) - Achillea ligustica All., fam. Asteraceae (Compositae)"
"Achillea ligustica leaf (Greece) - Achillea ligustica All., fam. Asteraceae (Compositae)"
"Achillea lingulata - Acillea lingulata W.K., fam. Asteraceae (Compositae)"
"Achillea serbica - Achillea serbica Nym., fam. Asteraceae (Compositae)"
"Achillea tenuifolia (Iran) flower - Achillea tenuifolia Lam., fam. Asteraceae (Compositae)"
"Achillea wilhelmsii (Egypt) - Achillea wilhelmsii C. Koch (A. santolina Auct. Mult.), fam. Asteraceae"
"Achillea wilhelmsii (Turkey) - Achillea wilhelmsii C. Koch (A. santolina Auct. Mult.), fam. Asteraceae"
"Acinos alpinus oil (Greece) - Acinos alpinus (L.) Moench., fam. Lamiaceae (Labiatae)"
