Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1754,BitInterpretations,Concentration
Elaeagnus angustifolia,1,DOI:10.3390/molecules25092021,C1=CC=C(C=C1)CCO,2-Phenylethanol,1,"[(3, 'C', 1, 'cc(c)C')]",0.0935
Mimusops elengi,1,DOI:10.3389/fvets.2023.1188752,C1=CC=C(C=C1)CCO,2-Phenylethanol,1,"[(3, 'C', 1, 'cc(c)C')]",0.378
Artemisia scoparia,1,DOI:10.1177/1934578X20915034,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 1, 'cc(c)C')]",0.3
Cinnamomum zeylanicum,1,10.1007/s10068-017-0241-9,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 1, 'cc(c)C')]",0.1335
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(7, 'C', 1, 'cc(c)C')]",0.643
Ocimum gratissimum,1,DOI:10.1016/j.micpath.2018.03.041,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 1, 'cc(c)C')]",0.2
Pimenta dioica,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 1, 'cc(c)C')]",0.87
Pimenta racemosa,1,DOI:10.5897/JMPR2017.6435,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 1, 'cc(c)C')]",0.527
Piper betle,1,DOI:10.12982/VIS.2022.042,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(7, 'C', 1, 'cc(c)C')]",0.6356
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Eugenyl acetate,1,"[(7, 'C', 1, 'cc(c)C')]",0.205
Piper betle,1,DOI:10.12982/VIS.2022.042,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Eugenyl acetate,1,"[(7, 'C', 1, 'cc(c)C')]",0.1868
