Plant_Species,bing_search_results,Response
"Abies alba conifer 1 - Abies alba Mill., fam. Pinaceae","[{""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies alba)"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Liquid and Vapor Phase of Four Conifer-Derived Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7914598/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Antifungal Properties of Essential Oils and Their Compounds for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922942/""}, {""title"": ""Silver Nanoparticles Synthesized from Abies alba and Pinus sylvestris ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10135277/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Asteraceae Artemisia campestris and Artemisia herba-alba Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5078739/""}, {""title"": ""Thymus algeriensis and Artemisia herba-alba Essential Oils: Chemical ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8625911/""}, {""title"": ""Original Contributions to the Chemical Composition, Microbicidal ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8617773/""}]","I'm sorry, but I can't provide the help you're looking for."
"Abies alba conifer 2 - Abies alba Mill., fam. Pinaceae","[{""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies alba)"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Liquid and Vapor Phase of Four Conifer-Derived Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7914598/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Antifungal Properties of Essential Oils and Their Compounds for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922942/""}, {""title"": ""Silver Nanoparticles Synthesized from Abies alba and Pinus sylvestris ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10135277/""}, {""title"": ""Affordable Production of Antioxidant Aqueous Solutions by Hydrodynamic ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6406287/""}, {""title"": ""The Phenolic Content, Antioxidative Properties and Extractable ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8839515/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Abies holophylla Leaf Essential Oil Alleviates Allergic Rhinitis Based ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}]",
"Abies alba from cones - Abies alba Mill., fam. Pinaceae","[{""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies alba)"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Liquid and Vapor Phase of Four Conifer-Derived Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7914598/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Thymus algeriensis and Artemisia herba-alba Essential Oils: Chemical ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8625911/""}, {""title"": ""Asteraceae Artemisia campestris and Artemisia herba-alba Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5078739/""}, {""title"": ""Original Contributions to the Chemical Composition, Microbicidal ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8617773/""}, {""title"": ""Chemical Composition and Antimicrobial Activity of Artemisia herba-alba ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6891654/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}]",
"Abies alba needle (Montenegro) - Abies alba Mill., fam. Pinaceae","[{""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies alba)"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Liquid and Vapor Phase of Four Conifer-Derived Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7914598/""}, {""title"": ""Asteraceae Artemisia campestris and Artemisia herba-alba Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5078739/""}, {""title"": ""Thymus algeriensis and Artemisia herba-alba Essential Oils: Chemical ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8625911/""}, {""title"": ""Original Contributions to the Chemical Composition, Microbicidal ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8617773/""}, {""title"": ""Chemical Composition and Antimicrobial Activity of Artemisia herba-alba ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6891654/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}]",
"Abies alba needle (Serbia) - Abies alba Mill., fam. Pinaceae","[{""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies alba)"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Liquid and Vapor Phase of Four Conifer-Derived Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7914598/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Asteraceae Artemisia campestris and Artemisia herba-alba Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5078739/""}, {""title"": ""Thymus algeriensis and Artemisia herba-alba Essential Oils: Chemical ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8625911/""}, {""title"": ""Chemical Composition and Antimicrobial Activity of Artemisia herba-alba ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6891654/""}, {""title"": ""Original Contributions to the Chemical Composition, Microbicidal ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8617773/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}]",
"Abies borisii-regis needle (Greece) - Abies borisii-regis Mattf., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Identification of Essential Oils with Strong Activity against ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Abies holophylla Leaf Essential Oil Alleviates Allergic Rhinitis Based ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}, {""title"": ""Antimicrobial, Antioxidant, and Immunomodulatory Properties of ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893664/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""General Toxicity and Antifungal Activity of a New Dental Gel with ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}, {""title"": ""Essential Oils, A New Horizon in Combating Bacterial Antibiotic ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3950955/""}]",
"Abies cephalonica - Abies cephalonica Loud., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Antimicrobial, Antioxidant, and Immunomodulatory Properties of ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893664/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Essential Oils and Neuropathic Pain - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323890/""}, {""title"": ""Identification of Essential Oils with Strong Activity against ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""Efficacy of Essential Oils in Pain: A Systematic Review and Meta ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7957371/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}]",
"Abies cephalonica needle (Greece) - Abies cephalonica Loud., fam. Pinaceae","[{""title"": ""Essential Oils and Neuropathic Pain - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323890/""}, {""title"": ""Identification of Essential Oils with Strong Activity against ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Essential Oils and Their Constituents Targeting the GABAergic System ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6099651/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""General Toxicity and Antifungal Activity of a New Dental Gel with ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}]",
"Abies ernestii (China) - Abies ernestii Rehd., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5456241/""}, {""title"": ""The Role of Essential Oils and Their Main Compounds in the Management ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8227493/""}, {""title"": ""Essential Oils as Antimicrobial Agents\u2014Myth or Real Alternative?"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6612361/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""The complete chloroplast genome of Abies ernestii Rehder (Pinaceae) and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387311/""}, {""title"": ""Essential Oils: Sources of Antimicrobials and Food Preservatives"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5238431/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Complete chloroplast genome features and phylogenetic analysis of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10184594/""}]",
"Abies faxoniana (China) - Abies faxoniana Rehd. et Wils., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Identification of Essential Oils with Strong Activity against ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Insecticidal Activity of 25 Essential Oils on the Stored Product Pest ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7909281/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""General Toxicity and Antifungal Activity of a New Dental Gel with ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}, {""title"": ""Antimicrobial Efficiency of Essential Oils from Traditional Medicinal ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6354153/""}, {""title"": ""Meta\u2010analysis of the antifungal activities of three essential oils as ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9545424/""}, {""title"": ""Dietary fish oils containing eicosapentaenoic acid and the prevention ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1268151/""}]",
